Dong,화재_장소별화재발생_Autonomous Gu_Autonomous Gu,화재_장소별화재발생_Total_Total,화재_장소별화재발생_Hou-sing_Detached dwelling,화재_장소별화재발생_Hou-sing_공동주택,화재_장소별화재발생_Hou-sing_기타주택,화재_장소별화재발생_비주거_학교,화재_장소별화재발생_비주거_일반업무,화재_장소별화재발생_비주거_판매시설,화재_장소별화재발생_비주거_숙박시설,화재_장소별화재발생_비주거_종교시설,화재_장소별화재발생_비주거_의료시설,화재_장소별화재발생_비주거_공장 및 창고,화재_장소별화재발생_비주거_작업장,화재_장소별화재발생_비주거_위락오락시설,화재_장소별화재발생_비주거_음식점,화재_장소별화재발생_비주거_일반서비스시설,화재_장소별화재발생_비주거_Others,"화재_장소별화재발생_위험물(가스, 제조소 등)_위험물(가스, 제조소 등)","화재_장소별화재발생_운송(차량, 철도 등)_운송(차량, 철도 등)",화재_장소별화재발생_임야_임야,화재_장소별화재발생_Others_Others
Godeok 2(i)-dong,Gangdong-gu,3.0,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1
Amsa 2(i)-dong,Gangdong-gu,6.0,1,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,2,-,1
Amsa 3(sam)-dong,Gangdong-gu,5.0,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-
Cheonho 1(il)-dong,Gangdong-gu,10.0,2,2,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,-,3
Cheonho 3(sam)-dong,Gangdong-gu,20.0,3,2,-,-,2,1,-,-,-,1,-,-,5,-,-,-,1,-,5
Seongnae 1(il)-dong,Gangdong-gu,12.0,-,5,-,-,3,-,-,-,-,-,1,-,-,1,-,-,-,-,2
Seongnae 2(i)-dong,Gangdong-gu,15.0,6,1,-,-,1,-,-,-,1,-,1,-,-,3,-,-,-,-,2
Seongnae 3(sam)-dong,Gangdong-gu,17.0,3,2,-,-,-,-,-,3,-,-,-,-,5,1,-,-,2,-,1
Dunchon 2(i)-dong,Gangdong-gu,20.0,5,6,-,1,2,-,-,-,-,-,2,-,1,2,-,-,-,-,1
Amsa 1(il)-dong,Gangdong-gu,16.0,8,5,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,1
Cheonho 2(i)-dong,Gangdong-gu,29.0,5,3,-,-,1,1,1,-,1,2,-,-,5,1,2,-,4,-,3
Gil-dong,Gangdong-gu,27.0,5,4,1,-,-,1,-,1,2,1,-,1,6,2,-,-,-,-,3
