Dong,화재_화재현황_Autonomous Gu_Autonomous Gu,화재_화재현황_No. of fire Incidents_Total,화재_화재현황_No. of fire Incidents_Accident,화재_화재현황_No. of fire Incidents_Arson,화재_화재현황_No. of fire Incidents_Others,화재_화재현황_Burnt_No. of  buildings,화재_화재현황_Burnt_No. of house-holds,화재_화재현황_Burnt_Area Burnt,화재_화재현황_Value of damages_Total,화재_화재현황_Value of damages_Immovable property,화재_화재현황_Value of damages_Movable property,화재_화재현황_Reduction amount of property damaged_Reduction amount of property damaged,화재_화재현황_Casualties_Total,화재_화재현황_Casualties_Death,화재_화재현황_Casualties_Injury,화재_화재현황_No. of victims_No. of victims,화재_화재현황_No. of therescued_No. of therescued
Yeokchon-dong,Eunpyeong-gu,16.0,14.0,1,1,2,-,18,32217,4837,27380,266291,1,-,1,-,21
Cheonyeon-dong,Seodaemun-gu,10.0,8.0,2,-,1,-,22,8641,332,8309,18312,-,-,-,-,-
Hongje 1(il)-dong,Seodaemun-gu,15.0,15.0,-,-,-,-,16,4018,1748,2270,117333,-,-,-,-,-
Hongje 3(sam)-dong,Seodaemun-gu,16.0,15.0,1,-,4,-,116,135693,47011,88682,7407,-,-,-,-,-
Hongje 2(i)-dong,Seodaemun-gu,6.0,5.0,-,1,-,-,-,3897,1018,2879,1524,1,1,-,-,-
Hongeun 1(il)-dong,Seodaemun-gu,17.0,16.0,-,1,2,-,85,29693,10708,18985,53139,-,-,-,-,-
Hongeun 2(i)-dong,Seodaemun-gu,17.0,17.0,-,-,1,-,-,7347,619,6728,2333796,-,-,-,-,-
Namgajwa 1(il)-dong,Seodaemun-gu,9.0,8.0,-,1,1,-,62,35175,16238,18937,56672,-,-,-,-,-
Namgajwa 2(i)-dong,Seodaemun-gu,19.0,16.0,3,-,4,-,44,62992,20875,42117,301861,-,-,-,-,-
Bukgajwa 1(il)-dong,Seodaemun-gu,4.0,4.0,-,-,-,-,-,107,-,107,13,-,-,-,-,-
Bukgajwa 2(i)-dong,Seodaemun-gu,21.0,14.0,5,2,2,-,69,42165,26582,15583,322023,2,-,2,-,3
Chunghyeon-dong,Seodaemun-gu,23.0,19.0,3,1,3,-,48,47073,10021,37052,264338,1,1,-,-,-
Bugahyeon-dong,Seodaemun-gu,8.0,8.0,-,-,1,-,30,12830,6987,5843,64570,-,-,-,-,-
Sinchon-dong,Seodaemun-gu,35.0,34.0,-,1,1,-,62,45581,16160,29421,640634,3,-,3,-,2
Yeonhui-dong,Seodaemun-gu,21.0,20.0,-,1,-,-,47,51513,25771,25742,1596542,1,1,-,-,-
Yonggang-dong,Mapo-gu,9.0,7.0,1,1,1,-,5,6217,2640,3577,2579618,-,-,-,-,-
Daeheung-dong,Mapo-gu,18.0,17.0,1,-,3,-,2,35035,2115,32920,12306,4,-,4,-,-
Yeomni-dong,Mapo-gu,6.0,6.0,-,-,3,-,57,17267,5341,11926,687111,-,-,-,-,1
Sinsu-dong,Mapo-gu,6.0,6.0,-,-,2,-,26,19947,15175,4772,303045,-,-,-,-,-
Seogyo-dong,Mapo-gu,59.0,54.0,2,3,17,-,99,61491,27931,33560,1086604,-,-,-,-,6
Hapjeong-dong,Mapo-gu,13.0,10.0,-,3,2,-,61,21598,10090,11508,1001425,-,-,-,-,1
Mangwon 1(il)-dong,Mapo-gu,10.0,8.0,1,1,1,-,25,13177,8317,4860,9288,1,-,1,-,-
Mangwon 2(i)-dong,Mapo-gu,8.0,7.0,-,1,4,-,17,11111,5352,5759,155141,-,-,-,-,-
Yeonnam-dong,Mapo-gu,8.0,8.0,-,-,2,-,-,2788,184,2604,1389,2,-,2,-,-
Seongsan 1(il)-dong,Mapo-gu,13.0,11.0,-,2,2,-,30,17591,6859,10732,89849,2,-,2,-,1
Seongsan 2(i)-dong,Mapo-gu,17.0,14.0,1,2,4,-,119,37049,25321,11728,58310053,-,-,-,-,-
Sangam-dong,Mapo-gu,15.0,12.0,1,2,4,-,9,16274,5925,10349,126845,-,-,-,-,-
Dohwa-dong,Mapo-gu,5.0,4.0,-,1,1,-,40,24086,14677,9409,99986,5,-,5,-,-
Seogang-dong,Mapo-gu,13.0,11.0,1,1,2,-,15,19982,5071,14911,245330,-,-,-,-,6
gongdeok-dong,Mapo-gu,22.0,18.0,1,3,8,-,58,31003,10074,20929,763973,1,1,-,-,-
Ahyeon-dong,Mapo-gu,4.0,3.0,-,1,1,-,4,2509,213,2296,20299,-,-,-,-,-
Mok 1(il)-dong,Yangcheon-gu,16.0,14.0,-,2,-,-,-,4854,271,4583,28086,-,-,-,-,-
Mok 2(i)-dong,Yangcheon-gu,18.0,17.0,1,-,1,-,65,41356,19839,21517,66411,5,-,5,-,-
Mok 3(sam)-dong,Yangcheon-gu,20.0,19.0,-,1,-,-,1,8266,2664,5602,823859,1,-,1,-,-
Mok 4(sa)-dong,Yangcheon-gu,21.0,20.0,-,1,-,-,133,55852,31893,23959,1130892,-,-,-,-,-
Sinwol 1(il)-dong,Yangcheon-gu,19.0,18.0,-,1,-,-,242,215110,19565,195545,3093862,1,-,1,-,-
Sinwol 2(i)-dong,Yangcheon-gu,10.0,9.0,-,1,2,-,10,4694,2449,2245,1163709,-,-,-,-,-
Sinwol 3(sam)-dong,Yangcheon-gu,11.0,10.0,-,1,-,-,10,6897,2734,4163,101109,1,-,1,-,-
Sinwol 4(sa)-dong,Yangcheon-gu,7.0,5.0,1,1,-,-,2,2742,1054,1688,69382,-,-,-,-,-
Sinwol 5(o)-dong,Yangcheon-gu,7.0,7.0,-,-,1,-,2,672,222,450,-,-,-,-,-,-
Sinwol 6(yuk)-dong,Yangcheon-gu,7.0,6.0,-,1,-,-,-,860,-,860,44,-,-,-,-,-
Sinwol 7(chil)-dong,Yangcheon-gu,14.0,13.0,-,1,-,-,10,7192,3984,3208,-,-,-,-,-,-
Sinjeong 1(il)-dong,Yangcheon-gu,7.0,6.0,-,1,1,-,95,41109,18075,23034,927747,6,-,6,-,-
Sinjeong 2(i)-dong,Yangcheon-gu,9.0,8.0,1,-,-,-,23,19822,8750,11072,20725,1,-,1,-,-
Sinjeong 3(sam)-dong,Yangcheon-gu,17.0,16.0,-,1,-,-,-,6917,583,6334,935,1,1,-,-,-
Sinjeong 6(yuk)-dong,Yangcheon-gu,7.0,6.0,-,1,-,-,17,14720,8716,6004,1718915,4,-,4,-,-
Sinjeong 7(chil)-dong,Yangcheon-gu,6.0,5.0,-,1,-,-,5,5401,2059,3342,359832,1,-,1,-,4
Mok 5(o)-dong,Yangcheon-gu,9.0,9.0,-,-,-,-,-,2185,415,1770,38,1,-,1,-,1
Sinjeong 4(sa)-dong,Yangcheon-gu,28.0,24.0,-,4,3,-,113,59600,19059,40541,213315,3,1,2,-,-
Yeomchang-dong,Gangseo-gu,8.0,7.0,-,1,2,-,356,8389,4938,3451,13998343,-,-,-,-,-
Deungchon 1(il)-dong,Gangseo-gu,13.0,12.0,-,1,5,-,19,34630,20986,13644,801111,-,-,-,-,-
Deungchon 2(i)-dong,Gangseo-gu,8.0,7.0,-,1,2,-,113,78752,55465,23287,333389,1,-,1,-,-
Deungchon 3(sam)-dong,Gangseo-gu,11.0,11.0,-,-,1,-,2,3362,1758,1604,2244680,-,-,-,-,-
Hwagokbon-dong,Gangseo-gu,13.0,13.0,-,-,5,-,39,39836,17805,22031,551102,-,-,-,-,-
Hwagok 2(i)-dong,Gangseo-gu,8.0,7.0,1,-,2,1,46,17073,9816,7257,574244,-,-,-,4,-
Hwagok 3(sam)-dong,Gangseo-gu,8.0,7.0,1,-,2,-,70,30581,20360,10221,1203583,1,-,1,-,18
Hwagok 4(sa)-dong,Gangseo-gu,9.0,9.0,-,-,-,-,100,2220,396,1824,140,-,-,-,-,-
Hwagok 6(yuk)-dong,Gangseo-gu,14.0,12.0,1,1,3,1,39,35639,22393,13246,1369370,3,-,3,4,3
Hwagok 8(pal)-dong,Gangseo-gu,10.0,10.0,-,-,3,-,22,25237,14323,10914,374823,-,-,-,-,-
Gayang 1(il)-dong,Gangseo-gu,15.0,15.0,-,-,1,-,15,45470,3142,42328,572286,-,-,-,-,-
Gayang 2(i)-dong,Gangseo-gu,5.0,5.0,-,-,1,-,-,616,192,424,2223,-,-,-,-,-
Gayang 3(sam)-dong,Gangseo-gu,3.0,2.0,1,-,-,-,1,739,105,634,253355,-,-,-,-,-
Balsan 1(il)-dong,Gangseo-gu,10.0,8.0,1,1,2,-,964,1360350,314043,1046307,2967762,1,-,1,-,1
Gonghang-dong,Gangseo-gu,15.0,13.0,-,2,5,-,155,38677,21886,16791,438629,2,1,1,-,2
Banghwa 1(il)-dong,Gangseo-gu,12.0,10.0,1,1,1,-,49,25772,6426,19346,1356456,-,-,-,-,-
Banghwa 2(i)-dong,Gangseo-gu,28.0,24.0,3,1,3,-,57,53679,21498,32181,36961033,-,-,-,-,-
Banghwa 3(sam)-dong,Gangseo-gu,10.0,9.0,1,-,2,1,13,7618,4886,2732,828471,1,-,1,3,1
Hwagok 1(il)-dong,Gangseo-gu,22.0,21.0,-,1,5,1,101,41899,30865,11034,838069,3,1,2,1,1
Ujangsan-dong,Gangseo-gu,20.0,19.0,1,-,3,-,12,13471,6195,7276,1201413,-,-,-,-,-
Sindorim-dong,Guro-gu,10.0,9.0,1,-,3,-,1512,4555,2304,2251,7650961,-,-,-,-,-
Guro 1(il)-dong,Guro-gu,6.0,5.0,-,1,3,-,33,48686,12259,36427,2643096,-,-,-,-,-
Guro 3(sam)-dong,Guro-gu,28.0,28.0,-,-,13,1,316,215023,164259,50764,30812693,4,2,2,1,36
Guro 4(sa)-dong,Guro-gu,13.0,11.0,2,-,9,-,5,2401,760,1641,72272,-,-,-,-,-
Guro 5(o)-dong,Guro-gu,18.0,17.0,-,1,6,-,6,5928,2610,3318,2492874,-,-,-,-,-
Gocheok 1(il)-dong,Guro-gu,15.0,12.0,2,1,6,1,71,43356,15340,28016,1929417,1,-,1,4,10
Gocheok 2(i)-dong,Guro-gu,13.0,12.0,-,1,5,-,27,13471,9189,4282,1132155,-,-,-,-,-
Gaebong 2(i)-dong,Guro-gu,15.0,14.0,1,-,3,1,43,25296,14790,10506,931737,-,-,-,3,1
Gaebong 3(sam)-dong,Guro-gu,12.0,12.0,-,-,4,1,45,33437,15637,17800,519753,-,-,-,4,-
Oryu 1(il)-dong,Guro-gu,7.0,6.0,1,-,2,-,1,807,384,423,1078577,-,-,-,-,1
Oryu 2(i)-dong,Guro-gu,17.0,13.0,1,3,7,1,788,167855,8757,159098,1199542,1,1,-,2,-
Sugung-dong,Guro-gu,22.0,20.0,-,2,7,-,27,28756,14042,14714,2742900,-,-,-,-,19
Garibong-dong,Guro-gu,13.0,11.0,2,-,5,2,96,48618,29961,18657,1669375,6,-,6,3,10
Guro 2(i)-dong,Guro-gu,30.0,28.0,-,2,7,1,2148,24587,12034,12553,3713176,2,2,-,2,3
Gaebong 1(il)-dong,Guro-gu,19.0,17.0,-,2,4,-,-,9454,3607,5847,918320,-,-,-,-,-
Gasan-dong,Geumcheon-gu,27.0,22.0,3,2,6,1,21,32852,5931,26921,17252129,1,-,1,1,-
Doksan 1(il)-dong,Geumcheon-gu,25.0,19.0,1,5,9,1,284,320594,85996,234598,15831671,2,-,2,4,18
Doksan 2(i)-dong,Geumcheon-gu,10.0,10.0,-,-,3,3,28,23126,13243,9883,730319,1,-,1,7,1
Doksan 3(sam)-dong,Geumcheon-gu,13.0,11.0,-,2,5,-,36,50579,21370,29209,981202,2,2,-,-,1
Doksan 4(sa)-dong,Geumcheon-gu,12.0,11.0,-,1,4,-,20,9957,4394,5563,707445,-,-,-,-,1
Siheung 1(il)-dong,Geumcheon-gu,24.0,21.0,1,2,7,-,205,5017,1454,3563,2019364,3,-,3,-,1
Siheung 2(i)-dong,Geumcheon-gu,8.0,7.0,-,1,1,-,-,4220,286,3934,20502,-,-,-,-,-
Siheung 3(sam)-dong,Geumcheon-gu,6.0,5.0,-,1,3,-,-,889,606,283,780829,-,-,-,-,-
Siheung 4(sa)-dong,Geumcheon-gu,12.0,11.0,1,-,4,-,28,20340,11718,8622,403841,1,-,1,-,-
Siheung 5(o)-dong,Geumcheon-gu,7.0,7.0,-,-,2,-,-,1082,192,890,85641,-,-,-,-,-
Yeouido-dong,Yeongdeungpo-gu,24.0,20.0,-,4,4,-,14,28886,2123,26763,19998316,1,-,1,-,1
Dangsan 1(il)-dong,Yeongdeungpo-gu,11.0,9.0,1,1,6,-,66,28327,9138,19189,2441764,4,-,4,-,-
Dangsan2(i)-dong,Yeongdeungpo-gu,12.0,10.0,1,1,3,-,2,9748,4936,4812,123418,-,-,-,-,-
Yangpyeong 1(il)-dong,Yeongdeungpo-gu,8.0,6.0,-,2,2,-,36,25838,7837,18001,53565,-,-,-,-,-
Yangpyeong 2(i)-dong,Yeongdeungpo-gu,6.0,6.0,-,-,-,-,1,1221,46,1175,1210,-,-,-,-,-
Singil 1(il)-dong,Yeongdeungpo-gu,10.0,8.0,2,-,5,-,-,3223,992,2231,817537,-,-,-,-,-
