Dong,복지_독거노인현황성별_Gu_Gu,복지_독거노인현황성별_Total_Total,복지_독거노인현황성별_Total_Male,복지_독거노인현황성별_Total_Female,복지_독거노인현황성별_ Basic Livelihood Security law Recipients_Total,복지_독거노인현황성별_ Basic Livelihood Security law Recipients_Male,복지_독거노인현황성별_ Basic Livelihood Security law Recipients_Female,복지_독거노인현황성별_ Low-income seniors_Total,복지_독거노인현황성별_ Low-income seniors_Male,복지_독거노인현황성별_ Low-income seniors_Female,복지_독거노인현황성별_ General_Total,복지_독거노인현황성별_ General_Male,복지_독거노인현황성별_ General_Female
Jamsil 4(sa)-dong,송파구,394.0,80.0,314.0,7,1,6,-,-,-,387.0,79.0,308.0
Jamsil 6(yuk)-dong,송파구,227.0,49.0,178.0,3,-,3,-,-,-,224.0,49.0,175.0
Jamsil 7(chil)-dong,송파구,185.0,38.0,147.0,2,-,2,-,-,-,183.0,38.0,145.0
Jamsil 2(i)-dong,송파구,364.0,79.0,285.0,5,1,4,1,-,1,358.0,78.0,280.0
Jamsil 3(sam)-dong,송파구,465.0,100.0,365.0,8,1,7,-,-,-,457.0,99.0,358.0
Gangil-dong,강동구,371.0,115.0,256.0,46,12,34,14,3,11,311.0,100.0,211.0
Sangil-dong,강동구,422.0,96.0,326.0,30,8,22,12,2,10,380.0,86.0,294.0
Myeongil 1(il)-dong,강동구,489.0,111.0,378.0,27,8,19,5,1,4,457.0,102.0,355.0
Myeongil 2(i)-dong,강동구,212.0,45.0,167.0,11,4,7,7,2,5,194.0,39.0,155.0
Godeok 1(il)-dong,강동구,215.0,65.0,150.0,58,20,38,33,12,21,124.0,33.0,91.0
Godeok 2(i)-dong,강동구,447.0,124.0,323.0,80,19,61,5,1,4,362.0,104.0,258.0
Amsa 2(i)-dong,강동구,909.0,277.0,632.0,137,23,114,23,9,14,749.0,245.0,504.0
Amsa 3(sam)-dong,강동구,242.0,79.0,163.0,18,3,15,11,4,7,213.0,72.0,141.0
Cheonho 1(il)-dong,강동구,183.0,55.0,128.0,13,4,9,5,1,4,165.0,50.0,115.0
Cheonho 3(sam)-dong,강동구,776.0,222.0,554.0,153,39,114,29,11,18,594.0,172.0,422.0
Seongnae 1(il)-dong,강동구,1082.0,379.0,703.0,253,112,141,42,19,23,787.0,248.0,539.0
Seongnae 2(i)-dong,강동구,814.0,301.0,513.0,158,89,69,39,15,24,617.0,197.0,420.0
Seongnae 3(sam)-dong,강동구,288.0,96.0,192.0,19,8,11,9,3,6,260.0,85.0,175.0
Dunchon 1(il)-dong,강동구,727.0,249.0,478.0,120,57,63,35,18,17,572.0,174.0,398.0
Dunchon 2(i)-dong,강동구,502.0,152.0,350.0,37,17,20,23,10,13,442.0,125.0,317.0
Amsa 1(il)-dong,강동구,880.0,271.0,609.0,110,48,62,46,33,13,724.0,190.0,534.0
Cheonho 2(i)-dong,강동구,199.0,36.0,163.0,7,1,6,3,-,3,189.0,35.0,154.0
Gil-dong,강동구,547.0,173.0,374.0,43,12,31,10,2,8,494.0,159.0,335.0
