Dong,복지_장애인현황장애유형별_Autonomous Gu_Autonomous Gu_Autonomous Gu,복지_장애인현황장애유형별_By Type of the disabled_total_total,복지_장애인현황장애유형별_By Type of the disabled_total_Man,복지_장애인현황장애유형별_By Type of the disabled_total_Female,복지_장애인현황장애유형별_By Type of the disabled_Physically disabled_total,복지_장애인현황장애유형별_By Type of the disabled_Physically disabled_Man,복지_장애인현황장애유형별_By Type of the disabled_Physically disabled_Female,복지_장애인현황장애유형별_By Type of the disabled_Braindisorder_total,복지_장애인현황장애유형별_By Type of the disabled_Braindisorder_Man,복지_장애인현황장애유형별_By Type of the disabled_Braindisorder_Female,복지_장애인현황장애유형별_By Type of the disabled_Visuallydisabled_total,복지_장애인현황장애유형별_By Type of the disabled_Visuallydisabled_Man,복지_장애인현황장애유형별_By Type of the disabled_Visuallydisabled_Female,복지_장애인현황장애유형별_By Type of the disabled_Auditorily disabled_total,복지_장애인현황장애유형별_By Type of the disabled_Auditorily disabled_Man,복지_장애인현황장애유형별_By Type of the disabled_Auditorily disabled_Female,복지_장애인현황장애유형별_By Type of the disabled_Linguallydisabled_total,복지_장애인현황장애유형별_By Type of the disabled_Linguallydisabled_Man,복지_장애인현황장애유형별_By Type of the disabled_Linguallydisabled_Female,복지_장애인현황장애유형별_By Type of the disabled_Mentalretardation_total,복지_장애인현황장애유형별_By Type of the disabled_Mentalretardation_Man,복지_장애인현황장애유형별_By Type of the disabled_Mentalretardation_Female,복지_장애인현황장애유형별_By Type of the disabled_Autism_total,복지_장애인현황장애유형별_By Type of the disabled_Autism_Man,복지_장애인현황장애유형별_By Type of the disabled_Autism_Female,복지_장애인현황장애유형별_By Type of the disabled_Mentalillness_total,복지_장애인현황장애유형별_By Type of the disabled_Mentalillness_Man,복지_장애인현황장애유형별_By Type of the disabled_Mentalillness_Female,복지_장애인현황장애유형별_By Type of the disabled_Kidneyfailure_total,복지_장애인현황장애유형별_By Type of the disabled_Kidneyfailure_Man,복지_장애인현황장애유형별_By Type of the disabled_Kidneyfailure_Female,복지_장애인현황장애유형별_By Type of the disabled_Heartfailure_total,복지_장애인현황장애유형별_By Type of the disabled_Heartfailure_Man,복지_장애인현황장애유형별_By Type of the disabled_Heartfailure_Female,복지_장애인현황장애유형별_By Type of the disabled_Respira tarydisease_total,복지_장애인현황장애유형별_By Type of the disabled_Respira tarydisease_Man,복지_장애인현황장애유형별_By Type of the disabled_Respira tarydisease_Female,복지_장애인현황장애유형별_By Type of the disabled_Liver failure_total,복지_장애인현황장애유형별_By Type of the disabled_Liver failure_Man,복지_장애인현황장애유형별_By Type of the disabled_Liver failure_Female,복지_장애인현황장애유형별_By Type of the disabled_Facial failure_total,복지_장애인현황장애유형별_By Type of the disabled_Facial failure_Man,복지_장애인현황장애유형별_By Type of the disabled_Facial failure_Female,"복지_장애인현황장애유형별_By Type of the disabled_Ostomy, urostomy_total","복지_장애인현황장애유형별_By Type of the disabled_Ostomy, urostomy_Man","복지_장애인현황장애유형별_By Type of the disabled_Ostomy, urostomy_Female",복지_장애인현황장애유형별_By Type of the disabled_Epliepsy failure_total,복지_장애인현황장애유형별_By Type of the disabled_Epliepsy failure_Man,복지_장애인현황장애유형별_By Type of the disabled_Epliepsy failure_Female
Muk 2(i)-dong,Jungnang-gu,907.0,532,375,476,273,203,94,57,37,96,64,32,78,45,33,7,5,2,49,28,21,7,7,-,39,18,21,34,18,16,3,2,1,7,5,2,5,4,1,2,-,2,6,5,1,4,1,3
Mangu 3(sam)-dong,Jungnang-gu,944.0,581,363,530,325,205,83,55,28,103,64,39,87,51,36,11,7,4,48,29,19,10,8,2,26,17,9,23,10,13,2,2,-,5,2,3,4,3,1,1,-,1,11,8,3,-,-,-
Sinnae 1(il)-dong,Jungnang-gu,1441.0,805,636,783,428,355,160,85,75,148,87,61,143,79,64,5,3,2,81,53,28,13,12,1,33,16,17,49,26,23,4,2,2,5,4,1,6,4,2,3,2,1,6,3,3,2,1,1
Sinnae 2(i)-dong,Jungnang-gu,1446.0,827,619,752,436,316,147,82,65,131,71,60,109,63,46,13,5,8,109,71,38,13,12,1,84,36,48,41,27,14,9,6,3,12,8,4,8,6,2,3,-,3,5,1,4,10,3,7
Myeonmokbon-dong,Jungnang-gu,1794.0,1058,736,1008,587,421,193,110,83,186,118,68,137,75,62,7,6,1,82,53,29,8,6,2,74,34,40,39,27,12,8,7,1,15,11,4,6,5,1,1,1,-,19,11,8,11,7,4
Myeonmok 3.8(sam.pal)-dong,Jungnang-gu,1297.0,754,543,721,408,313,118,66,52,135,78,57,122,72,50,15,12,3,66,42,24,9,8,1,46,25,21,37,26,11,5,3,2,7,3,4,2,1,1,1,-,1,9,8,1,4,2,2
Mangubon-dong,Jungnang-gu,1772.0,1047,725,1004,558,446,195,109,86,169,118,51,161,93,68,8,7,1,77,49,28,9,8,1,57,39,18,50,33,17,8,4,4,4,4,-,8,5,3,1,1,-,13,11,2,8,8,-
Donam 1(il)-dong,Seongbuk-gu,611.0,347,264,313,156,157,74,45,29,66,48,18,78,49,29,2,1,1,24,16,8,3,2,1,18,10,8,14,5,9,-,-,-,3,1,2,4,4,-,-,-,-,12,10,2,-,-,-
Donam 2(i)-dong,Seongbuk-gu,653.0,385,268,308,173,135,97,55,42,71,47,24,65,34,31,5,4,1,29,18,11,14,13,1,18,10,8,33,22,11,1,1,-,2,1,1,6,5,1,-,-,-,3,2,1,1,-,1
Anam-dong,Seongbuk-gu,670.0,387,283,296,163,133,82,49,33,66,38,28,64,37,27,12,9,3,79,45,34,7,6,1,23,18,5,26,12,14,1,1,-,3,2,1,3,2,1,3,1,2,3,2,1,2,2,-
Bomun-dong,Seongbuk-gu,605.0,333,272,325,172,153,73,41,32,59,34,25,64,35,29,4,4,-,24,17,7,3,2,1,26,15,11,15,7,8,3,1,2,-,-,-,1,1,-,1,1,-,4,1,3,3,2,1
Jeongneung 1(il)-dong,Seongbuk-gu,743.0,408,335,382,193,189,80,45,35,94,50,44,77,42,35,6,5,1,38,27,11,6,5,1,21,12,9,28,21,7,3,3,-,2,1,1,5,4,1,1,-,1,-,-,-,-,-,-
Jeongneung 2(i)-dong,Seongbuk-gu,941.0,525,416,481,259,222,116,65,51,105,69,36,78,45,33,5,4,1,43,25,18,11,10,1,39,16,23,29,14,15,6,4,2,5,4,1,4,2,2,-,-,-,14,5,9,5,3,2
Jeongneung 3(sam)-dong,Seongbuk-gu,826.0,472,354,458,241,217,91,60,31,92,56,36,77,43,34,5,2,3,30,21,9,4,4,-,25,17,8,29,17,12,2,2,-,4,2,2,2,2,-,-,-,-,1,1,-,6,4,2
Jeongneung 4(sa)-dong,Seongbuk-gu,1048.0,604,444,536,311,225,117,67,50,108,60,48,115,67,48,10,8,2,52,25,27,5,5,-,39,24,15,36,16,20,1,1,-,9,6,3,6,4,2,-,-,-,8,7,1,6,3,3
Gireum 1(il)-dong,Seongbuk-gu,1108.0,605,503,541,284,257,130,69,61,135,72,63,125,73,52,13,8,5,54,35,19,8,7,1,39,18,21,31,14,17,4,2,2,8,7,1,6,5,1,1,1,-,7,6,1,6,4,2
Gireum 2(i)-dong,Seongbuk-gu,987.0,568,419,551,307,244,101,67,34,96,60,36,106,54,52,5,3,2,43,24,19,5,5,-,34,18,16,30,18,12,1,-,1,5,4,1,2,2,-,-,-,-,6,5,1,2,1,1
Wolgok 1(il)-dong,Seongbuk-gu,1296.0,725,571,661,366,295,146,76,70,144,83,61,135,78,57,4,4,-,59,40,19,8,6,2,59,28,31,47,24,23,1,1,-,7,6,1,10,5,5,2,1,1,9,6,3,4,1,3
Wolgok 2(i)-dong,Seongbuk-gu,981.0,574,407,542,311,231,122,63,59,89,56,33,102,65,37,7,4,3,36,25,11,3,2,1,28,10,18,26,20,6,8,5,3,5,5,-,6,4,2,1,1,-,4,2,2,2,1,1
Jangwi 1(il)-dong,Seongbuk-gu,1153.0,663,490,606,332,274,124,80,44,120,77,43,109,60,49,14,13,1,67,37,30,7,6,1,36,14,22,37,22,15,9,8,1,8,7,1,3,3,-,2,-,2,9,4,5,2,-,2
Jangwi 2(i)-dong,Seongbuk-gu,1033.0,628,405,542,309,233,128,85,43,91,62,29,91,47,44,13,12,1,63,48,15,3,3,-,39,22,17,36,18,18,5,4,1,3,3,-,5,4,1,1,1,-,11,8,3,2,2,-
Jangwi 3(sam)-dong,Seongbuk-gu,950.0,577,373,522,318,204,103,64,39,103,66,37,85,52,33,6,4,2,48,29,19,3,2,1,36,17,19,28,15,13,5,2,3,1,1,-,1,1,-,1,-,1,6,5,1,2,1,1
Seongbuk-dong,Seongbuk-gu,653.0,378,275,298,163,135,63,36,27,94,56,38,64,38,26,7,7,-,49,32,17,14,12,2,19,11,8,25,10,15,2,1,1,2,1,1,8,6,2,-,-,-,5,3,2,3,2,1
Samseon-dong,Seongbuk-gu,1084.0,615,469,543,293,250,122,75,47,114,61,53,106,59,47,8,8,-,68,40,28,3,3,-,48,29,19,45,23,22,2,2,-,11,10,1,4,4,-,1,1,-,7,6,1,2,1,1
Dongseon-dong,Seongbuk-gu,622.0,357,265,302,167,135,52,34,18,104,60,44,77,39,38,5,5,-,31,20,11,3,3,-,22,12,10,19,12,7,-,-,-,2,1,1,2,2,-,1,-,1,2,2,-,-,-,-
Jongam-dong,Seongbuk-gu,1634.0,932,702,863,490,373,185,99,86,150,87,63,188,100,88,15,13,2,65,36,29,15,12,3,53,27,26,53,33,20,14,9,5,11,10,1,7,6,1,1,-,1,9,7,2,5,3,2
Seokgwan-dong,Seongbuk-gu,1769.0,1060,709,962,568,394,189,104,85,187,125,62,185,117,68,15,8,7,79,44,35,12,12,-,51,28,23,52,32,20,-,-,-,9,6,3,7,4,3,1,1,-,12,8,4,8,3,5
Beon 1(il)-dong,Gangbuk-gu,917.0,546,371,505,293,212,97,64,33,106,63,43,81,49,32,6,4,2,39,26,13,6,5,1,30,12,18,32,18,14,1,-,1,7,6,1,3,3,-,-,-,-,3,2,1,1,1,-
Beon 2(i)-dong,Gangbuk-gu,1358.0,790,568,652,374,278,148,99,49,149,92,57,141,71,70,9,6,3,82,41,41,10,8,2,75,44,31,54,32,22,5,2,3,10,9,1,3,2,1,2,1,1,15,9,6,3,-,3
Beon 3(sam)-dong,Gangbuk-gu,2029.0,1153,876,994,551,443,239,152,87,189,114,75,179,94,85,11,5,6,157,78,79,3,2,1,132,80,52,75,45,30,2,-,2,18,11,7,9,7,2,1,1,-,12,8,4,8,5,3
Suyu 1(il)-dong,Gangbuk-gu,1200.0,680,520,554,301,253,128,86,42,200,121,79,126,61,65,7,6,1,77,42,35,3,3,-,50,30,20,33,15,18,1,-,1,5,3,2,5,4,1,2,2,-,7,5,2,2,1,1
Suyu 2(i)-dong,Gangbuk-gu,1028.0,582,446,531,287,244,107,70,37,108,63,45,103,61,42,5,3,2,69,39,30,10,10,-,34,11,23,34,17,17,4,3,1,7,6,1,6,5,1,-,-,-,5,4,1,5,3,2
Suyu 3(sam)-dong,Gangbuk-gu,1145.0,674,471,580,321,259,114,78,36,132,82,50,122,67,55,5,3,2,65,40,25,12,11,1,45,26,19,51,34,17,2,1,1,7,4,3,1,1,-,-,-,-,5,3,2,4,3,1
Samyang-dong,Gangbuk-gu,1623.0,929,694,799,453,346,178,93,85,206,131,75,195,111,84,17,12,5,87,48,39,11,8,3,48,26,22,48,22,26,2,-,2,11,11,-,9,6,3,-,-,-,8,7,1,4,1,3
Mia-dong,Gangbuk-gu,1108.0,664,444,524,304,220,110,67,43,139,85,54,168,106,62,10,5,5,50,35,15,5,5,-,33,19,14,37,22,15,2,1,1,5,3,2,9,5,4,3,1,2,10,5,5,3,1,2
Songjung-dong,Gangbuk-gu,1509.0,887,622,802,458,344,146,96,50,164,87,77,171,112,59,8,5,3,80,43,37,7,7,-,45,24,21,54,30,24,2,2,-,11,9,2,5,3,2,1,-,1,9,8,1,4,3,1
Songcheon-dong,Gangbuk-gu,1618.0,941,677,846,474,372,167,103,64,167,96,71,200,120,80,13,10,3,83,51,32,8,7,1,57,33,24,44,19,25,3,2,1,11,11,-,4,3,1,1,-,1,12,10,2,2,2,-
Samgaksan-dong,Gangbuk-gu,1293.0,701,592,676,367,309,140,75,65,160,89,71,112,53,59,11,6,5,64,35,29,13,10,3,37,15,22,50,29,21,1,-,1,9,7,2,4,3,1,1,-,1,10,8,2,5,4,1
Ui-dong,Gangbuk-gu,979.0,549,430,487,261,226,129,85,44,121,66,55,86,43,43,7,3,4,59,39,20,5,5,-,30,16,14,35,15,20,-,-,-,6,4,2,4,3,1,2,2,-,4,4,-,4,3,1
Insu-dong,Gangbuk-gu,1680.0,952,728,849,486,363,211,119,92,187,101,86,158,81,77,13,11,2,96,49,47,8,6,2,58,32,26,53,31,22,3,2,1,14,11,3,8,7,1,2,1,1,15,13,2,5,2,3
Ssangmun 1(il)-dong,Dobong-gu,1028.0,614,414,521,297,224,102,56,46,116,76,40,97,61,36,8,4,4,67,42,25,8,8,-,38,24,14,36,21,15,5,4,1,10,8,2,7,4,3,2,-,2,9,8,1,2,1,1
Ssangmun 2(i)-dong,Dobong-gu,943.0,540,403,473,260,213,88,54,34,108,65,43,118,74,44,4,3,1,51,32,19,8,7,1,42,18,24,30,14,16,4,2,2,2,2,-,1,1,-,2,1,1,10,5,5,2,2,-
Ssangmun 3(sam)-dong,Dobong-gu,799.0,451,348,407,228,179,69,42,27,91,49,42,96,55,41,5,3,2,47,25,22,4,3,1,30,11,19,37,25,12,1,1,-,4,4,-,1,1,-,-,-,-,4,3,1,3,1,2
Ssangmun 4(sa)-dong,Dobong-gu,644.0,369,275,318,174,144,68,39,29,71,43,28,74,41,33,3,2,1,31,20,11,12,12,-,14,6,8,30,16,14,4,2,2,2,2,-,9,9,-,-,-,-,5,2,3,3,1,2
Banghak 1(il)-dong,Dobong-gu,1412.0,847,565,709,422,287,171,96,75,153,103,50,140,80,60,6,5,1,78,42,36,9,8,1,55,29,26,53,33,20,7,5,2,12,11,1,4,2,2,2,1,1,10,8,2,3,2,1
Banghak 2(i)-dong,Dobong-gu,1147.0,690,457,601,352,249,115,78,37,126,82,44,99,55,44,8,6,2,64,39,25,7,6,1,61,32,29,30,15,15,3,2,1,10,7,3,2,2,-,3,2,1,10,7,3,8,5,3
Banghak 3(sam)-dong,Dobong-gu,1010.0,574,436,511,278,233,145,85,60,98,59,39,95,47,48,7,5,2,62,44,18,9,7,2,26,11,15,33,19,14,3,3,-,7,5,2,6,4,2,-,-,-,6,6,-,2,1,1
Chang 1(il)-dong,Dobong-gu,1050.0,600,450,542,283,259,126,75,51,109,64,45,116,73,43,5,4,1,53,37,16,12,9,3,30,17,13,27,19,8,5,2,3,6,4,2,11,8,3,2,2,-,5,2,3,1,1,-
Chang 2(i)-dong,Dobong-gu,1222.0,713,509,626,370,256,146,90,56,140,76,64,115,57,58,12,8,4,67,38,29,10,9,1,37,24,13,35,21,14,2,1,1,8,5,3,8,4,4,4,2,2,11,7,4,1,1,-
Chang 3(sam)-dong,Dobong-gu,731.0,431,300,380,222,158,75,41,34,80,50,30,63,38,25,5,2,3,45,29,16,8,5,3,38,22,16,22,13,9,5,3,2,4,3,1,2,1,1,-,-,-,2,2,-,2,-,2
Chang 4(sa)-dong,Dobong-gu,1012.0,551,461,496,268,228,137,70,67,109,64,45,105,53,52,4,4,-,53,31,22,9,9,-,34,18,16,35,20,15,7,3,4,7,5,2,4,2,2,-,-,-,10,2,8,2,2,-
Chang 5(o)-dong,Dobong-gu,960.0,569,391,475,272,203,123,84,39,106,60,46,106,63,43,4,3,1,51,32,19,8,7,1,27,13,14,34,20,14,6,4,2,2,2,-,5,4,1,1,1,-,11,4,7,1,-,1
Dobong 1(il)-dong,Dobong-gu,1508.0,893,615,698,403,295,172,101,71,151,89,62,156,100,56,10,6,4,159,105,54,11,9,2,62,30,32,48,29,19,9,6,3,7,3,4,5,-,5,6,4,2,11,7,4,3,1,2
Dobong 2(i)-dong,Dobong-gu,1460.0,852,608,734,415,319,186,106,80,164,111,53,145,77,68,6,4,2,82,49,33,6,4,2,46,26,20,50,33,17,3,2,1,6,4,2,10,9,1,1,1,-,19,10,9,2,1,1
Wolgye 1(il)-dong,Nowon-gu,965.0,572,393,509,296,213,99,60,39,84,44,40,124,78,46,5,3,2,50,34,16,7,7,-,33,13,20,28,19,9,5,3,2,1,1,-,6,4,2,-,-,-,12,9,3,2,1,1
Wolgye 2(i)-dong,Nowon-gu,2227.0,1240,987,1049,586,463,241,132,109,209,108,101,220,113,107,19,11,8,160,98,62,19,15,4,167,91,76,72,39,33,13,8,5,21,17,4,5,4,1,3,2,1,16,8,8,13,8,5
Wolgye 3(sam)-dong,Nowon-gu,1963.0,1091,872,978,541,437,193,107,86,178,97,81,205,114,91,12,7,5,139,84,55,15,15,-,106,50,56,77,43,34,9,5,4,18,8,10,6,5,1,3,2,1,14,9,5,10,4,6
Gongneung 2(i)-dong,Nowon-gu,1551.0,874,677,850,478,372,178,105,73,147,79,68,147,77,70,10,7,3,82,48,34,17,16,1,41,17,24,38,25,13,8,4,4,9,5,4,5,3,2,4,3,1,8,4,4,7,3,4
Hagye 1(il)-dong,Nowon-gu,2130.0,1090,1040,911,458,453,223,125,98,180,102,78,216,87,129,14,7,7,293,147,146,28,24,4,152,79,73,68,33,35,9,5,4,21,15,6,2,2,-,3,2,1,8,4,4,2,-,2
Hagye 2(i)-dong,Nowon-gu,1075.0,608,467,534,300,234,126,79,47,112,60,52,98,45,53,8,8,-,83,47,36,16,10,6,41,22,19,35,21,14,-,-,-,7,3,4,2,1,1,-,-,-,11,10,1,2,2,-
Junggyebon-dong,Nowon-gu,944.0,537,407,505,297,208,102,57,45,86,43,43,86,46,40,5,5,-,79,40,39,13,11,2,26,11,15,20,11,9,3,3,-,5,4,1,5,5,-,1,-,1,5,2,3,3,2,1
Junggye 1(il)-dong,Nowon-gu,859.0,487,372,465,250,215,96,65,31,76,49,27,80,42,38,8,2,6,43,33,10,14,9,5,23,11,12,32,14,18,6,4,2,6,4,2,3,1,2,-,-,-,2,1,1,5,2,3
Junggye 4(sa)-dong,Nowon-gu,1325.0,754,571,641,353,288,143,98,45,125,61,64,126,67,59,11,7,4,91,59,32,6,5,1,105,63,42,48,25,23,5,4,1,10,7,3,1,-,1,-,-,-,8,3,5,5,2,3
Sanggye 1(il)-dong,Nowon-gu,1929.0,1068,861,902,489,413,260,151,109,231,149,82,186,98,88,12,11,1,139,64,75,18,15,3,60,22,38,66,35,31,6,4,2,14,10,4,10,5,5,2,-,2,17,11,6,6,4,2
Sanggye 2(i)-dong,Nowon-gu,913.0,554,359,447,270,177,116,66,50,98,63,35,95,51,44,9,8,1,53,38,15,9,9,-,31,19,12,34,16,18,4,3,1,4,2,2,1,1,-,-,-,-,9,6,3,3,2,1
Sanggye 5(o)-dong,Nowon-gu,1091.0,604,487,570,294,276,131,83,48,121,76,45,99,59,40,11,7,4,59,28,31,10,9,1,40,18,22,28,18,10,3,3,-,6,5,1,-,-,-,-,-,-,7,1,6,6,3,3
Sanggye 8(pal)-dong,Nowon-gu,786.0,436,350,388,196,192,84,45,39,101,62,39,92,58,34,5,2,3,39,27,12,8,6,2,32,15,17,20,16,4,5,3,2,4,1,3,-,-,-,2,-,2,5,4,1,1,1,-
Sanggye 9(gu)-dong,Nowon-gu,766.0,425,341,359,183,176,98,52,46,77,44,33,92,58,34,2,1,1,43,31,12,12,10,2,30,11,19,35,19,16,2,2,-,5,4,1,5,5,-,1,1,-,4,3,1,1,1,-
Sanggye 10(sip)-dong,Nowon-gu,591.0,323,268,285,150,135,71,40,31,59,24,35,69,36,33,8,5,3,40,25,15,13,11,2,17,12,5,18,12,6,1,-,1,2,1,1,3,3,-,1,-,1,3,3,-,1,1,-
Sanggye 3.4(sam.sa)-dong,Nowon-gu,2160.0,1246,914,1059,599,460,275,165,110,246,142,104,214,117,97,10,7,3,128,86,42,10,8,2,86,41,45,73,44,29,9,4,5,17,13,4,8,5,3,3,2,1,15,9,6,7,4,3
Sanggye 6.7(yuk.chil)-dong,Nowon-gu,1236.0,672,564,625,339,286,154,76,78,127,72,55,127,66,61,4,3,1,76,46,30,14,14,-,30,10,20,45,27,18,6,4,2,8,5,3,6,4,2,2,-,2,8,4,4,4,2,2
Junggye 2.3(i.sam)-dong,Nowon-gu,3270.0,1787,1483,1545,839,706,396,216,180,323,177,146,322,165,157,30,21,9,234,127,107,29,26,3,212,112,100,100,56,44,16,10,6,20,13,7,4,3,1,6,4,2,18,10,8,15,8,7
Gongneung 1(il)-dong,Nowon-gu,2204.0,1223,981,1156,648,508,202,115,87,225,126,99,213,108,105,14,11,3,130,68,62,17,14,3,119,54,65,72,41,31,11,6,5,9,7,2,7,7,-,4,2,2,15,10,5,10,6,4
Nokbeon-dong,Eunpyeong-gu,1388.0,793,595,703,377,326,162,101,61,151,94,57,148,83,65,16,12,4,68,45,23,13,12,1,50,29,21,45,23,22,4,2,2,5,2,3,5,2,3,4,3,1,13,8,5,1,-,1
Bulgwang 1(il)-dong,Eunpyeong-gu,1606.0,901,705,812,429,383,189,113,76,183,117,66,173,93,80,7,4,3,81,50,31,13,12,1,57,32,25,50,27,23,5,3,2,7,6,1,11,7,4,1,1,-,13,4,9,4,3,1
Galhyeon 1(il)-dong,Eunpyeong-gu,1125.0,649,476,561,326,235,107,62,45,144,83,61,112,54,58,4,4,-,63,40,23,4,3,1,64,41,23,40,20,20,-,-,-,6,4,2,3,3,-,1,1,-,10,5,5,6,3,3
Galhyeon 2(i)-dong,Eunpyeong-gu,1093.0,641,452,554,316,238,99,57,42,133,85,48,105,58,47,10,8,2,75,42,33,9,7,2,43,19,24,40,30,10,-,-,-,8,7,1,7,6,1,-,-,-,9,6,3,1,-,1
Gusan-dong,Eunpyeong-gu,2328.0,1745,583,743,474,269,281,229,52,141,96,45,162,93,69,14,10,4,488,401,87,22,18,4,362,343,19,41,25,16,-,-,-,34,26,8,11,9,2,1,1,-,14,9,5,14,11,3
Daejo-dong,Eunpyeong-gu,1338.0,755,583,661,345,316,152,85,67,150,96,54,145,88,57,8,5,3,72,50,22,7,6,1,57,26,31,43,25,18,3,1,2,8,5,3,9,8,1,-,-,-,15,12,3,8,3,5
Eungam 1(il)-dong,Eunpyeong-gu,1356.0,764,592,658,357,301,155,93,62,145,90,55,169,91,78,8,5,3,74,41,33,13,12,1,65,36,29,36,17,19,6,5,1,4,3,1,7,5,2,1,-,1,9,5,4,6,4,2
Eungam 2(i)-dong,Eunpyeong-gu,1102.0,635,467,523,315,208,134,88,46,144,81,63,123,55,68,6,5,1,47,29,18,8,6,2,58,26,32,34,16,18,6,6,-,2,1,1,5,2,3,3,1,2,5,1,4,4,3,1
Sinsa 1(il)-dong,Eunpyeong-gu,1130.0,648,482,574,314,260,126,70,56,129,78,51,113,67,46,9,6,3,83,55,28,8,4,4,37,24,13,21,17,4,1,-,1,4,2,2,6,5,1,2,1,1,15,4,11,2,1,1
Sinsa 2(i)-dong,Eunpyeong-gu,933.0,556,377,473,260,213,87,57,30,101,68,33,93,58,35,6,3,3,63,40,23,12,12,-,33,18,15,38,20,18,1,1,-,7,4,3,7,4,3,1,1,-,6,5,1,5,5,-
Jeungsan-dong,Eunpyeong-gu,860.0,503,357,424,229,195,96,63,33,90,64,26,101,62,39,8,3,5,55,31,24,2,2,-,32,18,14,30,17,13,-,-,-,3,3,-,8,5,3,1,-,1,7,4,3,3,2,1
Susaek-dong,Eunpyeong-gu,984.0,547,437,513,279,234,99,54,45,97,52,45,102,55,47,11,8,3,70,50,20,7,6,1,41,21,20,24,12,12,2,1,1,4,2,2,7,5,2,1,1,-,6,1,5,-,-,-
Jingwan-dong,Eunpyeong-gu,1787.0,980,807,887,475,412,253,142,111,203,108,95,191,97,94,10,10,-,74,46,28,31,27,4,42,17,25,44,25,19,8,4,4,5,5,-,15,10,5,3,1,2,17,11,6,4,2,2
Bulgwang 2(i)-dong,Eunpyeong-gu,1447.0,833,614,689,382,307,162,102,60,160,93,67,185,104,81,13,10,3,94,54,40,12,12,-,51,27,24,44,29,15,3,3,-,3,3,-,11,6,5,2,1,1,11,5,6,7,2,5
Eungam 3(sam)-dong,Eunpyeong-gu,1235.0,733,502,597,344,253,116,76,40,151,85,66,144,82,62,11,7,4,71,47,24,12,9,3,51,31,20,41,31,10,5,3,2,9,5,4,5,1,4,4,3,1,13,9,4,5,-,5
Yeokchon-dong,Eunpyeong-gu,2051.0,1177,874,950,528,422,227,133,94,246,150,96,234,135,99,22,11,11,157,97,60,15,13,2,91,38,53,60,37,23,8,5,3,13,10,3,5,3,2,3,3,-,16,11,5,4,3,1
Cheonyeon-dong,Seodaemun-gu,838.0,447,391,413,216,197,94,55,39,78,41,37,75,32,43,6,6,-,47,26,21,14,12,2,45,21,24,38,17,21,4,4,-,5,5,-,7,5,2,1,-,1,9,6,3,2,1,1
Hongje 1(il)-dong,Seodaemun-gu,1039.0,588,451,518,275,243,113,67,46,107,69,38,123,70,53,9,6,3,66,37,29,11,9,2,36,21,15,38,22,16,-,-,-,7,4,3,4,2,2,1,1,-,3,2,1,3,3,-
Hongje 3(sam)-dong,Seodaemun-gu,952.0,511,441,474,237,237,120,64,56,112,66,46,96,53,43,10,5,5,45,32,13,6,5,1,35,18,17,30,17,13,4,3,1,5,3,2,3,1,2,1,1,-,10,5,5,1,1,-
Hongje 2(i)-dong,Seodaemun-gu,626.0,344,282,299,149,150,105,69,36,69,37,32,55,27,28,11,9,2,23,13,10,5,3,2,18,12,6,26,15,11,5,3,2,1,1,-,5,5,-,-,-,-,3,1,2,1,-,1
Hongeun 1(il)-dong,Seodaemun-gu,1149.0,634,515,606,336,270,136,69,67,115,69,46,127,67,60,7,6,1,54,29,25,11,10,1,36,16,20,36,18,18,1,-,1,10,7,3,5,3,2,-,-,-,2,2,-,3,2,1
Hongeun 2(i)-dong,Seodaemun-gu,1247.0,703,544,571,308,263,151,87,64,151,96,55,139,66,73,7,7,-,69,44,25,4,4,-,67,45,22,57,26,31,8,5,3,3,3,-,5,4,1,2,1,1,10,5,5,3,2,1
Namgajwa 1(il)-dong,Seodaemun-gu,158.0,89,69,64,39,25,23,11,12,18,8,10,23,13,10,1,1,-,11,6,5,1,1,-,9,4,5,3,3,-,1,-,1,2,1,1,1,1,-,-,-,-,1,1,-,-,-,-
Namgajwa 2(i)-dong,Seodaemun-gu,1390.0,766,624,692,363,329,168,98,70,146,90,56,143,74,69,7,3,4,79,57,22,6,5,1,59,24,35,52,30,22,7,5,2,6,4,2,4,2,2,-,-,-,11,5,6,10,6,4
Bukgajwa 1(il)-dong,Seodaemun-gu,681.0,386,295,315,172,143,79,47,32,81,49,32,82,45,37,4,1,3,47,27,20,8,7,1,24,13,11,24,14,10,3,2,1,6,5,1,3,2,1,-,-,-,4,2,2,1,-,1
Bukgajwa 2(i)-dong,Seodaemun-gu,1455.0,828,627,762,436,326,158,88,70,153,92,61,132,67,65,11,9,2,72,51,21,6,6,-,63,26,37,65,37,28,6,2,4,6,2,4,2,-,2,3,1,2,12,10,2,4,1,3
Chunghyeon-dong,Seodaemun-gu,776.0,464,312,373,231,142,93,55,38,95,55,40,90,48,42,5,4,1,45,31,14,3,3,-,26,14,12,29,12,17,3,2,1,2,2,-,6,4,2,-,-,-,6,3,3,-,-,-
Bugahyeon-dong,Seodaemun-gu,450.0,260,190,224,129,95,55,30,25,44,25,19,62,37,25,4,4,-,26,16,10,6,5,1,10,7,3,7,2,5,2,1,1,3,2,1,3,1,2,-,-,-,3,1,2,1,-,1
Sinchon-dong,Seodaemun-gu,537.0,284,253,269,135,134,76,42,34,56,30,26,49,24,25,2,2,-,29,23,6,4,4,-,16,8,8,24,10,14,-,-,-,2,1,1,2,1,1,-,-,-,6,2,4,2,2,-
