Dong,복지_국민기초생활보장수급자_Autonomous Gu_Autonomous Gu,복지_국민기초생활보장수급자_Total recipients_Households,복지_국민기초생활보장수급자_Total recipients_Facility,복지_국민기초생활보장수급자_Total recipients_Persons,복지_국민기초생활보장수급자_General Recipients_Households,복지_국민기초생활보장수급자_General Recipients_Persons,복지_국민기초생활보장수급자_Conditional recipients_Households,복지_국민기초생활보장수급자_Conditional recipients_Persons,복지_국민기초생활보장수급자_Special recipients_Households,복지_국민기초생활보장수급자_Special recipients_Persons,복지_국민기초생활보장수급자_Institutional Recipients_Facility,복지_국민기초생활보장수급자_Institutional Recipients_Persons
Suyu 3(sam)-dong,Gangbuk-gu,436,1,627.0,362,496,50,88,24,39,1,4
Samyang-dong,Gangbuk-gu,686,-,1080.0,578,832,90,211,18,37,-,-
Mia-dong,Gangbuk-gu,314,1,431.0,278,360,30,58,6,10,1,3
Songjung-dong,Gangbuk-gu,430,1,603.0,369,480,47,99,14,23,1,1
Songcheon-dong,Gangbuk-gu,631,-,900.0,546,736,74,148,11,16,-,-
Samgaksan-dong,Gangbuk-gu,656,-,1010.0,571,846,69,137,16,27,-,-
Ui-dong,Gangbuk-gu,294,-,471.0,256,388,35,75,3,8,-,-
Insu-dong,Gangbuk-gu,605,1,1010.0,499,742,85,222,21,39,1,7
Ssangmun 1(il)-dong,Dobong-gu,287,1,454.0,242,340,36,88,9,23,1,3
Ssangmun 2(i)-dong,Dobong-gu,270,1,433.0,240,362,22,51,8,14,1,6
Ssangmun 3(sam)-dong,Dobong-gu,185,1,251.0,169,208,14,39,2,3,1,1
Ssangmun 4(sa)-dong,Dobong-gu,69,-,103.0,55,71,12,30,2,2,-,-
Banghak 1(il)-dong,Dobong-gu,427,1,691.0,362,536,56,133,9,18,1,4
Banghak 2(i)-dong,Dobong-gu,569,1,962.0,486,778,75,169,8,13,1,2
Banghak 3(sam)-dong,Dobong-gu,78,-,93.0,75,88,2,4,1,1,-,-
Chang 1(il)-dong,Dobong-gu,153,-,193.0,129,156,16,28,8,9,-,-
