Dong,青沥_青沥备开_Autonomous Gu_Autonomous Gu,青沥_青沥备开_Area(km2)_Area(km2),青沥_青沥备开_Area(km2)_Composition,青沥_青沥备开_Dong_Administraci？n,青沥_青沥备开_Dong_Court ,青沥_青沥备开_Tong_Tong,青沥_青沥备开_Ban_Ban
Seokgwan-dong,Seongbuk-gu,1.73,0.29,1.0,1,43.0,360.0
Beon 1(il)-dong,Gangbuk-gu,0.55,0.09,1.0,1,27.0,240.0
Beon 2(i)-dong,Gangbuk-gu,1.25,0.21,1.0,-,25.0,214.0
Beon 3(sam)-dong,Gangbuk-gu,0.86,0.14,1.0,-,24.0,230.0
Suyu 1(il)-dong,Gangbuk-gu,1.07,0.18,1.0,1,26.0,217.0
Suyu 2(i)-dong,Gangbuk-gu,0.73,0.12,1.0,-,24.0,218.0
Suyu 3(sam)-dong,Gangbuk-gu,0.86,0.14,1.0,-,29.0,235.0
Samyang-dong,Gangbuk-gu,0.95,0.16,1.0,-,37.0,328.0
Mia-dong,Gangbuk-gu,0.73,0.12,1.0,1,27.0,234.0
Songjung-dong,Gangbuk-gu,1.22,0.2,1.0,-,41.0,364.0
Songcheon-dong,Gangbuk-gu,0.88,0.15,1.0,-,42.0,350.0
Samgaksan-dong,Gangbuk-gu,0.62,0.1,1.0,-,31.0,259.0
Ui-dong,Gangbuk-gu,10.95,1.81,1.0,1,23.0,203.0
