Dong,인구_인구이동_Autonomous Gu_Autonomous Gu_Autonomous Gu,인구_인구이동_Classification_ Total in migrants (⑦=①+③+⑤)_ Total in migrants (⑦=①+③+⑤),인구_인구이동_Classification_ Out-migrants(⑧=②+④+⑥)_ Out-migrants(⑧=②+④+⑥),인구_인구이동_Classification_ Intra-gu migration_ In-migrants(①),인구_인구이동_Classification_ Intra-gu migration_ Out-migrants(②),인구_인구이동_Classification_ Intra-gu migration_ In-migrants(③),인구_인구이동_Classification_ Intra-gu migration_ Out-migrants(④),인구_인구이동_Classification_ Migration between City and province_ In-migrants(⑤),인구_인구이동_Classification_ Migration between City and province_ Out-migrants(⑥)
gongdeok-dong,Mapo-gu,5887.0,5745.0,855.0,884.0,3426.0,3022.0,1606.0,1839.0
Ahyeon-dong,Mapo-gu,2641.0,3149.0,601.0,649.0,1257.0,1490.0,783.0,1010.0
Mok 1(il)-dong,Yangcheon-gu,3993.0,4278.0,1166.0,1211.0,1722.0,1763.0,1105.0,1304.0
Mok 2(i)-dong,Yangcheon-gu,4766.0,5148.0,1208.0,1194.0,2159.0,2086.0,1399.0,1868.0
Mok 3(sam)-dong,Yangcheon-gu,3865.0,4057.0,1037.0,918.0,1895.0,1849.0,933.0,1290.0
Mok 4(sa)-dong,Yangcheon-gu,4131.0,4233.0,1465.0,1290.0,1613.0,1593.0,1053.0,1350.0
Sinwol 1(il)-dong,Yangcheon-gu,3333.0,3706.0,778.0,728.0,1575.0,1504.0,980.0,1474.0
Sinwol 2(i)-dong,Yangcheon-gu,2994.0,2935.0,1439.0,1223.0,875.0,725.0,680.0,987.0
Sinwol 3(sam)-dong,Yangcheon-gu,2573.0,2768.0,608.0,635.0,1052.0,884.0,913.0,1249.0
Sinwol 4(sa)-dong,Yangcheon-gu,2893.0,2694.0,1432.0,1094.0,785.0,669.0,676.0,931.0
Sinwol 5(o)-dong,Yangcheon-gu,2409.0,2336.0,455.0,364.0,1236.0,1112.0,718.0,860.0
Sinwol 6(yuk)-dong,Yangcheon-gu,1557.0,2033.0,767.0,919.0,375.0,464.0,415.0,650.0
Sinwol 7(chil)-dong,Yangcheon-gu,2615.0,3203.0,903.0,1029.0,806.0,841.0,906.0,1333.0
Sinjeong 1(il)-dong,Yangcheon-gu,2218.0,2657.0,947.0,1108.0,709.0,825.0,562.0,724.0
Sinjeong 2(i)-dong,Yangcheon-gu,2459.0,2607.0,841.0,856.0,952.0,927.0,666.0,824.0
Sinjeong 3(sam)-dong,Yangcheon-gu,6338.0,7400.0,2095.0,2134.0,2473.0,2618.0,1770.0,2648.0
Sinjeong 6(yuk)-dong,Yangcheon-gu,3049.0,3357.0,1171.0,1199.0,1046.0,1189.0,832.0,969.0
Sinjeong 7(chil)-dong,Yangcheon-gu,3471.0,3929.0,1259.0,1214.0,1356.0,1531.0,856.0,1184.0
Mok 5(o)-dong,Yangcheon-gu,4778.0,5054.0,970.0,1439.0,2432.0,2096.0,1376.0,1519.0
Sinjeong 4(sa)-dong,Yangcheon-gu,5563.0,6110.0,1616.0,1602.0,2196.0,2229.0,1751.0,2279.0
Yeomchang-dong,Gangseo-gu,5055.0,5467.0,1242.0,1378.0,2311.0,2013.0,1502.0,2076.0
Deungchon 1(il)-dong,Gangseo-gu,4398.0,4048.0,1267.0,1368.0,1553.0,1154.0,1578.0,1526.0
Deungchon 2(i)-dong,Gangseo-gu,3060.0,3239.0,709.0,783.0,1535.0,1351.0,816.0,1105.0
Deungchon 3(sam)-dong,Gangseo-gu,3941.0,4416.0,1154.0,1462.0,1565.0,1257.0,1222.0,1697.0
Hwagokbon-dong,Gangseo-gu,6073.0,6231.0,2036.0,2167.0,2169.0,1594.0,1868.0,2470.0
Hwagok 2(i)-dong,Gangseo-gu,3198.0,3442.0,1197.0,1327.0,1190.0,946.0,811.0,1169.0
Hwagok 3(sam)-dong,Gangseo-gu,3685.0,3769.0,1525.0,1377.0,1246.0,1089.0,914.0,1303.0
Hwagok 4(sa)-dong,Gangseo-gu,3521.0,3426.0,980.0,950.0,1582.0,1233.0,959.0,1243.0
Hwagok 6(yuk)-dong,Gangseo-gu,4560.0,4187.0,1635.0,1418.0,1466.0,1022.0,1459.0,1747.0
Hwagok 8(pal)-dong,Gangseo-gu,4423.0,4595.0,1496.0,1593.0,1824.0,1334.0,1103.0,1668.0
Gayang 1(il)-dong,Gangseo-gu,4430.0,2908.0,1701.0,965.0,1710.0,700.0,1019.0,1243.0
Gayang 2(i)-dong,Gangseo-gu,2062.0,2429.0,545.0,846.0,886.0,709.0,631.0,874.0
Gayang 3(sam)-dong,Gangseo-gu,2339.0,2736.0,659.0,895.0,1008.0,809.0,672.0,1032.0
Balsan 1(il)-dong,Gangseo-gu,4463.0,4500.0,2158.0,1609.0,1158.0,1242.0,1147.0,1649.0
Gonghang-dong,Gangseo-gu,3439.0,3676.0,1091.0,1148.0,906.0,761.0,1442.0,1767.0
Banghwa 1(il)-dong,Gangseo-gu,4240.0,4692.0,2043.0,1933.0,902.0,801.0,1295.0,1958.0
Banghwa 2(i)-dong,Gangseo-gu,3642.0,3870.0,1362.0,1466.0,845.0,690.0,1435.0,1714.0
Banghwa 3(sam)-dong,Gangseo-gu,3399.0,3893.0,1256.0,1301.0,934.0,943.0,1209.0,1649.0
Hwagok 1(il)-dong,Gangseo-gu,9166.0,8818.0,2110.0,2385.0,4091.0,3110.0,2965.0,3323.0
Ujangsan-dong,Gangseo-gu,5608.0,5904.0,2619.0,2414.0,1491.0,1478.0,1498.0,2012.0
Sindorim-dong,Guro-gu,4193.0,4813.0,805.0,596.0,1971.0,2159.0,1417.0,2058.0
Guro 1(il)-dong,Guro-gu,2376.0,2910.0,380.0,398.0,1024.0,961.0,972.0,1551.0
Guro 3(sam)-dong,Guro-gu,5513.0,5793.0,859.0,853.0,2079.0,2501.0,2575.0,2439.0
Guro 4(sa)-dong,Guro-gu,3677.0,4504.0,1150.0,1332.0,1341.0,1442.0,1186.0,1730.0
Guro 5(o)-dong,Guro-gu,5350.0,5464.0,993.0,1077.0,2188.0,2183.0,2169.0,2204.0
Gocheok 1(il)-dong,Guro-gu,3075.0,3200.0,1150.0,942.0,934.0,952.0,991.0,1306.0
Gocheok 2(i)-dong,Guro-gu,3868.0,4191.0,1313.0,1255.0,1452.0,1316.0,1103.0,1620.0
Gaebong 2(i)-dong,Guro-gu,4433.0,4703.0,1315.0,1229.0,1313.0,1230.0,1805.0,2244.0
Gaebong 3(sam)-dong,Guro-gu,2918.0,3135.0,865.0,950.0,652.0,565.0,1401.0,1620.0
Oryu 1(il)-dong,Guro-gu,3093.0,3190.0,881.0,891.0,891.0,805.0,1321.0,1494.0
Oryu 2(i)-dong,Guro-gu,5264.0,5024.0,1368.0,991.0,1751.0,1342.0,2145.0,2691.0
