Dong,외국인_등록외국인현황체류자격별_Period,외국인_등록외국인현황체류자격별_Gu,외국인_등록외국인현황체류자격별_Total,외국인_등록외국인현황체류자격별_문화예술(D-1),외국인_등록외국인현황체류자격별_유학(D-2),외국인_등록외국인현황체류자격별_산업연수(D-3),외국인_등록외국인현황체류자격별_일반연수(D-4),외국인_등록외국인현황체류자격별_취재(D-5),외국인_등록외국인현황체류자격별_종교(D-6),외국인_등록외국인현황체류자격별_상사주재(D-7),외국인_등록외국인현황체류자격별_기업투자(D-8),외국인_등록외국인현황체류자격별_무역경영(D-9),외국인_등록외국인현황체류자격별_구직(D-10),외국인_등록외국인현황체류자격별_교수(E-1),외국인_등록외국인현황체류자격별_회화지도(E-2),외국인_등록외국인현황체류자격별_연구(E-3),외국인_등록외국인현황체류자격별_기술지도(E-4),외국인_등록외국인현황체류자격별_전문직업(E-5),외국인_등록외국인현황체류자격별_예술흥행(E-6),외국인_등록외국인현황체류자격별_특정활동(E-7),외국인_등록외국인현황체류자격별_비전문취업(E-9),외국인_등록외국인현황체류자격별_선원취업(E-10),외국인_등록외국인현황체류자격별_방문동거(F-1),외국인_등록외국인현황체류자격별_거주(F-2),외국인_등록외국인현황체류자격별_동반(F-3),외국인_등록외국인현황체류자격별_영주(F-5),외국인_등록외국인현황체류자격별_결혼이민(F-6),외국인_등록외국인현황체류자격별_기타(G-1),외국인_등록외국인현황체류자격별_관광취업(H-1),외국인_등록외국인현황체류자격별_방문취업(H-2)
Dangsan2(i)-dong,2014.1/4,Yeongdeungpo-gu,472.0,-,7,2,15,1,9,1,3,2,4,-,10,-,-,-,-,28,10,-,30,30,10,116,43,3,1,147
Yangpyeong 1(il)-dong,2014.1/4,Yeongdeungpo-gu,318.0,-,2,2,1,-,-,-,4,-,1,-,25,-,-,-,-,9,23,-,14,32,4,89,30,-,-,82
Yangpyeong 2(i)-dong,2014.1/4,Yeongdeungpo-gu,272.0,-,8,1,7,-,1,2,8,9,1,-,13,1,-,1,2,21,17,-,12,14,4,55,22,-,-,73
Singil 1(il)-dong,2014.1/4,Yeongdeungpo-gu,2714.0,-,14,-,3,-,2,-,2,1,4,-,5,-,-,-,-,29,13,-,223,181,7,615,199,3,1,1412
Singil 3(sam)-dong,2014.1/4,Yeongdeungpo-gu,1195.0,-,3,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,4,-,84,70,1,293,87,2,-,650
Singil 4(sa)-dong,2014.1/4,Yeongdeungpo-gu,1289.0,-,6,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-,4,-,111,66,-,275,88,4,2,730
Singil 5(o)-dong,2014.1/4,Yeongdeungpo-gu,2699.0,-,4,-,8,-,1,-,2,-,1,-,2,-,-,-,-,3,10,-,222,152,1,569,212,10,1,1501
Singil 6(yuk)-dong,2014.1/4,Yeongdeungpo-gu,1762.0,-,12,-,1,-,2,-,1,-,1,-,9,-,-,-,-,5,10,-,103,92,-,414,100,8,-,1004
Singil 7(chil)-dong,2014.1/4,Yeongdeungpo-gu,384.0,-,-,-,2,-,-,-,-,-,3,-,6,-,-,-,-,1,5,-,26,26,-,97,24,1,-,193
Daerim 1(il)-dong,2014.1/4,Yeongdeungpo-gu,3323.0,-,15,1,6,-,1,2,2,-,3,-,2,-,-,-,-,7,10,-,205,207,2,725,199,35,2,1899
Daerim 2(i)-dong,2014.1/4,Yeongdeungpo-gu,8598.0,-,32,1,16,-,-,-,14,7,14,-,3,1,-,-,-,19,50,-,578,504,11,1908,433,47,-,4960
Daerim 3(sam)-dong,2014.1/4,Yeongdeungpo-gu,3963.0,-,17,1,8,-,-,-,3,1,9,-,10,-,-,-,-,8,28,-,280,212,8,858,236,20,3,2261
Yeongdeungpobon-dong,2014.1/4,Yeongdeungpo-gu,2777.0,-,13,1,5,-,-,-,8,3,2,-,5,2,-,-,-,11,10,-,188,166,9,574,163,8,1,1608
Yeongdeungpo-dong,2014.1/4,Yeongdeungpo-gu,925.0,-,14,-,6,-,-,-,13,1,4,-,4,-,-,-,10,39,19,-,46,71,8,203,70,7,1,409
Dorim-dong,2014.1/4,Yeongdeungpo-gu,2955.0,-,20,-,8,-,1,6,3,-,3,-,3,1,-,-,1,14,23,-,172,178,11,694,198,19,-,1600
Mullae-dong,2014.1/4,Yeongdeungpo-gu,274.0,-,3,4,1,-,-,2,1,-,1,1,4,-,-,1,-,15,23,-,10,19,6,90,37,1,2,53
Noryangjin 2(i)-dong,2014.1/4,Dongjak-gu,1019.0,-,10,-,1,-,4,-,-,-,2,-,4,-,-,-,-,3,5,-,76,63,-,214,55,15,1,566
Sangdo 1(il)-dong,2014.1/4,Dongjak-gu,1172.0,2,512,1,192,-,4,-,1,-,44,20,26,4,-,-,1,23,3,-,29,32,16,93,84,7,5,73
Sangdo 2(i)-dong,2014.1/4,Dongjak-gu,399.0,-,6,-,1,-,-,-,-,-,1,-,5,-,-,-,-,2,1,-,21,22,-,79,53,82,-,126
Sangdo 3(sam)-dong,2014.1/4,Dongjak-gu,326.0,-,5,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,3,-,27,13,-,58,43,2,1,173
Sangdo 4(sa)-dong,2014.1/4,Dongjak-gu,310.0,-,7,-,-,-,3,-,-,-,1,1,-,-,-,-,-,3,-,-,26,19,-,80,52,2,-,116
Sadang 1(il)-dong,2014.1/4,Dongjak-gu,806.0,-,30,-,21,-,-,-,6,-,10,1,12,2,-,-,1,12,4,-,57,47,4,148,59,1,1,390
Sadang 3(sam)-dong,2014.1/4,Dongjak-gu,275.0,-,10,-,11,-,1,1,1,-,1,-,9,1,-,-,-,3,1,-,13,8,-,41,42,-,-,132
Sadang 4(sa)-dong,2014.1/4,Dongjak-gu,167.0,-,8,-,7,-,1,-,1,-,1,-,-,-,-,-,-,1,2,-,10,11,-,25,25,-,-,75
Sadang 5(o)-dong,2014.1/4,Dongjak-gu,204.0,-,29,-,60,-,-,-,-,-,4,-,2,-,-,-,-,-,-,-,6,9,5,18,23,1,-,47
Daebang-dong,2014.1/4,Dongjak-gu,393.0,-,11,1,4,-,-,-,2,-,2,-,14,-,-,-,-,6,8,-,34,22,-,82,52,7,1,147
Sindaebang 1(il)-dong,2014.1/4,Dongjak-gu,2716.0,-,13,-,3,-,-,1,3,-,-,-,2,1,-,-,-,8,21,-,160,150,4,656,162,8,1,1523
Sindaebang 2(i)-dong,2014.1/4,Dongjak-gu,291.0,-,5,-,2,-,-,-,2,1,1,-,4,1,-,-,-,1,1,-,31,8,4,44,32,-,1,153
Heukseok-dong,2014.1/4,Dongjak-gu,1647.0,-,992,-,232,-,-,-,3,-,73,13,11,5,-,-,-,33,6,-,20,32,24,63,59,2,2,77
Noryangjin 1(il)-dong,2014.1/4,Dongjak-gu,420.0,-,13,-,1,-,1,1,6,-,1,1,3,-,-,-,-,8,8,-,30,20,7,73,54,2,-,191
Sadang 2(i)-dong,2014.1/4,Dongjak-gu,570.0,-,2,-,9,-,-,1,1,-,1,2,5,-,-,-,-,6,18,-,40,28,3,120,66,1,-,267
Boramae-dong,2014.1/4,Gwanak-gu,997.0,-,16,1,10,1,1,-,2,-,6,1,18,1,-,-,-,6,6,-,77,52,4,198,133,2,2,460
Cheongnim-dong,2014.1/4,Gwanak-gu,204.0,-,59,-,2,-,-,-,-,-,3,14,3,9,-,-,-,5,-,-,7,10,13,22,17,1,-,39
Haengun-dong,2014.1/4,Gwanak-gu,533.0,1,21,2,15,-,-,-,1,-,8,-,22,1,-,-,-,14,14,-,25,28,3,90,61,6,3,218
Nagseongdae-dong,2014.1/4,Gwanak-gu,1527.0,8,786,-,65,-,1,-,1,1,9,73,19,74,-,-,-,40,7,-,36,35,147,72,35,1,4,113
Jungang-dong,2014.1/4,Gwanak-gu,468.0,-,15,-,10,-,-,1,1,-,3,1,8,3,-,-,-,11,5,-,30,26,9,86,42,-,2,215
Inheon-dong,2014.1/4,Gwanak-gu,370.0,-,25,-,3,-,-,-,-,-,3,3,8,-,-,-,-,20,4,-,25,25,15,62,43,2,2,130
Namhyeon-dong,2014.1/4,Gwanak-gu,228.0,-,2,-,-,-,2,-,2,-,-,-,7,6,-,-,-,15,4,-,14,12,2,47,43,-,1,71
Sewon-dong,2014.1/4,Gwanak-gu,666.0,-,38,-,12,-,-,1,1,-,10,5,7,2,-,-,-,28,15,-,47,17,12,108,58,1,2,302
Sinwon-dong,2014.1/4,Gwanak-gu,1088.0,-,20,-,11,-,-,-,-,-,1,-,3,1,-,-,-,13,6,-,93,48,1,182,67,2,1,639
Serim-dong,2014.1/4,Gwanak-gu,381.0,-,59,1,114,-,-,-,-,-,11,-,6,-,-,-,-,8,-,-,22,10,4,17,26,1,4,98
Sinsa-dong,2014.1/4,Gwanak-gu,2382.0,-,16,1,4,-,-,-,1,-,2,-,7,-,-,-,-,8,9,-,182,132,3,593,158,8,4,1254
Sillim-dong,2014.1/4,Gwanak-gu,2029.0,-,63,2,30,-,-,1,6,-,9,12,16,4,-,-,3,28,12,-,119,145,12,504,262,18,4,779
Nanhyang-dong,2014.1/4,Gwanak-gu,97.0,-,-,1,1,-,1,-,-,-,-,-,2,-,-,-,-,1,11,-,12,3,-,23,24,-,-,18
Jowon-dong,2014.1/4,Gwanak-gu,2080.0,-,15,1,7,-,-,-,3,-,4,-,4,1,-,-,-,4,16,-,130,116,-,425,113,6,2,1233
Daehak-dong,2014.1/4,Gwanak-gu,470.0,4,197,-,75,-,-,-,1,-,19,6,2,13,-,-,-,14,5,-,4,10,16,30,18,-,3,53
Euncheon-dong,2014.1/4,Gwanak-gu,799.0,-,12,-,5,-,2,-,2,1,1,1,14,2,-,-,-,7,18,-,51,56,8,203,97,6,1,312
Seonghyeon-dong,2014.1/4,Gwanak-gu,212.0,-,6,-,3,-,-,1,1,-,1,-,5,1,-,-,-,3,2,-,23,9,-,41,56,1,-,59
Cheongnyong-dong,2014.1/4,Gwanak-gu,1552.0,-,54,-,37,-,-,-,-,-,11,2,34,1,-,-,-,8,10,-,92,76,7,360,124,2,3,731
Nangok-dong,2014.1/4,Gwanak-gu,380.0,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2,-,39,20,-,67,73,-,-,177
Samseong-dong,2014.1/4,Gwanak-gu,127.0,-,3,-,2,-,-,1,-,-,-,-,-,-,-,-,1,-,1,-,10,7,-,35,26,-,1,40
Miseong-dong,2014.1/4,Gwanak-gu,495.0,-,6,-,2,-,-,-,1,-,1,-,2,-,-,-,-,2,5,-,50,25,1,99,68,3,2,228
Seocho 1(il)-dong,2014.1/4,Seocho-gu,304.0,1,21,-,4,-,-,4,25,-,6,1,31,3,-,-,2,64,4,-,9,12,16,27,23,2,2,47
Seocho 2(i)-dong,2014.1/4,Seocho-gu,346.0,-,5,1,2,-,1,15,51,5,2,1,6,3,-,-,-,120,11,4,13,3,38,21,13,-,-,31
Seocho 3(sam)-dong,2014.1/4,Seocho-gu,340.0,-,12,-,6,-,3,2,14,-,2,6,40,-,-,-,1,64,24,-,15,13,20,24,20,-,1,73
Seocho 4(sa)-dong,2014.1/4,Seocho-gu,351.0,-,3,-,1,-,1,6,27,5,1,1,29,1,-,-,50,85,9,-,16,5,61,10,19,8,-,13
Jamwon-dong,2014.1/4,Seocho-gu,266.0,-,2,-,2,-,1,1,5,-,4,-,16,-,-,-,-,59,14,-,24,13,2,28,29,1,2,63
Banpobon-dong,2014.1/4,Seocho-gu,77.0,-,3,-,1,-,-,-,4,-,-,-,-,-,-,-,1,19,4,-,4,3,11,8,8,-,-,11
Banpo 1(il)-dong,2014.1/4,Seocho-gu,354.0,-,4,-,-,-,-,6,19,1,4,1,33,2,-,-,2,37,8,-,27,18,33,46,28,-,4,81
Banpo 2(i)-dong,2014.1/4,Seocho-gu,98.0,-,3,-,2,-,-,3,10,1,-,-,1,-,-,-,-,7,1,-,13,2,38,8,6,-,-,3
Banpo 3(sam)-dong,2014.1/4,Seocho-gu,53.0,-,-,-,2,-,-,-,-,-,-,-,1,-,-,-,-,8,3,-,4,3,-,14,12,1,-,5
Banpo 4(sa)-dong,2014.1/4,Seocho-gu,579.0,-,5,-,6,-,1,14,65,5,1,1,24,2,-,-,-,66,5,-,39,10,247,45,29,1,-,13
Bangbaebon-dong,2014.1/4,Seocho-gu,229.0,-,5,-,-,-,-,5,18,-,1,-,2,-,-,1,1,23,7,-,24,12,64,15,26,1,-,24
Bangbae 1(il)-dong,2014.1/4,Seocho-gu,142.0,-,-,-,3,-,-,-,5,-,2,-,8,1,-,-,-,14,6,-,5,2,3,28,25,1,1,38
Bangbae 2(i)-dong,2014.1/4,Seocho-gu,244.0,-,4,-,1,-,5,1,1,-,1,2,3,2,-,-,-,20,2,-,15,21,3,49,35,1,-,78
Bangbae 3(sam)-dong,2014.1/4,Seocho-gu,141.0,-,1,-,-,-,2,-,1,-,-,-,2,-,-,-,-,13,9,-,16,12,3,20,19,-,1,42
Bangbae 4(sa)-dong,2014.1/4,Seocho-gu,335.0,-,1,-,3,-,7,7,44,1,1,3,8,-,-,-,2,24,5,-,30,10,117,25,26,-,2,19
Yangjae 1(il)-dong,2014.1/4,Seocho-gu,410.0,-,40,-,3,-,-,1,7,2,1,-,11,5,-,-,1,35,44,-,30,13,19,43,69,1,1,84
Yangjae 2(i)-dong,2014.1/4,Seocho-gu,274.0,-,4,-,-,-,1,1,1,-,-,-,17,1,-,-,-,35,18,-,17,19,11,30,41,1,-,77
Naegok-dong,2014.1/4,Seocho-gu,48.0,-,2,-,1,-,-,-,-,-,1,-,1,-,-,-,-,-,6,-,1,3,-,6,15,1,-,11
Sinsa-dong,2014.1/4,Gangnam-gu,256.0,-,6,1,4,-,-,-,11,2,5,2,49,-,-,-,2,36,23,-,17,12,3,33,25,1,3,21
Nonhyeon 1(il)-dong,2014.1/4,Gangnam-gu,509.0,-,15,-,7,-,-,1,18,1,10,2,43,1,-,-,4,74,32,-,25,20,11,53,56,3,7,126
Nonhyeon 2(i)-dong,2014.1/4,Gangnam-gu,276.0,-,5,-,6,-,2,1,22,6,2,-,14,1,-,-,5,65,30,-,5,2,14,34,19,1,11,31
Samseong 1(il)-dong,2014.1/4,Gangnam-gu,403.0,-,6,-,3,-,-,8,63,32,1,1,4,1,1,1,4,81,38,-,22,6,76,10,21,3,1,20
Samseong 2(i)-dong,2014.1/4,Gangnam-gu,216.0,-,7,-,2,-,-,5,20,10,2,-,14,1,1,-,7,35,4,-,16,5,34,16,21,-,-,16
Daechi 1(il)-dong,2014.1/4,Gangnam-gu,142.0,-,4,4,-,-,1,5,10,-,1,-,18,1,-,1,-,23,9,-,10,3,5,14,15,2,1,15
Daechi 4(sa)-dong,2014.1/4,Gangnam-gu,289.0,-,8,-,18,-,-,7,21,4,8,1,57,1,-,-,2,44,-,-,10,6,6,21,35,-,4,36
Yeoksam 1(il)-dong,2014.1/4,Gangnam-gu,1091.0,-,27,1,21,-,1,26,99,24,12,4,178,2,-,4,13,226,35,-,33,39,82,56,81,2,30,95
Yeoksam 2(i)-dong,2014.1/4,Gangnam-gu,294.0,-,3,-,6,-,-,17,59,7,4,1,25,-,-,-,2,34,6,-,12,9,35,22,20,-,10,22
Dogok 1(il)-dong,2014.1/4,Gangnam-gu,190.0,-,2,-,-,-,-,1,14,-,-,-,13,2,-,-,1,17,14,-,19,5,15,26,29,2,3,27
Dogok 2(i)-dong,2014.1/4,Gangnam-gu,198.0,-,4,-,2,-,-,1,23,14,3,-,6,1,-,-,1,29,-,-,8,9,59,16,10,-,1,11
Gaepo 1(il)-dong,2014.1/4,Gangnam-gu,124.0,-,1,-,-,-,1,1,1,-,1,-,7,-,-,-,-,5,3,-,15,14,4,25,30,2,-,14
Gaepo 4(sa)-dong,2014.1/4,Gangnam-gu,129.0,-,-,-,-,-,-,-,-,-,2,-,5,-,-,1,-,8,5,-,9,5,5,18,30,-,1,40
Irwonbon-dong,2014.1/4,Gangnam-gu,36.0,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2,-,4,1,-,6,11,4,-,6
Irwon 1(il)-dong,2014.1/4,Gangnam-gu,140.0,-,1,-,1,-,-,-,1,-,-,-,14,-,-,-,-,1,-,-,12,6,-,29,18,11,-,46
Irwon 2(i)-dong,2014.1/4,Gangnam-gu,48.0,-,1,-,-,-,-,4,-,-,-,1,13,-,-,-,-,5,-,-,2,-,1,7,10,-,-,4
Suseo-dong,2014.1/4,Gangnam-gu,127.0,-,-,-,1,-,-,2,-,-,-,1,8,-,-,-,32,10,2,-,9,2,2,16,29,-,-,13
Segok-dong,2014.1/4,Gangnam-gu,119.0,-,-,-,-,-,1,-,-,-,1,-,2,-,-,-,1,3,41,-,9,4,3,14,25,-,-,15
Apgujeong -dong,2014.1/4,Gangnam-gu,189.0,-,6,-,5,-,-,-,7,-,3,4,16,-,-,-,8,32,9,-,12,4,6,17,15,-,23,22
Cheongdam -dong,2014.1/4,Gangnam-gu,308.0,-,14,-,7,-,-,2,25,2,1,-,22,1,-,-,19,55,13,-,32,11,16,17,32,-,7,32
Daechi 2(i)-dong,2014.1/4,Gangnam-gu,219.0,-,1,-,2,-,-,7,12,1,1,-,26,1,-,-,3,46,-,-,10,7,15,23,13,-,1,50
Gaepo 2(i)-dong,2014.1/4,Gangnam-gu,94.0,-,2,-,-,-,-,-,1,-,1,-,2,-,-,-,-,1,3,-,17,5,-,20,23,2,-,17
Pungnap 1(il)-dong,2014.1/4,Songpa-gu,896.0,-,6,-,4,-,-,-,-,-,1,3,7,-,-,-,-,-,2,-,60,61,4,193,76,3,1,475
Pungnap 2(i)-dong,2014.1/4,Songpa-gu,183.0,-,5,-,8,-,-,-,1,-,1,6,30,3,-,-,3,2,3,-,21,5,8,20,33,4,-,30
Geoyeo 1(il)-dong,2014.1/4,Songpa-gu,164.0,-,2,1,3,-,-,-,-,-,-,-,3,-,-,-,-,1,2,-,7,13,-,30,52,6,-,44
Geoyeo 2(i)-dong,2014.1/4,Songpa-gu,118.0,-,-,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2,-,15,5,-,27,38,-,-,28
Macheon 1(il)-dong,2014.1/4,Songpa-gu,222.0,-,5,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2,1,-,23,16,3,38,63,4,-,66
Macheon 2(i)-dong,2014.1/4,Songpa-gu,227.0,-,1,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,10,-,33,10,2,32,57,1,-,79
Bangi 1(il)-dong,2014.1/4,Songpa-gu,174.0,-,3,-,-,-,-,-,2,-,2,1,27,-,-,-,3,10,18,-,10,11,-,27,18,1,1,40
Bangi 2(i)-dong,2014.1/4,Songpa-gu,388.0,-,3,-,-,-,-,-,2,-,1,-,29,-,-,-,1,33,20,-,21,12,-,59,45,-,7,155
Oryun-dong,2014.1/4,Songpa-gu,28.0,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,3,2,4,-,4,1,2,3,4,-,-,3
Ogeum-dong,2014.1/4,Songpa-gu,183.0,-,1,-,1,-,11,-,1,-,-,-,14,-,-,-,-,11,20,-,13,7,-,26,37,1,1,39
Songpa 1(il)-dong,2014.1/4,Songpa-gu,482.0,-,1,1,2,-,-,-,4,-,2,-,11,-,-,-,-,13,18,-,36,25,3,96,64,1,1,204
Songpa 2(i)-dong,2014.1/4,Songpa-gu,190.0,-,1,-,2,-,-,-,-,-,-,-,1,-,-,-,-,2,2,-,11,13,2,41,22,-,-,93
Seokchon-dong,2014.1/4,Songpa-gu,714.0,-,5,-,1,-,-,-,1,-,2,1,14,1,-,-,-,6,12,-,65,42,-,126,76,4,-,358
Samjeon-dong,2014.1/4,Songpa-gu,380.0,-,2,-,5,-,1,-,3,-,1,-,50,1,-,-,-,5,6,-,33,30,-,57,70,3,-,113
Garakbon-dong,2014.1/4,Songpa-gu,403.0,-,3,-,2,-,-,2,6,-,-,-,21,-,-,-,-,17,9,-,44,25,-,57,53,2,2,160
Garak 1(il)-dong,2014.1/4,Songpa-gu,46.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,7,-,5,-,-,6,3,-,-,23
Garak 2(i)-dong,2014.1/4,Songpa-gu,172.0,-,-,-,2,-,2,-,-,-,-,-,5,-,-,-,-,14,8,-,12,8,-,26,22,-,-,73
Munjeong 1(il)-dong,2014.1/4,Songpa-gu,217.0,-,2,-,1,-,-,2,-,-,2,-,7,-,-,-,-,4,13,-,18,5,-,40,34,1,-,88
Munjeong 2(i)-dong,2014.1/4,Songpa-gu,79.0,-,1,1,1,-,-,-,2,-,-,-,-,-,-,1,-,1,24,-,13,3,4,3,14,-,-,11
Jangji-dong,2014.1/4,Songpa-gu,146.0,-,2,2,-,-,-,1,1,-,-,-,5,-,-,-,-,6,12,-,7,14,3,28,38,-,-,27
Jamsilbon-dong,2014.1/4,Songpa-gu,661.0,-,8,-,4,-,-,2,14,-,3,-,26,-,-,-,5,35,44,-,34,27,9,91,74,2,2,281
Jamsil 4(sa)-dong,2014.1/4,Songpa-gu,104.0,-,3,-,1,-,-,4,16,-,-,1,1,1,-,-,2,21,1,-,3,3,15,11,15,-,1,5
Jamsil 6(yuk)-dong,2014.1/4,Songpa-gu,89.0,-,1,-,-,-,-,-,6,10,-,-,-,1,-,-,-,15,-,-,5,-,40,5,5,-,-,1
Jamsil 7(chil)-dong,2014.1/4,Songpa-gu,19.0,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,6,1,-,1,2,-,-,3
Jamsil 2(i)-dong,2014.1/4,Songpa-gu,148.0,-,1,-,1,-,-,-,44,-,2,-,2,-,-,-,3,6,1,-,13,2,21,17,25,-,-,10
Jamsil 3(sam)-dong,2014.1/4,Songpa-gu,183.0,-,4,-,-,-,-,6,41,1,-,-,5,1,-,-,31,18,1,-,7,2,23,21,18,-,-,4
Gangil-dong,2014.1/4,Gangdong-gu,124.0,-,2,-,-,-,-,-,-,7,-,-,1,-,-,-,-,10,8,-,15,7,9,25,28,-,-,12
Sangil-dong,2014.1/4,Gangdong-gu,137.0,-,1,1,2,-,-,-,-,-,4,-,-,-,-,-,-,4,16,-,10,4,10,28,34,1,-,22
Myeongil 1(il)-dong,2014.1/4,Gangdong-gu,98.0,-,1,2,-,-,-,-,1,-,-,-,14,-,-,-,-,-,2,-,13,7,1,17,23,4,-,13
Myeongil 2(i)-dong,2014.1/4,Gangdong-gu,20.0,-,-,-,-,-,-,-,1,-,-,-,4,-,-,-,-,2,1,-,-,-,-,2,6,-,-,4
Godeok 1(il)-dong,2014.1/4,Gangdong-gu,97.0,-,1,-,-,-,-,-,-,-,-,-,2,-,-,-,-,14,6,-,6,8,2,8,28,-,-,22
Godeok 2(i)-dong,2014.1/4,Gangdong-gu,90.0,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,3,-,8,3,1,13,24,1,-,35
Amsa 2(i)-dong,2014.1/4,Gangdong-gu,55.0,-,-,-,2,-,-,-,-,-,-,-,5,-,-,-,-,4,-,-,5,2,-,5,14,-,1,17
Amsa 3(sam)-dong,2014.1/4,Gangdong-gu,24.0,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,4,1,-,3,2,1,2,5,-,-,3
Cheonho 1(il)-dong,2014.1/4,Gangdong-gu,470.0,-,6,3,1,-,-,-,2,-,1,-,5,-,-,-,-,7,18,-,29,49,3,80,119,1,-,146
Cheonho 3(sam)-dong,2014.1/4,Gangdong-gu,484.0,-,3,-,2,-,-,-,-,4,2,-,24,-,-,-,-,6,4,-,33,27,1,60,62,5,3,248
Seongnae 1(il)-dong,2014.1/4,Gangdong-gu,200.0,-,2,1,1,-,-,-,1,-,1,-,15,-,-,-,-,8,11,-,15,18,3,29,34,-,1,60
Seongnae 2(i)-dong,2014.1/4,Gangdong-gu,657.0,-,4,1,5,-,-,-,1,-,-,-,10,-,-,-,-,12,2,-,63,33,4,84,62,4,1,371
Seongnae 3(sam)-dong,2014.1/4,Gangdong-gu,238.0,-,6,-,-,-,-,1,2,-,1,-,24,-,-,-,-,22,16,-,13,13,1,36,34,3,-,66
Dunchon 1(il)-dong,2014.1/4,Gangdong-gu,56.0,-,-,4,-,-,1,-,1,-,-,-,1,-,-,-,-,1,10,-,3,9,-,5,18,-,1,2
Dunchon 2(i)-dong,2014.1/4,Gangdong-gu,117.0,-,-,-,-,-,-,-,2,-,-,-,2,-,-,-,-,6,7,-,10,-,1,9,30,1,-,49
Amsa 1(il)-dong,2014.1/4,Gangdong-gu,435.0,-,2,-,1,-,2,-,1,-,1,-,17,-,-,-,-,1,9,-,33,44,5,72,107,2,1,137
Cheonho 2(i)-dong,2014.1/4,Gangdong-gu,752.0,-,7,1,3,-,2,-,-,4,3,1,11,-,-,-,-,12,11,-,66,41,14,110,106,-,-,360
Gil-dong,2014.1/4,Gangdong-gu,355.0,-,1,1,1,-,1,-,14,-,1,1,23,-,-,-,3,3,18,-,30,19,2,52,89,-,-,96
