,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Pil-dong,0.004377858307861146,0.07438894859875744,0.09387385799114481,0.037523979392440024,-0.02568504888119138,-0.00444345788038721,0.024942649878402456,0.02995865104635543,-0.04126604486138545,-0.0241253226955174,-0.022569029670855494,0.005462794429940849,-0.023558471418727373,-0.009722913583427879,0.06737173596154535,0.030416569869059173,0.02341748091218511,0.013392418632988476,-0.021540386371637715,0.021751606644002986
Jangchung-dong,0.012085567140152095,0.044552861071700145,0.05758692029101884,0.049785461656523616,0.017632464860073728,-0.0462842444184214,0.036085702208567015,0.05706561957782773,-0.04388635769018965,0.004789789400447758,-0.02524553023896203,0.0005858565809121476,0.0023112278494072202,0.036222189329375,0.05056801719111304,0.009113334957846326,-0.02682081008673851,-0.03446105618661764,0.009076442690441543,-0.030777206613384026
Gwanghui-dong,-0.012845662724587398,0.11620326177904367,0.14869375687234646,-0.04147267638213371,-0.11382251626341763,0.1740119135587552,-0.08078653449909753,0.06689712414842104,0.026447803912315434,-0.17966569501276436,-0.032022492891452085,0.06481381959777692,0.004664378647772096,0.016343272074503253,0.027354495937300466,-0.02178150012726483,-0.031555754879596366,0.057067660052753336,0.05327060633024604,0.0191700564993439
Euljiro-dong,-0.015924848168171482,0.10837029289790222,0.19453714700193825,-0.010058408253670327,-0.12211462725176919,0.1749667428358603,-0.11241902685524838,0.04329634559032315,-0.08766907407890753,-0.10401013238869523,-0.07786912206764261,0.11518806364400026,0.018177028672880083,-0.05496879174147154,-0.013013816846996585,-0.06293800355462449,-0.025864753601978867,0.01211486871990828,0.06211055533138485,-0.07721052892746898
Sindang 5-dong,0.028511201918550454,0.03158740424458322,0.06006255987858298,0.03032383596282102,0.01776216815704718,0.02075194145952402,0.03798235700731106,-0.016044885232437495,0.00926429762943136,-0.0019623636243895678,0.03253543123168381,0.022565237732199542,0.019116756778825163,-0.012684199889956858,-0.006030387158634457,0.014244478771662628,0.020849689571963353,-0.01404869862549737,-0.015839620551460706,0.034532332415373006
Hwanghak-dong,0.028386457078491276,0.023403615820648448,0.07037446506200845,0.002773347575650824,0.01994630533411092,0.040997297850686114,-0.012570794121471657,0.024455129814042555,0.006953994086137658,0.040234572733670156,-0.024388070153925887,0.06283848480018445,-0.009635063110242184,-0.017784717659262286,0.0020182769876824535,0.01287739689309814,-1.8873442598842122e-05,-0.0488200859548001,0.0025610179702919974,-0.010295684650320434
Jungnim-dong,0.02735198134849833,0.03994339053043848,0.07156308197086297,0.03726891520711683,0.006377233280995172,-0.034263199151158115,0.04005191251832434,0.0053928932406074985,-0.01366603864661415,0.017753028004426682,-0.010671792870005546,0.06411951441495652,0.004298484350660631,-0.024320699319355932,0.0005887887053620777,-0.014589937155662301,0.025990896712922477,-0.02455526152633231,0.01969928149169167,-0.05538007415170543
Sindang 1-dong,-0.009197288153389747,0.10930898958930597,0.13038189963600585,-0.08320747853697175,-0.08651561279857059,0.27525393914551555,-0.05186358178600672,0.02957890345251065,0.106139490508746,-0.36007175197212277,0.06942528410847874,0.12042651457358199,-0.04175822398993951,0.0902804698224299,0.02648217629840571,-0.03993245508768059,-0.07209036285545953,0.1603211216450331,0.14637484121506183,0.07173613999836133
Sindang 2-dong,0.036363176395362316,0.02143573190200432,0.047887508634559484,0.026053283023238286,0.003999453835342635,-0.007325535865984807,0.029764441919778423,0.026555100325525074,0.009068912675653278,0.028809106262518012,-0.012873780560935275,0.011237443632675238,0.04599542344326012,-0.010367379745938283,0.022202822721262463,-0.005155766727149045,0.018622467507708927,-0.002166827070147148,0.015295637041653206,-0.03375472544541203
Sindang 3-dong,0.04719951906743432,0.006687034228762714,0.051056965502574235,0.021994223616853104,-0.0004972544090655305,-0.025122421784530086,0.012833516184568707,-0.02747737270389667,0.05429156568751069,0.009018996925543725,-0.01812111725138292,0.04575061877124013,0.04331905946680675,-0.08315417809629026,-0.029257207441541755,-0.0006008514026030935,0.035958104326075865,-0.02057392183502747,0.01228425068281403,-0.0003728456687292646
