Dong,산업_출판인쇄및기록매체복제업_Gu_Gu,"산업_출판인쇄및기록매체복제업_Publishing of books,brochures, musical booksand other publications_Establish-ments","산업_출판인쇄및기록매체복제업_Publishing of books,brochures, musical booksand other publications_Employees","산업_출판인쇄및기록매체복제업_Publishing of newspapers,journals and periodicals_Establish-ments","산업_출판인쇄및기록매체복제업_Publishing of newspapers,journals and periodicals_Employees",산업_출판인쇄및기록매체복제업_Audio publishing and original master recordings_Establish-ments,산업_출판인쇄및기록매체복제업_Audio publishing and original master recordings_Employees,산업_출판인쇄및기록매체복제업_Otherpublishing_Establish-ments,산업_출판인쇄및기록매체복제업_Otherpublishing_Employees,산업_출판인쇄및기록매체복제업_Printing_Establish-ments,산업_출판인쇄및기록매체복제업_Printing_Employees,산업_출판인쇄및기록매체복제업_Service activities related to printing_Establish-ments,산업_출판인쇄및기록매체복제업_Service activities related to printing_Employees,산업_출판인쇄및기록매체복제업_Reproduction of recorded media_Establish-ments,산업_출판인쇄및기록매체복제업_Reproduction of recorded media_Employees
Bugahyeon-dong,Seodaemun-gu,1,1,-,-,-,-,-,-,-,-,-,-,-,-
Sinchon-dong,Seodaemun-gu,14,74,2,4,2,6,-,-,5,7,-,-,-,-
Yeonhui-dong,Seodaemun-gu,14,45,7,22,6,18,-,-,3,16,4,15,-,-
Yonggang-dong,Mapo-gu,19,180,9,70,3,5,-,-,8,14,2,2,-,-
Daeheung-dong,Mapo-gu,7,20,1,2,2,3,-,-,4,10,2,5,-,-
Yeomni-dong,Mapo-gu,9,42,5,22,1,5,-,-,4,12,3,45,-,-
Sinsu-dong,Mapo-gu,39,137,4,20,1,1,-,-,3,10,2,10,-,-
Seogyo-dong,Mapo-gu,257,2280,33,281,55,137,1,1,27,94,17,79,1,1
Hapjeong-dong,Mapo-gu,36,170,8,145,24,336,-,-,5,11,8,33,-,-
Mangwon 1(il)-dong,Mapo-gu,8,36,1,2,3,6,-,-,-,-,2,5,-,-
Mangwon 2(i)-dong,Mapo-gu,8,24,-,-,3,4,-,-,4,17,2,4,1,3
Yeonnam-dong,Mapo-gu,34,181,6,32,5,13,1,5,4,9,2,8,1,8
Seongsan 1(il)-dong,Mapo-gu,39,285,12,101,8,24,-,-,9,70,2,7,2,2
Seongsan 2(i)-dong,Mapo-gu,7,36,1,2,2,2,-,-,5,11,-,-,-,-
Sangam-dong,Mapo-gu,5,64,5,187,2,3,-,-,2,5,3,6,-,-
Dohwa-dong,Mapo-gu,24,154,8,40,1,2,1,5,3,5,-,-,-,-
Seogang-dong,Mapo-gu,9,88,9,201,5,14,-,-,3,5,3,10,-,-
gongdeok-dong,Mapo-gu,20,451,6,680,-,-,-,-,9,32,4,46,1,2
Ahyeon-dong,Mapo-gu,9,54,6,6,-,-,1,3,5,14,2,4,-,-
Mok 1(il)-dong,Yangcheon-gu,10,121,4,44,5,10,-,-,3,8,-,-,-,-
Mok 2(i)-dong,Yangcheon-gu,1,1,-,-,-,-,-,-,1,1,-,-,1,1
Mok 3(sam)-dong,Yangcheon-gu,1,2,-,-,-,-,-,-,-,-,2,3,-,-
Mok 4(sa)-dong,Yangcheon-gu,1,1,1,1,-,-,-,-,-,-,-,-,-,-
Sinwol 1(il)-dong,Yangcheon-gu,1,1,1,3,-,-,-,-,8,21,2,2,-,-
Sinwol 2(i)-dong,Yangcheon-gu,1,9,1,3,-,-,-,-,2,5,1,4,-,-
Sinwol 4(sa)-dong,Yangcheon-gu,-,-,-,-,-,-,-,-,2,5,-,-,-,-
Sinwol 5(o)-dong,Yangcheon-gu,-,-,1,10,-,-,-,-,4,7,-,-,-,-
Sinwol 6(yuk)-dong,Yangcheon-gu,-,-,-,-,-,-,-,-,2,5,-,-,-,-
Sinwol 7(chil)-dong,Yangcheon-gu,1,1,-,-,-,-,-,-,2,8,-,-,1,4
Sinjeong 1(il)-dong,Yangcheon-gu,2,3,1,2,1,1,-,-,-,-,-,-,-,-
Sinjeong 2(i)-dong,Yangcheon-gu,-,-,1,1,-,-,-,-,-,-,-,-,-,-
Sinjeong 3(sam)-dong,Yangcheon-gu,1,1,-,-,-,-,-,-,1,1,-,-,-,-
Sinjeong 7(chil)-dong,Yangcheon-gu,-,-,1,4,-,-,-,-,-,-,-,-,-,-
Mok 5(o)-dong,Yangcheon-gu,4,7,1,1,1,2,-,-,-,-,-,-,-,-
Sinjeong 4(sa)-dong,Yangcheon-gu,7,29,5,7,2,2,-,-,4,6,2,4,-,-
Yeomchang-dong,Gangseo-gu,3,9,3,37,2,3,-,-,8,36,3,59,-,-
