Dong,산업_출판인쇄및기록매체복제업_Gu_Gu,"산업_출판인쇄및기록매체복제업_Publishing of books,brochures, musical booksand other publications_Establish-ments","산업_출판인쇄및기록매체복제업_Publishing of books,brochures, musical booksand other publications_Employees","산업_출판인쇄및기록매체복제업_Publishing of newspapers,journals and periodicals_Establish-ments","산업_출판인쇄및기록매체복제업_Publishing of newspapers,journals and periodicals_Employees",산업_출판인쇄및기록매체복제업_Audio publishing and original master recordings_Establish-ments,산업_출판인쇄및기록매체복제업_Audio publishing and original master recordings_Employees,산업_출판인쇄및기록매체복제업_Otherpublishing_Establish-ments,산업_출판인쇄및기록매체복제업_Otherpublishing_Employees,산업_출판인쇄및기록매체복제업_Printing_Establish-ments,산업_출판인쇄및기록매체복제업_Printing_Employees,산업_출판인쇄및기록매체복제업_Service activities related to printing_Establish-ments,산업_출판인쇄및기록매체복제업_Service activities related to printing_Employees,산업_출판인쇄및기록매체복제업_Reproduction of recorded media_Establish-ments,산업_출판인쇄및기록매체복제업_Reproduction of recorded media_Employees
Gongneung 2(i)-dong,Nowon-gu,1,5,-,-,1,31,1,3,-,-,1,1,-,-
Junggyebon-dong,Nowon-gu,2,4,-,-,-,-,-,-,1,2,1,2,-,-
Junggye 1(il)-dong,Nowon-gu,-,-,-,-,-,-,-,-,-,-,1,1,-,-
Junggye 4(sa)-dong,Nowon-gu,-,-,1,3,-,-,-,-,1,2,-,-,-,-
Sanggye 1(il)-dong,Nowon-gu,1,10,-,-,-,-,-,-,-,-,-,-,-,-
Sanggye 2(i)-dong,Nowon-gu,2,8,-,-,-,-,-,-,3,8,-,-,-,-
Sanggye 5(o)-dong,Nowon-gu,-,-,1,5,-,-,-,-,3,6,-,-,-,-
Sanggye 10(sip)-dong,Nowon-gu,-,-,1,3,-,-,-,-,-,-,-,-,-,-
Sanggye 3.4(sam.sa)-dong,Nowon-gu,-,-,-,-,-,-,-,-,1,1,-,-,-,-
Sanggye 6.7(yuk.chil)-dong,Nowon-gu,1,9,2,6,-,-,-,-,3,3,1,3,-,-
Junggye 2.3(i.sam)-dong,Nowon-gu,1,2,-,-,-,-,-,-,1,1,-,-,-,-
Gongneung 1(il)-dong,Nowon-gu,4,11,-,-,1,1,1,1,3,4,1,2,-,-
Nokbeon-dong,Eunpyeong-gu,5,109,5,30,2,14,-,-,3,4,-,-,-,-
Bulgwang 1(il)-dong,Eunpyeong-gu,2,8,1,9,-,-,-,-,-,-,1,1,-,-
Galhyeon 1(il)-dong,Eunpyeong-gu,3,4,-,-,-,-,-,-,-,-,-,-,-,-
Galhyeon 2(i)-dong,Eunpyeong-gu,2,3,-,-,2,2,-,-,2,2,-,-,-,-
Gusan-dong,Eunpyeong-gu,1,1,-,-,-,-,-,-,2,3,-,-,-,-
Daejo-dong,Eunpyeong-gu,7,22,1,6,2,15,-,-,3,7,-,-,-,-
