Dong,至穣_獣舌薄伐_Autonomous Gu_Autonomous Gu_Autonomous Gu,至穣_獣舌薄伐_Total_Total_place,至穣_獣舌薄伐_Total_Total_No. of shops,至穣_獣舌薄伐_Total_Total_area,至穣_獣舌薄伐_Market_Registered Market_place,至穣_獣舌薄伐_Market_Registered Market_No. of shops,至穣_獣舌薄伐_Market_Registered Market_Area,至穣_獣舌薄伐_Market_穿搭獣舌_place,至穣_獣舌薄伐_Market_穿搭獣舌_No. of shops,至穣_獣舌薄伐_Market_穿搭獣舌_Area,至穣_獣舌薄伐_Market_Arcade_place,至穣_獣舌薄伐_Market_Arcade_No. of shops,至穣_獣舌薄伐_Market_Arcade_Area
Bukgajwa 1(il)-dong,Seodaemun-gu,-,・,・,-,・,・,-,-,-,-,-,-
Bukgajwa 2(i)-dong,Seodaemun-gu,-,・,・,-,・,・,-,-,-,-,-,-
Chunghyeon-dong,Seodaemun-gu,-,・,・,-,・,・,-,-,-,-,-,-
Bugahyeon-dong,Seodaemun-gu,-,・,・,-,・,・,-,-,-,-,-,-
Sinchon-dong,Seodaemun-gu,-,・,・,-,・,・,-,-,-,-,-,-
Yeonhui-dong,Seodaemun-gu,1,・,・,1,・,・,-,-,-,-,-,-
Yonggang-dong,Mapo-gu,1,274,・,-,-,・,-,-,・,1,274,・
Daeheung-dong,Mapo-gu,-,-,・,-,-,・,-,-,・,-,-,・
Yeomni-dong,Mapo-gu,1,20,・,1,20,・,-,-,・,-,-,・
Sinsu-dong,Mapo-gu,1,6,・,1,6,・,-,-,・,-,-,・
Seogyo-dong,Mapo-gu,3,214,・,2,64,・,-,-,・,1,150,・
Hapjeong-dong,Mapo-gu,1,17,・,1,17,・,-,-,・,-,-,・
Mangwon 1(il)-dong,Mapo-gu,1,89,・,-,-,・,1,89,・,-,-,・
Mangwon 2(i)-dong,Mapo-gu,1,49,・,-,-,・,1,49,・,-,-,・
Yeonnam-dong,Mapo-gu,1,22,・,1,22,・,-,-,・,-,-,・
Seongsan 1(il)-dong,Mapo-gu,-,-,・,-,-,・,-,-,・,-,-,・
Seongsan 2(i)-dong,Mapo-gu,1,144,・,1,144,・,-,-,・,-,-,・
Sangam-dong,Mapo-gu,-,-,・,-,-,・,-,-,・,-,-,・
Dohwa-dong,Mapo-gu,1,146,・,-,-,・,-,-,・,1,146,・
Seogang-dong,Mapo-gu,-,-,・,-,-,・,-,-,・,-,-,・
gongdeok-dong,Mapo-gu,2,121,・,2,121,・,-,-,・,-,-,・
Ahyeon-dong,Mapo-gu,-,-,・,-,-,・,-,-,・,-,-,・
Mok 1(il)-dong,Yangcheon-gu,-,・,・,-,・,・,-,・,・,-,-,-
Mok 2(i)-dong,Yangcheon-gu,2,・,・,1,・,・,1,・,・,-,-,-
Mok 3(sam)-dong,Yangcheon-gu,1,・,・,-,・,・,1,・,・,-,-,-
Mok 4(sa)-dong,Yangcheon-gu,1,・,・,-,・,・,1,・,・,-,-,-
Sinwol 1(il)-dong,Yangcheon-gu,2,・,・,-,・,・,2,・,・,-,-,-
Sinwol 2(i)-dong,Yangcheon-gu,1,・,・,-,・,・,1,・,・,-,-,-
Sinwol 3(sam)-dong,Yangcheon-gu,-,・,・,-,・,・,-,・,・,-,-,-
Sinwol 4(sa)-dong,Yangcheon-gu,-,・,・,-,・,・,-,・,・,-,-,-
Sinwol 5(o)-dong,Yangcheon-gu,-,・,・,-,・,・,-,・,・,-,-,-
Sinwol 6(yuk)-dong,Yangcheon-gu,1,・,・,1,・,・,-,・,・,-,-,-
Sinwol 7(chil)-dong,Yangcheon-gu,1,・,・,1,・,・,-,・,・,-,-,-
Sinjeong 1(il)-dong,Yangcheon-gu,1,・,・,1,・,・,-,・,・,-,-,-
Sinjeong 2(i)-dong,Yangcheon-gu,-,・,・,-,・,・,-,・,・,-,-,-
Sinjeong 3(sam)-dong,Yangcheon-gu,-,・,・,-,・,・,-,・,・,-,-,-
Sinjeong 6(yuk)-dong,Yangcheon-gu,-,・,・,-,・,・,-,・,・,-,-,-
Sinjeong 7(chil)-dong,Yangcheon-gu,-,・,・,-,・,・,-,・,・,-,-,-
Mok 5(o)-dong,Yangcheon-gu,-,・,・,-,・,・,-,・,・,-,-,-
Sinjeong 4(sa)-dong,Yangcheon-gu,-,・,・,-,・,・,-,・,・,-,-,-
Deungchon 1(il)-dong,Gangseo-gu,1,10,2325,1,10,2325,-,-,-,-,-,-
Hwagokbon-dong,Gangseo-gu,1,64,5805,-,-,-,1,64,5805,-,-,-
Hwagok 3(sam)-dong,Gangseo-gu,1,40,2739,1,40,2739,-,-,-,-,-,-
Hwagok 4(sa)-dong,Gangseo-gu,2,199,24090,1,19,2314,1,180,21776,-,-,-
Hwagok 8(pal)-dong,Gangseo-gu,1,170,26139,-,-,-,1,170,26139,-,-,-
Banghwa 1(il)-dong,Gangseo-gu,1,123,6963,-,-,-,1,123,6963,-,-,-
Banghwa 2(i)-dong,Gangseo-gu,1,58,3582,1,58,3582,-,-,-,-,-,-
Hwagok 1(il)-dong,Gangseo-gu,3,123,13318,2,37,3882,1,86,9436,-,-,-
Sindorim-dong,Guro-gu,-,・,・,・,・,・,・,・,・,・,・,・
Guro 1(il)-dong,Guro-gu,-,・,・,・,・,・,・,・,・,・,・,・
Guro 3(sam)-dong,Guro-gu,-,・,・,・,・,・,・,・,・,・,・,・
Guro 4(sa)-dong,Guro-gu,2,・,・,・,・,・,・,・,・,・,・,・
Guro 5(o)-dong,Guro-gu,-,・,・,・,・,・,・,・,・,・,・,・
Gocheok 1(il)-dong,Guro-gu,-,・,・,・,・,・,・,・,・,・,・,・
