Dong,사업_사업체현황산업대분류별_Autonomous Gu_Autonomous Gu_Autonomous Gu,사업_사업체현황산업대분류별_Total_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Total_No.of establishments_Woman representative,사업_사업체현황산업대분류별_Total_No. of wokers_Total,사업_사업체현황산업대분류별_Total_No. of wokers_Male,사업_사업체현황산업대분류별_Total_No. of wokers_Female,"사업_사업체현황산업대분류별_Agriculture and Forestry, Fishery_No.of establishments_No.of establishments","사업_사업체현황산업대분류별_Agriculture and Forestry, Fishery_No. of wokers_No. of wokers",사업_사업체현황산업대분류별_Mining_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Mining_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Manufacturing_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Manufacturing_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Electricity gas steam and watersupply_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Electricity gas steam and watersupply_No. of wokers_No. of wokers,"사업_사업체현황산업대분류별_Sewage·waste treatment, materials recycling and environment remediation_No.of establishments_No.of establishments","사업_사업체현황산업대분류별_Sewage·waste treatment, materials recycling and environment remediation_No. of wokers_No. of wokers",사업_사업체현황산업대분류별_Construction industry_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Construction industry_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Wholesale and Retail trade_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Wholesale and Retail trade_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Transport_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Transport_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Accomodations and Restaurants_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Accomodations and Restaurants_No. of wokers_No. of wokers,"사업_사업체현황산업대분류별_Publishing, video, broadcasting, communications and information services_No.of establishments_No.of establishments","사업_사업체현황산업대분류별_Publishing, video, broadcasting, communications and information services_No. of wokers_No. of wokers",사업_사업체현황산업대분류별_Finance and Insurance_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Finance and Insurance_No. of wokers_No. of wokers,"사업_사업체현황산업대분류별_Real estate, Renting & leasing_No.of establishments_No.of establishments","사업_사업체현황산업대분류별_Real estate, Renting & leasing_No. of wokers_No. of wokers","사업_사업체현황산업대분류별_Professional, scientific and technical services_No.of establishments_No.of establishments","사업_사업체현황산업대분류별_Professional, scientific and technical services_No. of wokers_No. of wokers",사업_사업체현황산업대분류별_Service Maintanance and project supporting service industry_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Service Maintanance and project supporting service industry_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Public administration and defense; compulsory social security_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Public administration and defense; compulsory social security_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Education_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Education_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Health and social welfare service industry_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Health and social welfare service industry_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Art sports and recreation related service_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Art sports and recreation related service_No. of wokers_No. of wokers,"사업_사업체현황산업대분류별_Other association and community, repair and personal service activities_No.of establishments_No.of establishments","사업_사업체현황산업대분류별_Other association and community, repair and personal service activities_No. of wokers_No. of wokers"
Cheonyeon-dong,Seodaemun-gu,809.0,317.0,2475.0,1140.0,1335.0,-,-,-,-,45.0,104.0,-,-,-,-,17.0,39.0,178.0,389.0,87.0,122.0,145.0,341.0,10,24,4,26,46.0,116.0,13,22,12,165,4,93,57.0,405.0,48.0,366.0,26.0,74.0,117.0,189.0
Hongje 1(il)-dong,Seodaemun-gu,1132.0,444.0,4016.0,1944.0,2072.0,-,-,-,-,44.0,143.0,-,-,-,-,43.0,477.0,231.0,712.0,185.0,259.0,189.0,464.0,7,23,9,131,64.0,268.0,22,56,9,22,2,46,87.0,647.0,63.0,414.0,25.0,60.0,152.0,294.0
Hongje 3(sam)-dong,Seodaemun-gu,1271.0,518.0,3848.0,1807.0,2041.0,-,-,-,-,54.0,134.0,-,-,-,-,24.0,61.0,401.0,763.0,171.0,194.0,207.0,520.0,18,70,8,77,42.0,130.0,12,32,6,209,2,159,77.0,504.0,57.0,541.0,38.0,72.0,154.0,382.0
Hongje 2(i)-dong,Seodaemun-gu,592.0,264.0,1666.0,862.0,804.0,-,-,-,-,18.0,90.0,1,182,-,-,10.0,42.0,115.0,247.0,70.0,83.0,91.0,206.0,4,7,5,38,41.0,128.0,18,64,4,7,2,14,53.0,115.0,34.0,231.0,21.0,44.0,105.0,168.0
Hongeun 1(il)-dong,Seodaemun-gu,1029.0,353.0,2398.0,1187.0,1211.0,-,-,-,-,30.0,44.0,1,48,2,3,21.0,30.0,266.0,470.0,198.0,269.0,148.0,279.0,22,55,5,29,47.0,116.0,9,30,10,15,3,77,66.0,244.0,39.0,383.0,24.0,89.0,138.0,217.0
Hongeun 2(i)-dong,Seodaemun-gu,1148.0,389.0,5636.0,3021.0,2615.0,-,-,-,-,55.0,196.0,-,-,1,19,33.0,181.0,200.0,681.0,244.0,661.0,217.0,979.0,13,20,3,27,48.0,192.0,14,24,9,52,2,28,90.0,1655.0,44.0,492.0,35.0,74.0,140.0,355.0
Namgajwa 1(il)-dong,Seodaemun-gu,640.0,322.0,1253.0,509.0,744.0,-,-,-,-,33.0,52.0,-,-,-,-,2.0,3.0,276.0,408.0,26.0,35.0,175.0,295.0,1,2,6,45,16.0,31.0,4,19,6,35,1,10,5.0,11.0,30.0,171.0,18.0,55.0,41.0,81.0
Namgajwa 2(i)-dong,Seodaemun-gu,1554.0,585.0,4268.0,2217.0,2051.0,-,-,-,-,71.0,219.0,-,-,2,46,57.0,179.0,341.0,699.0,235.0,242.0,303.0,746.0,10,98,11,80,62.0,107.0,19,35,18,98,2,54,78.0,819.0,55.0,294.0,60.0,136.0,230.0,416.0
Bukgajwa 1(il)-dong,Seodaemun-gu,504.0,138.0,2025.0,1322.0,703.0,-,-,-,-,13.0,69.0,-,-,-,-,24.0,73.0,98.0,340.0,192.0,771.0,36.0,100.0,4,34,6,15,30.0,98.0,1,2,5,38,1,13,22.0,221.0,19.0,152.0,3.0,5.0,50.0,94.0
Bukgajwa 2(i)-dong,Seodaemun-gu,2261.0,619.0,6294.0,3777.0,2517.0,-,-,-,-,83.0,439.0,-,-,4,22,55.0,179.0,273.0,835.0,997.0,1489.0,250.0,573.0,20,75,10,81,91.0,214.0,23,45,16,1122,4,87,114.0,300.0,66.0,336.0,51.0,116.0,204.0,381.0
Chunghyeon-dong,Seodaemun-gu,1709.0,549.0,21801.0,12687.0,9114.0,1,1,-,-,40.0,163.0,1,250,2,44,41.0,805.0,301.0,3055.0,130.0,382.0,395.0,1151.0,89,1735,95,4223,64.0,235.0,119,2203,99,2161,9,2608,70.0,1548.0,44.0,479.0,39.0,242.0,170.0,516.0
Bugahyeon-dong,Seodaemun-gu,699.0,245.0,1862.0,967.0,895.0,2,10,-,-,83.0,297.0,-,-,-,-,12.0,21.0,210.0,330.0,74.0,80.0,88.0,215.0,2,2,4,31,55.0,90.0,11,44,10,36,2,45,28.0,290.0,28.0,204.0,15.0,24.0,75.0,143.0
Sinchon-dong,Seodaemun-gu,3725.0,1538.0,30866.0,13401.0,17465.0,-,-,-,-,34.0,191.0,-,-,-,-,22.0,83.0,825.0,2981.0,54.0,193.0,1556.0,6538.0,82,513,40,374,140.0,446.0,104,1594,72,732,5,284,169.0,6935.0,102.0,8129.0,148.0,448.0,372.0,1425.0
Yeonhui-dong,Seodaemun-gu,2138.0,765.0,10258.0,5787.0,4471.0,-,-,-,-,96.0,352.0,-,-,1,5,90.0,1098.0,511.0,1739.0,273.0,552.0,396.0,1253.0,47,254,19,202,99.0,309.0,68,414,46,285,5,1165,107.0,1158.0,63.0,780.0,52.0,211.0,265.0,481.0
Yonggang-dong,Mapo-gu,2390.0,689.0,15534.0,9221.0,6313.0,-,-,1,1,54.0,168.0,1,84,2,4,67.0,1112.0,615.0,3306.0,141.0,1045.0,375.0,1535.0,177,1503,58,1093,139.0,802.0,192,1174,124,1428,6,293,108.0,825.0,41.0,197.0,64.0,170.0,225.0,794.0
Daeheung-dong,Mapo-gu,1628.0,551.0,10395.0,5257.0,5138.0,-,-,-,-,70.0,247.0,-,-,1,3,28.0,112.0,318.0,1102.0,124.0,344.0,405.0,1119.0,32,211,44,830,99.0,322.0,62,387,28,1205,2,17,100.0,3075.0,88.0,486.0,53.0,381.0,174.0,554.0
Yeomni-dong,Mapo-gu,787.0,284.0,4964.0,2812.0,2152.0,-,-,-,-,55.0,219.0,-,-,-,-,18.0,55.0,165.0,410.0,92.0,342.0,118.0,319.0,32,382,9,1514,48.0,170.0,21,112,14,228,3,38,57.0,621.0,22.0,146.0,16.0,41.0,117.0,367.0
Sinsu-dong,Mapo-gu,1382.0,344.0,5800.0,2931.0,2869.0,-,-,-,-,55.0,262.0,-,-,1,7,39.0,312.0,245.0,817.0,440.0,830.0,164.0,407.0,59,275,9,131,64.0,136.0,79,332,14,148,4,348,53.0,389.0,32.0,427.0,15.0,55.0,109.0,924.0
Seogyo-dong,Mapo-gu,8274.0,2736.0,52524.0,26876.0,25648.0,-,-,-,-,181.0,1048.0,-,-,1,1,185.0,2625.0,1839.0,8033.0,312.0,1624.0,2339.0,10101.0,717,6960,150,3665,254.0,790.0,690,4208,280,6335,7,158,319.0,1842.0,187.0,1720.0,267.0,1243.0,546.0,2171.0
Hapjeong-dong,Mapo-gu,1843.0,569.0,9941.0,5523.0,4418.0,-,-,-,-,88.0,371.0,-,-,4,46,108.0,991.0,393.0,1651.0,186.0,809.0,351.0,1005.0,164,1462,26,1057,69.0,194.0,137,758,32,297,2,19,46.0,324.0,32.0,257.0,49.0,141.0,156.0,559.0
Mangwon 1(il)-dong,Mapo-gu,1380.0,466.0,4690.0,2343.0,2347.0,-,-,-,-,68.0,186.0,-,-,1,2,48.0,341.0,351.0,781.0,210.0,259.0,236.0,610.0,27,226,6,63,65.0,117.0,34,101,11,992,3,81,47.0,161.0,57.0,346.0,46.0,120.0,170.0,304.0
Mangwon 2(i)-dong,Mapo-gu,1246.0,468.0,3392.0,1960.0,1432.0,-,-,-,-,64.0,169.0,-,-,2,9,57.0,218.0,308.0,682.0,188.0,536.0,195.0,394.0,26,106,5,52,65.0,133.0,30,140,12,98,2,16,74.0,330.0,38.0,218.0,38.0,85.0,142.0,206.0
Yeonnam-dong,Mapo-gu,1220.0,387.0,5242.0,3087.0,2155.0,-,-,-,-,56.0,276.0,-,-,1,1,55.0,746.0,278.0,1012.0,123.0,286.0,238.0,614.0,86,433,2,12,39.0,120.0,82,359,44,565,2,43,39.0,335.0,25.0,145.0,28.0,49.0,122.0,246.0
Seongsan 1(il)-dong,Mapo-gu,1600.0,456.0,9378.0,5702.0,3676.0,-,-,-,-,99.0,364.0,-,-,3,82,119.0,995.0,372.0,1481.0,188.0,565.0,166.0,506.0,135,644,7,78,64.0,129.0,127,550,42,2569,3,150,60.0,575.0,35.0,182.0,39.0,118.0,141.0,390.0
Seongsan 2(i)-dong,Mapo-gu,1675.0,574.0,8434.0,4502.0,3932.0,-,-,-,-,40.0,91.0,-,-,3,10,37.0,107.0,531.0,1459.0,275.0,636.0,202.0,584.0,20,278,6,45,87.0,430.0,39,193,23,79,5,1515,105.0,947.0,72.0,766.0,39.0,402.0,191.0,892.0
Sangam-dong,Mapo-gu,1761.0,593.0,28598.0,18458.0,10140.0,-,-,-,-,40.0,392.0,2,69,2,81,25.0,421.0,256.0,2572.0,176.0,1898.0,460.0,1784.0,245,12585,22,912,94.0,704.0,105,3955,21,270,4,131,80.0,1385.0,75.0,528.0,36.0,214.0,118.0,697.0
Dohwa-dong,Mapo-gu,1855.0,586.0,14318.0,8139.0,6179.0,-,-,-,-,45.0,235.0,-,-,1,4,49.0,760.0,483.0,1783.0,170.0,836.0,313.0,1331.0,118,1435,50,921,85.0,468.0,108,962,74,4155,3,191,74.0,306.0,77.0,396.0,41.0,92.0,164.0,443.0
Seogang-dong,Mapo-gu,1395.0,463.0,10170.0,5459.0,4711.0,-,-,-,-,32.0,72.0,3,266,2,4,32.0,491.0,276.0,1105.0,115.0,446.0,351.0,971.0,78,955,10,234,94.0,186.0,88,1316,26,802,2,66,96.0,2426.0,44.0,505.0,36.0,116.0,110.0,209.0
gongdeok-dong,Mapo-gu,2622.0,850.0,18749.0,10575.0,8174.0,-,-,-,-,251.0,1026.0,-,-,1,1,61.0,1376.0,550.0,1948.0,253.0,609.0,436.0,1253.0,92,1895,51,2096,156.0,378.0,162,1700,82,3668,10,743,78.0,425.0,100.0,680.0,60.0,344.0,279.0,607.0
Ahyeon-dong,Mapo-gu,1735.0,594.0,12492.0,7541.0,4951.0,-,-,-,-,108.0,327.0,-,-,2,11,44.0,315.0,453.0,1717.0,141.0,377.0,263.0,829.0,68,817,36,601,122.0,467.0,123,3589,82,1221,3,415,64.0,993.0,56.0,356.0,21.0,111.0,149.0,346.0
Mok 1(il)-dong,Yangcheon-gu,2617.0,1003.0,22037.0,12656.0,9381.0,-,-,-,-,24.0,68.0,-,-,6,38,53.0,3580.0,805.0,3566.0,96.0,347.0,510.0,2927.0,123,3218,65,1101,117.0,652.0,118,734,51,1362,5,542,236.0,1599.0,110.0,923.0,89.0,442.0,209.0,938.0
Mok 2(i)-dong,Yangcheon-gu,1156.0,439.0,3604.0,1885.0,1719.0,-,-,-,-,29.0,110.0,-,-,-,-,55.0,286.0,250.0,657.0,187.0,267.0,171.0,431.0,4,161,6,70,83.0,167.0,22,76,10,38,1,17,83.0,344.0,55.0,412.0,52.0,191.0,148.0,377.0
Mok 3(sam)-dong,Yangcheon-gu,1227.0,533.0,3917.0,1758.0,2159.0,-,-,-,-,43.0,161.0,-,-,1,12,35.0,247.0,304.0,773.0,144.0,187.0,204.0,498.0,9,34,10,88,57.0,88.0,28,174,13,411,2,66,67.0,312.0,74.0,365.0,53.0,116.0,183.0,385.0
Mok 4(sa)-dong,Yangcheon-gu,1373.0,584.0,3666.0,1764.0,1902.0,-,-,-,-,56.0,158.0,-,-,2,64,42.0,100.0,313.0,748.0,162.0,230.0,243.0,576.0,5,20,4,43,66.0,111.0,19,42,4,14,1,16,141.0,761.0,67.0,334.0,49.0,95.0,199.0,354.0
Sinwol 1(il)-dong,Yangcheon-gu,1779.0,634.0,5028.0,2836.0,2192.0,-,-,-,-,205.0,1001.0,-,-,1,51,71.0,268.0,452.0,1064.0,304.0,635.0,255.0,547.0,7,19,6,65,63.0,128.0,16,139,9,38,2,55,47.0,180.0,54.0,402.0,55.0,100.0,232.0,336.0
Sinwol 2(i)-dong,Yangcheon-gu,1101.0,315.0,3715.0,2111.0,1604.0,-,-,-,-,92.0,424.0,1,9,3,29,65.0,317.0,205.0,598.0,297.0,630.0,106.0,288.0,4,22,3,31,53.0,145.0,13,64,8,95,1,23,64.0,492.0,38.0,239.0,26.0,59.0,122.0,250.0
Sinwol 3(sam)-dong,Yangcheon-gu,1005.0,297.0,4187.0,2580.0,1607.0,-,-,-,-,85.0,655.0,-,-,-,-,42.0,210.0,278.0,862.0,265.0,939.0,110.0,293.0,3,10,9,32,20.0,35.0,5,59,6,21,2,48,31.0,602.0,34.0,210.0,16.0,43.0,99.0,168.0
Sinwol 4(sa)-dong,Yangcheon-gu,1150.0,378.0,3786.0,2310.0,1476.0,-,-,-,-,48.0,286.0,-,-,-,-,44.0,372.0,205.0,491.0,351.0,1015.0,171.0,452.0,1,1,5,31,44.0,77.0,8,23,5,26,1,21,55.0,240.0,42.0,399.0,31.0,53.0,139.0,299.0
Sinwol 5(o)-dong,Yangcheon-gu,951.0,333.0,3393.0,1697.0,1696.0,-,-,-,-,88.0,404.0,-,-,-,-,47.0,160.0,211.0,680.0,189.0,394.0,145.0,368.0,1,10,4,24,27.0,38.0,5,21,4,16,3,134,46.0,386.0,26.0,331.0,38.0,98.0,117.0,329.0
Sinwol 6(yuk)-dong,Yangcheon-gu,1638.0,260.0,3473.0,2353.0,1120.0,-,-,-,-,47.0,164.0,-,-,1,32,23.0,242.0,167.0,423.0,1092.0,1357.0,96.0,238.0,2,20,4,41,30.0,68.0,7,37,11,119,1,15,17.0,249.0,28.0,258.0,19.0,41.0,93.0,169.0
Sinwol 7(chil)-dong,Yangcheon-gu,1367.0,417.0,5355.0,3472.0,1883.0,-,-,-,-,109.0,541.0,-,-,3,23,38.0,135.0,243.0,607.0,419.0,1614.0,170.0,352.0,5,7,3,33,50.0,108.0,9,13,5,11,4,655,60.0,382.0,54.0,463.0,48.0,195.0,147.0,216.0
Sinjeong 1(il)-dong,Yangcheon-gu,1054.0,475.0,4451.0,2205.0,2246.0,-,-,-,-,34.0,105.0,-,-,-,-,22.0,232.0,207.0,592.0,55.0,70.0,213.0,579.0,13,32,9,74,57.0,231.0,60,229,9,56,4,871,124.0,663.0,57.0,316.0,41.0,85.0,149.0,316.0
Sinjeong 2(i)-dong,Yangcheon-gu,1103.0,452.0,3708.0,1672.0,2036.0,-,-,-,-,31.0,79.0,-,-,1,1,26.0,105.0,236.0,643.0,111.0,145.0,155.0,589.0,3,7,3,27,71.0,251.0,33,109,10,52,1,17,180.0,1001.0,51.0,304.0,43.0,116.0,148.0,262.0
Sinjeong 3(sam)-dong,Yangcheon-gu,1991.0,629.0,7934.0,4610.0,3324.0,-,-,-,-,56.0,376.0,1,6,-,-,42.0,256.0,318.0,818.0,747.0,2431.0,204.0,594.0,10,168,8,72,100.0,246.0,14,120,13,111,4,115,117.0,1042.0,108.0,934.0,54.0,170.0,195.0,475.0
Sinjeong 6(yuk)-dong,Yangcheon-gu,693.0,278.0,5130.0,2616.0,2514.0,-,-,-,-,4.0,9.0,2,233,-,-,17.0,49.0,112.0,377.0,50.0,51.0,67.0,219.0,5,21,10,123,60.0,160.0,34,159,11,134,8,1817,204.0,1153.0,30.0,360.0,13.0,79.0,66.0,186.0
Sinjeong 7(chil)-dong,Yangcheon-gu,1016.0,359.0,4365.0,2501.0,1864.0,-,-,-,-,63.0,182.0,-,-,1,4,19.0,105.0,177.0,550.0,212.0,980.0,127.0,464.0,4,45,7,69,57.0,250.0,11,24,2,4,3,95,114.0,802.0,60.0,368.0,44.0,126.0,115.0,297.0
Mok 5(o)-dong,Yangcheon-gu,1489.0,666.0,9703.0,4239.0,5464.0,-,-,-,-,13.0,38.0,1,143,1,56,33.0,402.0,288.0,862.0,39.0,46.0,176.0,958.0,20,349,21,321,129.0,626.0,16,194,12,100,3,91,480.0,2725.0,59.0,2053.0,42.0,368.0,156.0,371.0
Sinjeong 4(sa)-dong,Yangcheon-gu,3010.0,1115.0,12547.0,6821.0,5726.0,-,-,-,-,161.0,608.0,-,-,6,97,115.0,719.0,716.0,2407.0,324.0,1087.0,479.0,1451.0,37,150,25,228,138.0,295.0,219,1104,38,553,2,73,149.0,1038.0,123.0,1666.0,111.0,259.0,367.0,812.0
Yeomchang-dong,Gangseo-gu,2157.0,701.0,15145.0,9222.0,5923.0,-,-,-,-,104.0,594.0,1,578,5,54,98.0,1303.0,469.0,2720.0,329.0,1660.0,270.0,1154.0,81,1895,21,205,149.0,851.0,67,826,20,204,2,58,170.0,900.0,79.0,875.0,71.0,174.0,221.0,1094.0
Deungchon 1(il)-dong,Gangseo-gu,1742.0,568.0,10265.0,5964.0,4301.0,-,-,-,-,91.0,841.0,-,-,3,28,69.0,388.0,449.0,1906.0,221.0,1176.0,268.0,859.0,69,835,16,275,117.0,365.0,68,566,32,809,5,208,52.0,290.0,56.0,721.0,50.0,167.0,176.0,831.0
Deungchon 2(i)-dong,Gangseo-gu,712.0,240.0,3351.0,1921.0,1430.0,-,-,-,-,32.0,145.0,-,-,-,-,14.0,50.0,146.0,588.0,143.0,369.0,111.0,403.0,3,44,3,28,40.0,100.0,12,87,7,47,4,146,53.0,695.0,25.0,255.0,23.0,99.0,96.0,295.0
Deungchon 3(sam)-dong,Gangseo-gu,2296.0,755.0,19501.0,9766.0,9735.0,-,-,-,-,44.0,312.0,-,-,1,2,72.0,920.0,588.0,3102.0,398.0,1208.0,316.0,1717.0,40,598,54,707,117.0,569.0,69,470,57,5636,2,78,161.0,1647.0,106.0,1618.0,71.0,310.0,200.0,607.0
Hwagokbon-dong,Gangseo-gu,1368.0,533.0,3954.0,1732.0,2222.0,-,-,-,-,37.0,175.0,-,-,-,-,25.0,66.0,291.0,759.0,277.0,308.0,272.0,735.0,4,14,6,60,59.0,153.0,18,74,7,36,3,48,89.0,456.0,79.0,704.0,39.0,89.0,162.0,277.0
Hwagok 2(i)-dong,Gangseo-gu,842.0,308.0,2340.0,1177.0,1163.0,-,-,-,-,34.0,156.0,-,-,-,-,23.0,118.0,309.0,867.0,161.0,167.0,62.0,118.0,3,13,-,-,28.0,45.0,6,14,1,3,1,15,58.0,346.0,30.0,199.0,17.0,49.0,109.0,230.0
Hwagok 3(sam)-dong,Gangseo-gu,1177.0,478.0,3975.0,1542.0,2433.0,-,-,-,-,46.0,235.0,-,-,1,1,33.0,79.0,233.0,591.0,174.0,189.0,210.0,577.0,11,33,22,446,63.0,191.0,18,53,12,330,2,41,90.0,357.0,59.0,432.0,56.0,101.0,147.0,319.0
Hwagok 4(sa)-dong,Gangseo-gu,1445.0,567.0,3549.0,1772.0,1777.0,-,-,-,-,71.0,206.0,-,-,1,10,38.0,114.0,443.0,924.0,211.0,292.0,248.0,541.0,8,25,7,67,46.0,69.0,8,16,6,15,2,66,53.0,392.0,47.0,374.0,64.0,131.0,192.0,307.0
Hwagok 6(yuk)-dong,Gangseo-gu,1831.0,671.0,11125.0,6069.0,5056.0,-,-,-,-,50.0,215.0,-,-,3,11,65.0,615.0,335.0,1904.0,175.0,900.0,504.0,1687.0,31,422,48,940,85.0,255.0,97,448,31,472,7,1269,46.0,489.0,66.0,757.0,95.0,228.0,193.0,513.0
Hwagok 8(pal)-dong,Gangseo-gu,1214.0,493.0,3156.0,1586.0,1570.0,-,-,-,-,27.0,50.0,-,-,-,-,22.0,89.0,318.0,927.0,212.0,227.0,189.0,398.0,5,137,7,54,78.0,105.0,8,60,9,231,1,15,43.0,107.0,71.0,427.0,42.0,86.0,182.0,243.0
Gayang 1(il)-dong,Gangseo-gu,1225.0,332.0,9936.0,6648.0,3288.0,-,-,-,-,66.0,470.0,-,-,7,291,43.0,2138.0,295.0,2017.0,254.0,1409.0,147.0,514.0,46,662,11,175,71.0,293.0,21,372,9,310,2,26,53.0,455.0,39.0,214.0,36.0,132.0,125.0,458.0
Gayang 2(i)-dong,Gangseo-gu,651.0,223.0,3293.0,1671.0,1622.0,-,-,1,7,14.0,124.0,-,-,-,-,14.0,64.0,161.0,706.0,127.0,148.0,76.0,249.0,8,25,5,48,45.0,224.0,17,56,8,286,1,16,19.0,336.0,49.0,665.0,23.0,94.0,83.0,245.0
Gayang 3(sam)-dong,Gangseo-gu,861.0,178.0,6785.0,4285.0,2500.0,-,-,-,-,63.0,656.0,-,-,1,3,28.0,408.0,198.0,1600.0,250.0,765.0,46.0,217.0,41,717,1,4,39.0,218.0,51,526,15,411,3,465,37.0,328.0,26.0,238.0,7.0,37.0,55.0,192.0
Balsan 1(il)-dong,Gangseo-gu,2147.0,715.0,10930.0,6219.0,4711.0,-,-,-,-,58.0,273.0,-,-,4,50,35.0,297.0,840.0,2749.0,316.0,1874.0,245.0,982.0,3,18,23,378,87.0,262.0,21,87,16,252,4,138,164.0,1745.0,87.0,981.0,48.0,242.0,196.0,602.0
Gonghang-dong,Gangseo-gu,1822.0,596.0,33019.0,17128.0,15891.0,-,-,-,-,62.0,355.0,-,-,5,68,84.0,821.0,503.0,1812.0,405.0,26109.0,323.0,1234.0,15,60,9,123,52.0,148.0,22,83,18,426,8,264,37.0,327.0,35.0,504.0,53.0,163.0,191.0,522.0
Banghwa 1(il)-dong,Gangseo-gu,1957.0,719.0,7140.0,3605.0,3535.0,-,-,-,-,59.0,372.0,-,-,1,3,46.0,280.0,468.0,1196.0,405.0,1282.0,304.0,771.0,8,53,9,82,102.0,318.0,16,39,18,701,1,16,89.0,637.0,82.0,639.0,63.0,127.0,286.0,624.0
Banghwa 2(i)-dong,Gangseo-gu,3160.0,829.0,12658.0,8202.0,4456.0,-,-,-,-,62.0,215.0,-,-,6,62,71.0,560.0,689.0,2559.0,1460.0,4832.0,328.0,1429.0,6,285,9,69,73.0,213.0,19,213,24,376,4,152,57.0,398.0,53.0,564.0,65.0,159.0,234.0,572.0
Banghwa 3(sam)-dong,Gangseo-gu,853.0,236.0,3824.0,2386.0,1438.0,-,-,-,-,7.0,17.0,1,5,3,35,22.0,80.0,112.0,261.0,349.0,1303.0,92.0,229.0,3,8,5,79,56.0,308.0,13,262,11,170,3,68,41.0,422.0,26.0,203.0,19.0,94.0,90.0,280.0
Hwagok 1(il)-dong,Gangseo-gu,2987.0,1150.0,8395.0,4296.0,4099.0,-,-,-,-,182.0,615.0,1,1,-,-,130.0,707.0,605.0,1540.0,447.0,520.0,642.0,1802.0,20,104,10,81,141.0,263.0,31,98,25,66,3,75,85.0,490.0,118.0,945.0,165.0,310.0,382.0,778.0
Ujangsan-dong,Gangseo-gu,1574.0,622.0,5940.0,2795.0,3145.0,-,-,-,-,41.0,146.0,1,73,1,1,40.0,368.0,318.0,982.0,284.0,438.0,201.0,591.0,13,71,21,383,112.0,411.0,27,157,24,120,1,16,150.0,676.0,84.0,853.0,51.0,118.0,205.0,536.0
Sindorim-dong,Guro-gu,2569.0,725.0,13854.0,7452.0,6402.0,-,-,-,-,727.0,1684.0,-,-,2,8,44.0,1339.0,626.0,2843.0,192.0,338.0,300.0,1805.0,49,522,40,819,94.0,325.0,65,641,26,1483,2,43,128.0,996.0,76.0,468.0,49.0,166.0,149.0,374.0
Guro 1(il)-dong,Guro-gu,675.0,236.0,2971.0,1517.0,1454.0,-,-,-,-,38.0,159.0,-,-,1,2,12.0,46.0,113.0,350.0,165.0,385.0,73.0,223.0,15,38,3,29,47.0,211.0,12,42,9,636,2,46,52.0,405.0,32.0,151.0,20.0,64.0,81.0,184.0
Guro 3(sam)-dong,Guro-gu,5737.0,1153.0,78879.0,50506.0,28373.0,-,-,-,-,788.0,10316.0,-,-,4,60,118.0,2538.0,1053.0,7784.0,149.0,787.0,709.0,3211.0,1374,27360,104,2595,194.0,1254.0,607,10379,143,8021,6,286,124.0,1602.0,88.0,859.0,91.0,313.0,185.0,1514.0
Guro 4(sa)-dong,Guro-gu,2011.0,906.0,5476.0,2483.0,2993.0,-,-,-,-,68.0,140.0,2,10,2,22,40.0,107.0,585.0,1309.0,168.0,227.0,417.0,840.0,29,118,20,102,95.0,255.0,53,191,59,473,2,70,80.0,350.0,101.0,677.0,72.0,152.0,218.0,433.0
Guro 5(o)-dong,Guro-gu,4619.0,1255.0,24401.0,12768.0,11633.0,-,-,-,-,113.0,700.0,-,-,1,2,112.0,1528.0,1384.0,3890.0,1378.0,2467.0,528.0,1934.0,148,1065,69,2551,147.0,756.0,162,1327,71,4488,5,140,92.0,706.0,81.0,1148.0,93.0,295.0,235.0,1404.0
Gocheok 1(il)-dong,Guro-gu,2456.0,636.0,7829.0,4694.0,3135.0,-,-,-,-,533.0,1148.0,2,89,3,14,117.0,460.0,769.0,1771.0,257.0,449.0,280.0,802.0,10,30,10,163,63.0,245.0,29,165,10,42,3,192,61.0,990.0,50.0,724.0,72.0,177.0,187.0,368.0
