Dong,사업_생계형사업분포현황사업체수기준_Period,사업_생계형사업분포현황사업체수기준_Gu,사업_생계형사업분포현황사업체수기준_한식음식점업,사업_생계형사업분포현황사업체수기준_용달 및 개별화물 자동차운송업,사업_생계형사업분포현황사업체수기준_부동산자문 및 중개업,사업_생계형사업분포현황사업체수기준_의류점,사업_생계형사업분포현황사업체수기준_기타주점업,사업_생계형사업분포현황사업체수기준_두발미용업,사업_생계형사업분포현황사업체수기준_슈퍼마켓,사업_생계형사업분포현황사업체수기준_분식 및 김밥전문점,사업_생계형사업분포현황사업체수기준_비알콜 음료점,사업_생계형사업분포현황사업체수기준_가정용 세탁업,사업_생계형사업분포현황사업체수기준_노래연습장 운영업,사업_생계형사업분포현황사업체수기준_체인화 편의점,사업_생계형사업분포현황사업체수기준_치킨 전문점,사업_생계형사업분포현황사업체수기준_자동차 전문 수리업,사업_생계형사업분포현황사업체수기준_과실 및 채소소매업,사업_생계형사업분포현황사업체수기준_육류 소매업,사업_생계형사업분포현황사업체수기준_중국 음식점업,사업_생계형사업분포현황사업체수기준_당구장 운영업,사업_생계형사업분포현황사업체수기준_제과점업,사업_생계형사업분포현황사업체수기준_컴퓨터게임방 운영업
Daejo-dong,2013.0,Eunpyeong-gu,202,102,103.0,282,70,76,46.0,53,42,28,24,22,16,11,59,18,16,9,13,12
Eungam 1(il)-dong,2013.0,Eunpyeong-gu,121,221,56.0,63,37,51,30.0,26,17,20,15,15,14,6,7,11,10,6,8,7
Eungam 2(i)-dong,2013.0,Eunpyeong-gu,35,142,42.0,20,21,37,26.0,16,3,17,9,X,10,6,5,12,3,3,3,3
Sinsa 1(il)-dong,2013.0,Eunpyeong-gu,65,140,49.0,28,27,51,19.0,18,11,22,17,13,11,8,7,6,9,5,4,7
Sinsa 2(i)-dong,2013.0,Eunpyeong-gu,25,83,29.0,10,10,34,23.0,15,3,20,X,6,9,8,4,9,5,-,3,-
Jeungsan-dong,2013.0,Eunpyeong-gu,76,100,36.0,26,34,37,28.0,13,9,14,10,15,8,6,8,9,7,10,7,4
Susaek-dong,2013.0,Eunpyeong-gu,65,82,21.0,19,41,32,28.0,13,7,10,7,X,8,6,11,8,3,4,5,3
Jingwan-dong,2013.0,Eunpyeong-gu,65,86,59.0,19,7,40,31.0,21,23,22,X,12,15,X,6,11,3,X,12,X
Bulgwang 2(i)-dong,2013.0,Eunpyeong-gu,114,79,52.0,48,41,55,38.0,21,10,17,6,8,12,8,35,21,5,3,4,4
Eungam 3(sam)-dong,2013.0,Eunpyeong-gu,172,142,49.0,82,109,65,40.0,28,10,23,44,14,23,13,20,15,7,13,7,8
Yeokchon-dong,2013.0,Eunpyeong-gu,149,189,109.0,60,83,96,44.0,40,26,37,23,28,26,29,15,17,8,14,11,15
Cheonyeon-dong,2013.0,Seodaemun-gu,62,37,37.0,24,23,24,17.0,17,14,10,6,6,4,4,7,12,X,4,6,X
Hongje 1(il)-dong,2013.0,Seodaemun-gu,73,88,36.0,20,32,38,25.0,19,16,20,11,8,14,5,5,8,4,3,5,4
Hongje 3(sam)-dong,2013.0,Seodaemun-gu,89,80,29.0,52,34,31,25.0,23,11,18,12,7,7,8,71,20,7,7,8,X
Hongje 2(i)-dong,2013.0,Seodaemun-gu,36,25,24.0,17,19,25,8.0,8,X,11,7,X,6,-,X,5,5,3,4,5
Hongeun 1(il)-dong,2013.0,Seodaemun-gu,60,90,29.0,32,25,35,25.0,20,6,19,X,3,7,5,11,12,5,5,7,4
Hongeun 2(i)-dong,2013.0,Seodaemun-gu,81,98,29.0,15,30,29,31.0,23,23,18,5,14,8,14,X,4,6,7,7,10
Namgajwa 1(il)-dong,2013.0,Seodaemun-gu,70,13,10.0,57,41,8,18.0,11,X,X,5,X,-,-,33,16,X,3,X,-
Namgajwa 2(i)-dong,2013.0,Seodaemun-gu,107,83,55.0,39,54,66,37.0,34,27,22,18,9,23,13,6,15,10,11,7,10
Bukgajwa 1(il)-dong,2013.0,Seodaemun-gu,11,69,21.0,4,3,15,11.0,7,4,7,-,5,6,6,-,X,-,X,X,-
Bukgajwa 2(i)-dong,2013.0,Seodaemun-gu,91,129,72.0,25,51,64,32.0,28,15,30,14,14,18,11,4,9,7,10,8,11
Chunghyeon-dong,2013.0,Seodaemun-gu,176,46,36.0,7,48,27,33.0,40,54,16,11,23,5,4,X,X,10,10,5,4
Bugahyeon-dong,2013.0,Seodaemun-gu,42,40,32.0,11,10,10,25.0,5,6,9,3,3,4,X,6,5,X,3,X,-
Sinchon-dong,2013.0,Seodaemun-gu,380,18,80.0,208,299,127,49.0,86,228,20,55,52,20,3,6,4,23,17,38,20
Yeonhui-dong,2013.0,Seodaemun-gu,112,129,65.0,51,38,55,38.0,37,59,33,10,27,14,27,10,10,24,7,16,9
Yonggang-dong,2013.0,Mapo-gu,175,14,71.0,14,49,28,20.0,24,31,14,20,15,9,13,X,4,9,8,4,5
Daeheung-dong,2013.0,Mapo-gu,143,57,66.0,9,55,29,34.0,29,41,16,14,22,19,6,4,5,13,7,9,9
Yeomni-dong,2013.0,Mapo-gu,41,46,24.0,11,18,32,25.0,15,12,13,7,6,8,4,9,8,5,X,X,-
Sinsu-dong,2013.0,Mapo-gu,72,57,44.0,8,18,28,23.0,18,13,13,3,11,12,12,3,11,7,X,4,X
Seogyo-dong,2013.0,Mapo-gu,605,58,149.0,381,503,175,58.0,85,457,18,70,81,39,10,6,9,47,30,56,28
Hapjeong-dong,2013.0,Mapo-gu,116,86,52.0,23,61,36,19.0,14,75,16,9,21,9,17,X,5,9,3,5,5
Mangwon 1(il)-dong,2013.0,Mapo-gu,104,104,48.0,41,38,49,17.0,25,16,20,15,14,17,11,13,10,7,9,6,8
Mangwon 2(i)-dong,2013.0,Mapo-gu,88,94,41.0,40,30,44,21.0,15,20,20,15,13,13,5,12,12,6,4,7,3
Yeonnam-dong,2013.0,Mapo-gu,72,46,36.0,18,40,27,20.0,10,39,18,7,15,4,11,X,6,17,3,5,X
Seongsan 1(il)-dong,2013.0,Mapo-gu,68,75,44.0,19,20,22,22.0,13,24,16,10,13,5,14,-,5,6,X,6,4
Seongsan 2(i)-dong,2013.0,Mapo-gu,79,121,52.0,102,21,38,31.0,28,17,21,5,15,15,11,34,9,10,6,11,5
Sangam-dong,2013.0,Mapo-gu,207,77,49.0,12,24,24,27.0,30,69,19,4,29,22,X,X,6,14,7,15,X
Dohwa-dong,2013.0,Mapo-gu,127,37,56.0,30,59,35,21.0,28,33,21,20,13,13,4,9,9,11,4,7,4
Seogang-dong,2013.0,Mapo-gu,92,45,63.0,26,47,30,17.0,29,75,17,3,23,9,13,3,4,7,X,21,8
gongdeok-dong,2013.0,Mapo-gu,186,94,111.0,22,74,67,47.0,32,40,28,15,17,16,6,17,19,14,12,7,9
Ahyeon-dong,2013.0,Mapo-gu,95,48,75.0,40,47,32,30.0,19,24,12,3,11,5,4,16,10,9,-,7,3
Mok 1(il)-dong,2013.0,Yangcheon-gu,191,35,68.0,170,54,50,18.0,35,67,15,23,26,19,9,X,3,20,9,30,7
Mok 2(i)-dong,2013.0,Yangcheon-gu,69,88,66.0,25,27,42,29.0,17,16,18,16,11,13,6,5,6,5,8,6,9
Mok 3(sam)-dong,2013.0,Yangcheon-gu,77,72,49.0,50,49,58,24.0,15,12,20,18,6,10,6,8,10,5,9,8,7
Mok 4(sa)-dong,2013.0,Yangcheon-gu,86,70,55.0,35,44,58,23.0,29,22,22,15,10,17,9,12,17,7,3,11,5
Sinwol 1(il)-dong,2013.0,Yangcheon-gu,120,138,47.0,45,65,61,35.0,17,5,14,23,10,13,25,24,21,6,7,4,10
Sinwol 2(i)-dong,2013.0,Yangcheon-gu,46,128,32.0,12,19,22,22.0,7,5,17,7,5,5,10,6,11,4,5,6,4
Sinwol 3(sam)-dong,2013.0,Yangcheon-gu,54,143,13.0,20,16,29,30.0,12,8,10,5,7,8,14,8,11,X,3,X,X
Sinwol 4(sa)-dong,2013.0,Yangcheon-gu,73,138,31.0,13,36,42,15.0,15,12,11,13,6,15,10,6,7,6,6,4,5
Sinwol 5(o)-dong,2013.0,Yangcheon-gu,70,92,24.0,20,26,31,19.0,11,10,11,13,10,7,18,4,3,3,5,X,3
Sinwol 6(yuk)-dong,2013.0,Yangcheon-gu,52,79,22.0,23,20,22,12.0,10,X,9,10,4,3,X,13,9,4,3,3,X
Sinwol 7(chil)-dong,2013.0,Yangcheon-gu,83,188,31.0,22,20,38,28.0,17,8,16,17,7,19,9,4,7,5,9,8,9
Sinjeong 1(il)-dong,2013.0,Yangcheon-gu,85,20,43.0,31,48,33,10.0,13,16,12,17,7,12,17,6,10,5,5,7,X
Sinjeong 2(i)-dong,2013.0,Yangcheon-gu,57,59,45.0,34,19,43,11.0,15,12,14,10,8,12,10,14,10,6,4,10,4
Sinjeong 3(sam)-dong,2013.0,Yangcheon-gu,68,216,61.0,37,36,58,46.0,27,15,28,14,11,19,6,11,20,6,6,8,8
Sinjeong 6(yuk)-dong,2013.0,Yangcheon-gu,23,15,45.0,13,X,17,12.0,18,5,13,-,7,5,X,5,5,X,-,8,X
Sinjeong 7(chil)-dong,2013.0,Yangcheon-gu,50,79,37.0,23,11,31,14.0,19,8,13,6,9,12,6,7,7,7,5,11,10
Mok 5(o)-dong,2013.0,Yangcheon-gu,56,14,100.0,44,17,38,18.0,30,23,27,X,13,11,X,7,5,6,3,15,5
Sinjeong 4(sa)-dong,2013.0,Yangcheon-gu,192,153,88.0,111,92,88,41.0,32,48,33,49,25,18,24,11,12,12,8,11,14
Yeomchang-dong,2013.0,Gangseo-gu,115,116,68.0,24,35,48,20.0,24,34,26,18,15,13,21,X,12,7,7,11,9
Deungchon 1(il)-dong,2013.0,Gangseo-gu,121,71,60.0,61,41,33,17.0,28,21,17,17,18,17,22,X,5,6,8,9,5
Deungchon 2(i)-dong,2013.0,Gangseo-gu,35,52,26.0,8,22,18,12.0,13,10,12,4,8,12,5,X,4,3,3,4,5
Deungchon 3(sam)-dong,2013.0,Gangseo-gu,120,125,50.0,63,39,43,33.0,24,41,17,18,18,16,18,3,9,12,12,11,8
Hwagokbon-dong,2013.0,Gangseo-gu,100,128,51.0,32,49,42,36.0,29,10,24,15,12,17,6,8,11,6,7,4,7
Hwagok 2(i)-dong,2013.0,Gangseo-gu,22,83,23.0,15,12,30,21.0,10,5,12,5,4,3,6,3,4,X,4,4,4
Hwagok 3(sam)-dong,2013.0,Gangseo-gu,88,73,46.0,31,38,49,16.0,18,18,16,19,13,13,3,6,8,X,11,8,11
Hwagok 4(sa)-dong,2013.0,Gangseo-gu,105,115,40.0,54,58,57,25.0,25,12,19,32,11,13,9,20,21,7,6,6,7
Hwagok 6(yuk)-dong,2013.0,Gangseo-gu,191,74,48.0,30,130,41,28.0,22,23,17,37,21,10,8,5,6,11,11,3,9
Hwagok 8(pal)-dong,2013.0,Gangseo-gu,75,99,70.0,42,34,50,22.0,22,12,19,16,7,14,X,11,15,5,4,12,8
Gayang 1(il)-dong,2013.0,Gangseo-gu,79,69,35.0,9,20,20,17.0,12,11,12,13,12,8,28,X,4,7,3,3,X
Gayang 2(i)-dong,2013.0,Gangseo-gu,31,66,18.0,38,9,17,8.0,7,4,9,4,4,8,X,3,4,3,3,3,3
Gayang 3(sam)-dong,2013.0,Gangseo-gu,20,77,14.0,23,4,15,12.0,3,3,9,-,X,3,X,X,3,4,-,X,-
Balsan 1(il)-dong,2013.0,Gangseo-gu,87,136,51.0,41,20,50,31.0,43,24,17,7,12,16,12,21,18,7,5,15,7
Gonghang-dong,2013.0,Gangseo-gu,144,81,37.0,46,74,39,29.0,20,17,18,27,20,9,19,4,7,11,8,9,7
Banghwa 1(il)-dong,2013.0,Gangseo-gu,139,163,63.0,58,53,71,29.0,22,22,24,30,16,18,24,27,22,7,9,9,8
Banghwa 2(i)-dong,2013.0,Gangseo-gu,133,118,47.0,246,57,43,32.0,16,30,16,27,18,11,23,4,9,9,7,16,9
Banghwa 3(sam)-dong,2013.0,Gangseo-gu,35,105,28.0,14,14,26,15.0,10,8,15,3,8,9,X,X,X,4,X,6,X
Hwagok 1(il)-dong,2013.0,Gangseo-gu,226,203,116.0,72,143,83,55.0,24,28,39,77,39,17,34,6,16,18,18,13,26
Ujangsan-dong,2013.0,Gangseo-gu,92,105,86.0,32,30,52,28.0,16,23,22,18,12,13,12,3,8,7,X,7,7
Sindorim-dong,2013.0,Guro-gu,125,86,63.0,109,20,43,27.0,25,38,18,13,22,20,11,3,7,9,7,14,3
Guro 1(il)-dong,2013.0,Guro-gu,16,60,26.0,9,18,18,9.0,10,7,15,X,7,9,6,-,8,3,X,5,4
Guro 3(sam)-dong,2013.0,Guro-gu,283,54,109.0,35,89,37,39.0,56,84,20,33,50,23,4,-,3,24,15,12,6
Guro 4(sa)-dong,2013.0,Guro-gu,149,98,68.0,99,91,60,56.0,37,23,20,36,8,15,4,39,15,40,7,7,9
Guro 5(o)-dong,2013.0,Guro-gu,236,110,86.0,311,63,44,36.0,44,47,27,38,28,16,9,3,12,20,13,18,8
Gocheok 1(il)-dong,2013.0,Guro-gu,112,118,29.0,102,68,36,36.0,25,20,16,21,5,10,8,7,13,9,16,8,6
Gocheok 2(i)-dong,2013.0,Guro-gu,83,X,42.0,50,34,53,24.0,18,15,24,16,8,11,16,15,14,5,3,5,6
Gaebong 2(i)-dong,2013.0,Guro-gu,73,133,38.0,22,36,52,19.0,15,15,22,13,5,12,7,10,12,4,X,3,7
Gaebong 3(sam)-dong,2013.0,Guro-gu,65,114,35.0,22,35,45,18.0,13,8,13,9,4,10,9,X,13,5,5,3,7
Oryu 1(il)-dong,2013.0,Guro-gu,76,64,34.0,27,33,35,20.0,19,10,13,16,12,8,4,11,10,3,6,8,3
Oryu 2(i)-dong,2013.0,Guro-gu,78,184,45.0,17,18,42,29.0,20,8,20,8,12,14,6,11,8,8,3,8,5
Sugung-dong,2013.0,Guro-gu,71,124,30.0,6,18,30,22.0,15,8,13,10,14,8,9,5,8,8,7,7,7
Garibong-dong,2013.0,Guro-gu,78,42,20.0,19,63,30,49.0,11,16,13,37,7,4,9,13,8,61,3,X,11
Guro 2(i)-dong,2013.0,Guro-gu,271,144,94.0,39,92,68,95.0,43,45,28,34,9,23,27,11,10,39,15,8,8
Gaebong 1(il)-dong,2013.0,Guro-gu,110,184,37.0,34,47,56,46.0,21,16,25,20,12,18,15,X,20,11,9,8,8
Gasan-dong,2013.0,Geumcheon-gu,442,216,152.0,671,91,35,81.0,83,138,21,32,70,27,22,4,7,46,28,18,11
Doksan 1(il)-dong,2013.0,Geumcheon-gu,191,143,51.0,60,63,43,54.0,35,24,22,31,19,16,35,6,129,16,13,6,7
Doksan 2(i)-dong,2013.0,Geumcheon-gu,89,101,36.0,21,40,48,25.0,18,5,18,12,6,9,10,9,9,5,6,4,9
Doksan 3(sam)-dong,2013.0,Geumcheon-gu,132,128,57.0,54,76,73,60.0,36,15,28,26,13,12,15,20,20,34,8,7,12
Doksan 4(sa)-dong,2013.0,Geumcheon-gu,90,73,29.0,9,56,37,29.0,16,10,13,26,9,11,8,6,6,8,9,3,8
Siheung 1(il)-dong,2013.0,Geumcheon-gu,255,147,70.0,142,122,84,54.0,47,38,32,45,18,28,23,37,26,20,18,13,12
Siheung 2(i)-dong,2013.0,Geumcheon-gu,9,98,16.0,6,4,19,10.0,8,8,10,X,X,5,3,X,5,X,-,3,X
Siheung 3(sam)-dong,2013.0,Geumcheon-gu,74,109,28.0,6,19,15,20.0,10,7,5,6,7,4,17,4,9,4,5,4,4
Siheung 4(sa)-dong,2013.0,Geumcheon-gu,29,125,25.0,13,22,38,22.0,15,8,14,8,5,7,3,4,10,4,4,3,X
Siheung 5(o)-dong,2013.0,Geumcheon-gu,77,126,32.0,27,31,49,37.0,21,11,16,17,5,16,5,13,15,6,8,4,9
Yeouido-dong,2013.0,Yeongdeungpo-gu,650,18,129.0,106,162,50,100.0,102,214,19,11,59,27,8,7,5,45,23,33,5
Dangsan 1(il)-dong,2013.0,Yeongdeungpo-gu,222,68,68.0,18,150,38,36.0,20,52,17,40,20,10,14,X,6,11,12,5,7
Dangsan2(i)-dong,2013.0,Yeongdeungpo-gu,137,61,82.0,58,70,36,25.0,32,45,24,13,26,7,5,3,10,12,10,13,8
Yangpyeong 1(il)-dong,2013.0,Yeongdeungpo-gu,128,1091,39.0,15,30,19,24.0,16,23,15,4,12,7,24,5,8,11,4,3,3
Yangpyeong 2(i)-dong,2013.0,Yeongdeungpo-gu,126,78,47.0,12,43,24,30.0,23,35,17,14,23,7,21,5,11,10,8,6,4
Singil 1(il)-dong,2013.0,Yeongdeungpo-gu,91,68,36.0,45,49,48,41.0,19,10,24,23,7,7,7,10,9,11,8,9,13
Singil 3(sam)-dong,2013.0,Yeongdeungpo-gu,53,80,29.0,55,36,35,24.0,14,6,17,12,6,5,10,8,9,9,7,3,4
Singil 4(sa)-dong,2013.0,Yeongdeungpo-gu,41,49,24.0,6,28,28,26.0,7,-,12,9,X,6,3,X,4,6,3,X,X
Singil 5(o)-dong,2013.0,Yeongdeungpo-gu,39,72,15.0,7,24,21,24.0,8,5,9,11,5,3,7,X,X,16,3,X,4
Singil 6(yuk)-dong,2013.0,Yeongdeungpo-gu,82,76,60.0,19,34,38,36.0,15,14,17,17,5,8,19,7,8,10,4,4,6
Singil 7(chil)-dong,2013.0,Yeongdeungpo-gu,39,36,14.0,9,17,15,11.0,5,10,7,6,5,4,6,X,3,3,3,3,3
Daerim 1(il)-dong,2013.0,Yeongdeungpo-gu,81,49,33.0,34,48,44,25.0,21,9,11,19,10,10,9,21,13,12,4,7,5
Daerim 2(i)-dong,2013.0,Yeongdeungpo-gu,90,53,48.0,35,64,51,46.0,12,18,14,32,8,7,4,15,19,124,6,6,13
Daerim 3(sam)-dong,2013.0,Yeongdeungpo-gu,131,135,61.0,13,86,50,47.0,28,18,22,45,14,9,27,5,9,34,13,6,14
Yeongdeungpobon-dong,2013.0,Yeongdeungpo-gu,90,89,35.0,89,29,29,39.0,21,20,15,20,15,11,6,11,9,19,4,6,8
Yeongdeungpo-dong,2013.0,Yeongdeungpo-gu,451,49,95.0,330,126,46,111.0,57,95,19,56,46,16,26,40,26,30,23,22,18
Dorim-dong,2013.0,Yeongdeungpo-gu,55,81,40.0,8,34,29,31.0,10,5,20,13,6,5,20,4,5,11,3,3,9
Mullae-dong,2013.0,Yeongdeungpo-gu,223,80,59.0,58,33,28,43.0,45,51,14,11,24,15,20,8,8,15,14,12,4
Noryangjin 2(i)-dong,2013.0,Dongjak-gu,73,46,38.0,31,52,28,30.0,25,21,15,16,12,8,-,8,8,10,5,4,11
Sangdo 1(il)-dong,2013.0,Dongjak-gu,117,95,71.0,31,58,53,33.0,27,55,24,14,27,18,17,14,15,14,14,16,16
Sangdo 2(i)-dong,2013.0,Dongjak-gu,86,56,70.0,54,28,45,21.0,22,9,17,15,10,10,7,9,10,3,7,11,8
Sangdo 3(sam)-dong,2013.0,Dongjak-gu,57,76,39.0,42,19,46,18.0,14,8,18,13,7,9,X,10,11,4,4,5,5
Sangdo 4(sa)-dong,2013.0,Dongjak-gu,55,110,37.0,24,19,43,21.0,14,9,13,8,6,9,X,6,11,3,X,4,8
Sadang 1(il)-dong,2013.0,Dongjak-gu,153,79,80.0,33,83,46,26.0,19,35,21,34,20,11,8,9,7,9,8,9,8
Sadang 3(sam)-dong,2013.0,Dongjak-gu,54,68,45.0,15,21,32,14.0,8,15,16,6,8,11,13,9,7,5,X,5,-
Sadang 4(sa)-dong,2013.0,Dongjak-gu,30,50,21.0,27,11,29,13.0,9,5,15,7,6,11,-,12,9,X,X,6,5
Sadang 5(o)-dong,2013.0,Dongjak-gu,24,45,19.0,7,6,23,14.0,5,6,8,X,4,6,7,4,6,X,X,X,X
Daebang-dong,2013.0,Dongjak-gu,87,71,54.0,31,41,37,32.0,20,23,26,11,21,15,18,7,6,8,6,10,5
Sindaebang 1(il)-dong,2013.0,Dongjak-gu,62,48,43.0,35,25,39,24.0,14,13,20,11,8,10,5,6,11,14,X,4,4
Sindaebang 2(i)-dong,2013.0,Dongjak-gu,122,45,41.0,15,30,35,18.0,21,34,17,13,17,9,8,X,X,9,8,9,4
Heukseok-dong,2013.0,Dongjak-gu,148,72,73.0,44,77,52,48.0,30,50,27,8,17,14,7,16,9,12,12,12,12
Noryangjin 1(il)-dong,2013.0,Dongjak-gu,166,67,69.0,39,53,48,55.0,55,79,23,10,22,24,4,6,10,14,11,14,36
Sadang 2(i)-dong,2013.0,Dongjak-gu,129,60,62.0,35,91,59,24.0,25,25,24,22,17,10,3,20,18,11,7,14,11
Boramae-dong,2013.0,Gwanak-gu,100,75,39.0,132,50,47,21.0,19,17,17,13,9,10,3,11,10,7,3,10,3
Cheongnim-dong,2013.0,Gwanak-gu,15,34,21.0,8,15,20,11.0,7,3,9,3,-,3,X,6,5,X,X,3,3
Haengun-dong,2013.0,Gwanak-gu,97,60,59.0,58,40,55,22.0,22,31,25,13,19,19,6,9,10,5,5,9,8
Nagseongdae-dong,2013.0,Gwanak-gu,128,36,34.0,21,96,32,26.0,34,31,13,24,14,8,12,5,11,7,8,4,6
Jungang-dong,2013.0,Gwanak-gu,94,42,43.0,27,35,33,19.0,12,13,13,5,10,10,11,-,4,3,4,3,X
Inheon-dong,2013.0,Gwanak-gu,73,70,46.0,43,31,39,23.0,23,16,21,18,14,21,3,17,10,7,5,5,8
Namhyeon-dong,2013.0,Gwanak-gu,86,36,30.0,22,45,20,8.0,15,15,12,14,13,13,7,6,4,5,3,9,4
Sewon-dong,2013.0,Gwanak-gu,136,54,38.0,56,123,34,27.0,25,41,12,33,13,12,7,X,4,8,9,12,16
Sinwon-dong,2013.0,Gwanak-gu,60,37,31.0,25,28,38,25.0,23,6,13,10,5,9,3,24,17,8,X,4,7
Serim-dong,2013.0,Gwanak-gu,65,57,30.0,14,22,26,29.0,18,15,22,7,9,16,4,3,7,5,4,4,9
Sinsa-dong,2013.0,Gwanak-gu,94,84,53.0,34,38,60,31.0,25,12,29,21,17,11,15,11,16,14,4,4,9
Sillim-dong,2013.0,Gwanak-gu,194,27,95.0,78,116,42,30.0,31,33,22,57,29,10,3,6,9,5,10,X,23
Nanhyang-dong,2013.0,Gwanak-gu,12,52,14.0,3,6,16,12.0,7,X,9,X,3,5,-,3,5,X,X,3,X
Jowon-dong,2013.0,Gwanak-gu,153,349,50.0,39,71,50,41.0,19,18,18,35,11,15,26,9,14,20,9,4,13
Daehak-dong,2013.0,Gwanak-gu,174,46,37.0,9,71,42,30.0,61,58,21,27,26,27,-,7,6,16,16,8,37
Euncheon-dong,2013.0,Gwanak-gu,123,107,53.0,23,50,49,27.0,22,15,21,16,14,15,23,5,12,8,6,11,5
Seonghyeon-dong,2013.0,Gwanak-gu,21,71,32.0,9,17,34,17.0,7,5,16,X,4,7,8,7,6,7,X,3,4
Cheongnyong-dong,2013.0,Gwanak-gu,165,64,83.0,108,74,66,35.0,33,41,32,22,25,20,5,15,14,9,12,11,11
Nangok-dong,2013.0,Gwanak-gu,35,115,25.0,20,19,44,35.0,20,7,16,6,8,10,9,6,11,5,5,6,8
Samseong-dong,2013.0,Gwanak-gu,68,117,32.0,40,29,36,30.0,11,3,21,5,3,5,8,20,16,5,X,X,X
Miseong-dong,2013.0,Gwanak-gu,79,156,40.0,66,30,54,30.0,18,14,24,14,13,17,15,7,16,5,5,5,X
Seocho 1(il)-dong,2013.0,Seocho-gu,178,17,82.0,19,33,37,21.0,30,70,24,15,26,13,27,X,4,14,9,16,7
Seocho 2(i)-dong,2013.0,Seocho-gu,219,12,158.0,52,34,49,32.0,43,85,18,12,34,15,3,X,X,14,14,19,4
Seocho 3(sam)-dong,2013.0,Seocho-gu,451,28,191.0,43,96,46,40.0,58,141,32,50,55,20,17,X,8,30,21,31,9
Seocho 4(sa)-dong,2013.0,Seocho-gu,181,3,93.0,54,75,35,17.0,38,65,18,12,29,15,-,4,7,15,9,24,5
Jamwon-dong,2013.0,Seocho-gu,173,15,105.0,19,69,33,21.0,23,41,26,33,23,19,6,4,4,17,7,10,4
Banpobon-dong,2013.0,Seocho-gu,25,X,30.0,81,17,20,12.0,13,15,10,X,3,8,4,8,5,4,X,10,X
Banpo 1(il)-dong,2013.0,Seocho-gu,113,15,80.0,48,45,49,30.0,26,32,30,11,17,11,7,X,X,4,4,10,10
Banpo 2(i)-dong,2013.0,Seocho-gu,8,7,39.0,13,3,20,5.0,13,7,9,-,5,X,X,6,5,X,-,8,-
Banpo 3(sam)-dong,2013.0,Seocho-gu,36,7,65.0,63,6,16,11.0,8,8,6,5,X,10,3,-,3,4,X,5,3
Banpo 4(sa)-dong,2013.0,Seocho-gu,141,7,37.0,475,39,34,37.0,49,80,13,10,26,4,5,7,4,14,5,38,6
Bangbaebon-dong,2013.0,Seocho-gu,108,15,47.0,37,38,47,17.0,24,40,17,17,14,7,10,4,7,7,5,15,6
Bangbae 1(il)-dong,2013.0,Seocho-gu,115,20,53.0,34,29,36,11.0,20,35,16,24,14,12,7,3,9,10,8,8,11
Bangbae 2(i)-dong,2013.0,Seocho-gu,140,60,75.0,23,48,30,14.0,18,34,19,16,16,7,11,3,9,9,7,9,6
Bangbae 3(sam)-dong,2013.0,Seocho-gu,36,35,49.0,10,7,23,19.0,12,15,22,-,12,4,6,3,4,5,X,7,-
Bangbae 4(sa)-dong,2013.0,Seocho-gu,125,37,90.0,24,26,54,16.0,27,24,23,9,16,11,27,9,8,12,5,8,3
Yangjae 1(il)-dong,2013.0,Seocho-gu,195,81,80.0,32,57,38,24.0,34,64,29,28,28,20,23,3,10,19,15,18,9
Yangjae 2(i)-dong,2013.0,Seocho-gu,314,78,103.0,163,57,38,39.0,37,64,19,50,28,25,50,X,11,16,24,11,10
Naegok-dong,2013.0,Seocho-gu,32,27,9.0,-,X,X,11.0,X,4,X,-,X,-,-,-,-,-,-,-,-
Sinsa-dong,2013.0,Gangnam-gu,220,16,92.0,335,68,77,21.0,49,128,18,29,36,19,4,6,7,18,7,32,8
Nonhyeon 1(il)-dong,2013.0,Gangnam-gu,323,22,154.0,93,86,85,41.0,48,83,44,36,46,23,11,15,20,18,15,11,15
Nonhyeon 2(i)-dong,2013.0,Gangnam-gu,368,19,134.0,80,100,64,41.0,60,109,32,21,48,13,17,X,7,23,15,22,11
Samseong 1(il)-dong,2013.0,Gangnam-gu,226,31,85.0,80,47,33,26.0,29,88,12,22,24,8,9,X,X,23,14,13,3
Samseong 2(i)-dong,2013.0,Gangnam-gu,171,21,140.0,42,21,59,25.0,45,62,31,10,38,17,13,7,8,13,9,19,7
Daechi 1(il)-dong,2013.0,Gangnam-gu,52,5,60.0,23,7,30,9.0,16,21,12,5,11,12,X,4,5,X,X,11,8
Daechi 4(sa)-dong,2013.0,Gangnam-gu,249,23,144.0,55,66,71,22.0,50,84,25,27,45,21,11,6,X,17,11,25,15
Yeoksam 1(il)-dong,2013.0,Gangnam-gu,911,22,438.0,224,211,147,76.0,140,337,61,85,118,51,17,X,7,58,42,35,36
Yeoksam 2(i)-dong,2013.0,Gangnam-gu,179,25,130.0,38,26,32,28.0,38,76,29,8,37,12,7,8,8,22,11,13,9
Dogok 1(il)-dong,2013.0,Gangnam-gu,79,32,68.0,33,17,32,15.0,21,33,14,4,23,8,8,X,3,4,7,6,X
Dogok 2(i)-dong,2013.0,Gangnam-gu,109,7,76.0,24,31,22,15.0,18,34,15,9,17,7,12,-,3,12,7,15,X
Gaepo 1(il)-dong,2013.0,Gangnam-gu,7,72,44.0,10,-,19,14.0,5,4,13,-,X,X,X,5,X,X,-,X,-
Gaepo 4(sa)-dong,2013.0,Gangnam-gu,109,66,53.0,26,21,32,19.0,21,24,23,15,15,11,26,4,5,8,9,3,6
