Dong,사업_사업체평균연령_Period,사업_사업체평균연령_Gu,사업_사업체평균연령_No. of establishments,사업_사업체평균연령_No. of workers,사업_사업체평균연령_Average worker,사업_사업체평균연령_Rate of establishing a business
Seongsu 2(i)-ga1(il)-dong,2013.0,Seongdong-gu,2351.0,14571.0,6.2,9년4개월
Seongsu 2(i)-ga 3(sam)-dong,2013.0,Seongdong-gu,4690.0,43517.0,9.28,9년6개월
Songjeong-dong,2013.0,Seongdong-gu,712.0,2156.0,3.03,10년0개월
Yongdap-dong,2013.0,Seongdong-gu,2050.0,13485.0,6.58,9년8개월
WangsimniDoseon-dong,2013.0,Seongdong-gu,1588.0,8254.0,5.2,9년1개월
Geumho 2.3(i.sam)-ga-dong,2013.0,Seongdong-gu,974.0,2422.0,2.49,9년12개월
Oksu-dong,2013.0,Seongdong-gu,759.0,2720.0,3.58,8년2개월
Hwayang-dong,2013.0,Gwangjin-gu,2456.0,14197.0,5.78,6년11개월
Gunja-dong,2013.0,Gwangjin-gu,1572.0,7832.0,4.98,8년9개월
Junggok 1(il)-dong,2013.0,Gwangjin-gu,1601.0,6943.0,4.34,9년0개월
Junggok 2(i)-dong,2013.0,Gwangjin-gu,1748.0,5699.0,3.26,8년2개월
Junggok 3(sam)-dong,2013.0,Gwangjin-gu,1359.0,4778.0,3.52,9년2개월
Junggok 4(sa)-dong,2013.0,Gwangjin-gu,1572.0,4959.0,3.15,10년0개월
Neung-dong,2013.0,Gwangjin-gu,698.0,4466.0,6.4,8년9개월
Guui 1(il)-dong,2013.0,Gwangjin-gu,1838.0,6361.0,3.46,8년1개월
Guui 2(i)-dong,2013.0,Gwangjin-gu,1314.0,5211.0,3.97,10년11개월
Guui 3(sam)-dong,2013.0,Gwangjin-gu,2596.0,19699.0,7.59,7년7개월
Gwangjang-dong,2013.0,Gwangjin-gu,1361.0,10953.0,8.05,8년4개월
Jayang 1(il)-dong,2013.0,Gwangjin-gu,1694.0,8364.0,4.94,9년8개월
Jayang 2(i)-dong,2013.0,Gwangjin-gu,1517.0,7311.0,4.82,9년12개월
Jayang 3(sam)-dong,2013.0,Gwangjin-gu,1317.0,6244.0,4.74,9년5개월
Jayang 4(sa)-dong,2013.0,Gwangjin-gu,2033.0,6948.0,3.42,8년9개월
Hoegi-dong,2013.0,Dongdaemun-gu,990.0,10029.0,10.13,7년8개월
Hwigyeong 1(il)-dong,2013.0,Dongdaemun-gu,1041.0,3869.0,3.72,8년10개월
Hwigyeong 2(i)-dong,2013.0,Dongdaemun-gu,1092.0,4462.0,4.09,9년7개월
Cheongnyangni-dong,2013.0,Dongdaemun-gu,1687.0,8301.0,4.92,10년8개월
Yongsin-dong,2013.0,Dongdaemun-gu,5504.0,27882.0,5.07,9년3개월
Jegi-dong,2013.0,Dongdaemun-gu,4697.0,11249.0,2.39,11년2개월
Jeonnong 1(il)-dong,2013.0,Dongdaemun-gu,2244.0,7761.0,3.46,8년5개월
Jeonnong 2(i)-dong,2013.0,Dongdaemun-gu,845.0,4362.0,5.16,10년8개월
Dapsimni 1(il)-dong,2013.0,Dongdaemun-gu,2095.0,10111.0,4.83,10년6개월
Dapsimni 2(i)-dong,2013.0,Dongdaemun-gu,2003.0,5735.0,2.86,10년0개월
Jangan 1(il)-dong,2013.0,Dongdaemun-gu,4376.0,20752.0,4.74,8년7개월
Jangan 2(i)-dong,2013.0,Dongdaemun-gu,3190.0,10088.0,3.16,7년10개월
Imun 1(il)-dong,2013.0,Dongdaemun-gu,1476.0,5316.0,3.6,9년2개월
Imun 2(i)-dong,2013.0,Dongdaemun-gu,732.0,2183.0,2.98,8년10개월
Myeonmok 2(i)-dong,2013.0,Jungnang-gu,2018.0,6140.0,3.04,8년7개월
Myeonmok 4(sa)-dong,2013.0,Jungnang-gu,1058.0,3407.0,3.22,8년11개월
Myeonmok 5(o)-dong,2013.0,Jungnang-gu,1002.0,3740.0,3.73,8년8개월
Myeonmok 7(chil)-dong,2013.0,Jungnang-gu,1507.0,4122.0,2.74,8년11개월
Sangbong 1(il)-dong,2013.0,Jungnang-gu,1100.0,6159.0,5.6,8년2개월
Sangbong 2(i)-dong,2013.0,Jungnang-gu,2164.0,9971.0,4.61,7년7개월
Junghwa 1(il)-dong,2013.0,Jungnang-gu,1100.0,3655.0,3.32,8년8개월
Junghwa 2(i)-dong,2013.0,Jungnang-gu,2286.0,6673.0,2.92,8년6개월
Muk 1(il)-dong,2013.0,Jungnang-gu,1503.0,5870.0,3.91,8년4개월
Muk 2(i)-dong,2013.0,Jungnang-gu,1752.0,5333.0,3.04,8년11개월
Mangu 3(sam)-dong,2013.0,Jungnang-gu,1072.0,3543.0,3.31,8년5개월
Sinnae 1(il)-dong,2013.0,Jungnang-gu,1574.0,7895.0,5.02,9년1개월
Sinnae 2(i)-dong,2013.0,Jungnang-gu,1074.0,5172.0,4.82,8년5개월
Myeonmokbon-dong,2013.0,Jungnang-gu,2454.0,6842.0,2.79,8년1개월
Myeonmok 3.8(sam.pal)-dong,2013.0,Jungnang-gu,3043.0,7685.0,2.53,10년0개월
Mangubon-dong,2013.0,Jungnang-gu,2783.0,9831.0,3.53,8년5개월
Donam 1(il)-dong,2013.0,Seongbuk_gu,382.0,1383.0,3.62,7년10개월
Donam 2(i)-dong,2013.0,Seongbuk_gu,363.0,1716.0,4.73,9년1개월
Anam-dong,2013.0,Seongbuk_gu,1329.0,13134.0,9.88,8년1개월
Bomun-dong,2013.0,Seongbuk_gu,1239.0,4121.0,3.33,9년1개월
Jeongneung 1(il)-dong,2013.0,Seongbuk_gu,787.0,1937.0,2.46,8년8개월
Jeongneung 2(i)-dong,2013.0,Seongbuk_gu,957.0,2832.0,2.96,8년11개월
Jeongneung 3(sam)-dong,2013.0,Seongbuk_gu,674.0,4343.0,6.44,11년11개월
Jeongneung 4(sa)-dong,2013.0,Seongbuk_gu,871.0,3870.0,4.44,9년1개월
Gireum 1(il)-dong,2013.0,Seongbuk_gu,1151.0,3619.0,3.14,7년10개월
Gireum 2(i)-dong,2013.0,Seongbuk_gu,1116.0,4612.0,4.13,7년3개월
Wolgok 1(il)-dong,2013.0,Seongbuk_gu,1192.0,4899.0,4.11,8년10개월
Wolgok 2(i)-dong,2013.0,Seongbuk_gu,1798.0,8745.0,4.86,6년12개월
Jangwi 1(il)-dong,2013.0,Seongbuk_gu,1131.0,2838.0,2.51,8년10개월
Jangwi 2(i)-dong,2013.0,Seongbuk_gu,1663.0,5078.0,3.05,8년11개월
