Dong,사업_생계형사업분포현황종사자수기준_Period,사업_생계형사업분포현황종사자수기준_Gu,사업_생계형사업분포현황종사자수기준_한식음식점업,사업_생계형사업분포현황종사자수기준_의류점,사업_생계형사업분포현황종사자수기준_기타주점업,사업_생계형사업분포현황종사자수기준_부동산자문 및 중개업,사업_생계형사업분포현황종사자수기준_용달 및 개별화물 자동차운송업,사업_생계형사업분포현황종사자수기준_슈퍼마켓,사업_생계형사업분포현황종사자수기준_비알콜 음료점,사업_생계형사업분포현황종사자수기준_두발미용업,사업_생계형사업분포현황종사자수기준_분식 및 김밥전문점,사업_생계형사업분포현황종사자수기준_체인화 편의점,사업_생계형사업분포현황종사자수기준_중국 음식점업,사업_생계형사업분포현황종사자수기준_제과점업,사업_생계형사업분포현황종사자수기준_가정용 세탁업,사업_생계형사업분포현황종사자수기준_노래연습장 운영업,사업_생계형사업분포현황종사자수기준_치킨 전문점,사업_생계형사업분포현황종사자수기준_자동차 전문 수리업,사업_생계형사업분포현황종사자수기준_컴퓨터게임방 운영업,사업_생계형사업분포현황종사자수기준_과실 및 채소소매업,사업_생계형사업분포현황종사자수기준_육류 소매업,사업_생계형사업분포현황종사자수기준_당구장 운영업
Gusan-dong,2013.0,Eunpyeong-gu,71,39,21,53.0,145,88.0,25,62,33,39,15,29,25,3,14,17,-,5,12,X
Daejo-dong,2013.0,Eunpyeong-gu,675,668,119,157.0,113,114.0,134,171,97,78,47,43,47,39,38,27,43,82,35,14
Eungam 1(il)-dong,2013.0,Eunpyeong-gu,373,152,75,71.0,221,51.0,60,100,51,58,43,43,30,21,40,10,22,14,24,11
Eungam 2(i)-dong,2013.0,Eunpyeong-gu,91,28,30,53.0,148,82.0,5,46,27,4,14,8,28,15,24,16,12,9,31,8
Sinsa 1(il)-dong,2013.0,Eunpyeong-gu,185,47,53,66.0,157,76.0,26,68,42,39,32,19,27,26,25,12,26,8,11,9
Sinsa 2(i)-dong,2013.0,Eunpyeong-gu,55,11,12,37.0,91,51.0,4,45,27,24,11,20,37,X,14,13,-,13,12,-
Jeungsan-dong,2013.0,Eunpyeong-gu,168,43,51,46.0,107,61.0,30,43,22,65,28,40,21,12,18,6,12,15,13,13
Susaek-dong,2013.0,Eunpyeong-gu,165,26,54,28.0,86,83.0,24,39,32,6,8,26,20,7,15,16,10,17,12,5
Jingwan-dong,2013.0,Eunpyeong-gu,236,33,12,81.0,86,114.0,44,74,48,49,12,43,41,X,35,X,7,22,17,X
Bulgwang 2(i)-dong,2013.0,Eunpyeong-gu,256,65,57,70.0,81,122.0,17,70,42,33,19,17,26,9,27,21,12,51,42,4
Eungam 3(sam)-dong,2013.0,Eunpyeong-gu,391,141,204,64.0,158,144.0,20,86,50,57,23,31,31,60,42,25,31,49,46,20
Yeokchon-dong,2013.0,Eunpyeong-gu,365,78,150,147.0,216,156.0,53,151,74,104,30,38,65,29,63,67,42,35,36,19
Cheonyeon-dong,2013.0,Seodaemun-gu,160,34,38,49.0,39,73.0,25,26,34,20,9,13,17,9,11,5,7,10,32,6
Hongje 1(il)-dong,2013.0,Seodaemun-gu,199,47,53,46.0,112,92.0,34,77,39,36,9,28,27,19,28,6,13,10,11,4
Hongje 3(sam)-dong,2013.0,Seodaemun-gu,189,71,46,37.0,90,54.0,30,42,39,33,20,29,23,13,17,15,8,101,26,13
Hongje 2(i)-dong,2013.0,Seodaemun-gu,90,30,28,28.0,25,15.0,4,30,18,9,15,20,17,7,13,-,16,X,7,4
Hongeun 1(il)-dong,2013.0,Seodaemun-gu,112,39,34,35.0,92,86.0,13,36,34,11,22,23,30,X,13,6,10,19,19,6
Hongeun 2(i)-dong,2013.0,Seodaemun-gu,210,26,64,37.0,98,77.0,53,35,44,67,21,21,31,8,19,28,27,X,6,8
Namgajwa 1(il)-dong,2013.0,Seodaemun-gu,125,70,52,11.0,13,28.0,8,8,23,7,X,5,3,8,-,-,-,38,24,4
Namgajwa 2(i)-dong,2013.0,Seodaemun-gu,272,63,92,70.0,83,106.0,74,92,71,36,43,27,32,26,47,32,36,16,23,18
Bukgajwa 1(il)-dong,2013.0,Seodaemun-gu,30,11,4,29.0,73,55.0,16,20,16,12,-,7,13,-,17,8,-,-,6,X
Bukgajwa 2(i)-dong,2013.0,Seodaemun-gu,232,33,87,97.0,136,123.0,38,75,48,49,24,40,48,20,40,22,33,6,19,20
Chunghyeon-dong,2013.0,Seodaemun-gu,527,11,110,54.0,59,58.0,164,34,75,99,53,22,23,14,13,8,11,X,4,13
Bugahyeon-dong,2013.0,Seodaemun-gu,94,13,15,33.0,44,49.0,14,13,18,9,7,9,12,3,8,X,-,9,8,6
Sinchon-dong,2013.0,Seodaemun-gu,1507,454,822,137.0,18,175.0,1072,656,270,306,150,272,32,103,77,3,83,15,8,30
Yeonhui-dong,2013.0,Seodaemun-gu,359,73,80,97.0,130,113.0,167,74,103,111,106,97,46,11,36,56,26,16,18,14
Yonggang-dong,2013.0,Mapo-gu,798,82,116,115.0,14,84.0,99,42,47,51,43,27,32,30,23,33,9,3,5,14
Daeheung-dong,2013.0,Mapo-gu,398,26,95,106.0,57,60.0,116,45,73,98,44,46,21,26,35,8,33,7,7,10
Yeomni-dong,2013.0,Mapo-gu,118,23,26,36.0,46,49.0,40,34,25,12,14,6,23,11,17,14,-,17,15,X
Sinsu-dong,2013.0,Mapo-gu,178,12,31,50.0,57,72.0,24,30,33,30,21,18,18,4,25,24,X,5,17,3
Seogyo-dong,2013.0,Mapo-gu,2492,1054,1801,300.0,58,218.0,1729,741,282,317,243,317,23,196,202,20,88,11,14,57
Hapjeong-dong,2013.0,Mapo-gu,356,60,103,88.0,91,76.0,248,65,36,95,30,17,24,14,29,56,14,5,8,7
Mangwon 1(il)-dong,2013.0,Mapo-gu,246,68,61,66.0,111,28.0,27,59,62,40,25,25,42,20,34,14,20,38,21,13
Mangwon 2(i)-dong,2013.0,Mapo-gu,206,48,48,56.0,95,50.0,26,48,19,49,18,25,26,20,26,9,7,26,26,6
Yeonnam-dong,2013.0,Mapo-gu,241,34,80,103.0,51,58.0,82,37,20,58,62,17,33,11,7,19,X,X,8,5
Seongsan 1(il)-dong,2013.0,Mapo-gu,214,49,34,76.0,75,56.0,54,28,27,40,23,29,43,15,9,29,6,-,6,X
Seongsan 2(i)-dong,2013.0,Mapo-gu,211,176,40,74.0,123,144.0,55,63,61,57,27,52,46,6,31,17,16,66,15,7
Sangam-dong,2013.0,Mapo-gu,722,18,68,68.0,113,104.0,224,41,92,119,87,83,29,11,67,11,6,6,12,13
Dohwa-dong,2013.0,Mapo-gu,504,41,142,110.0,46,94.0,102,75,65,52,61,36,37,33,42,7,11,23,12,8
Seogang-dong,2013.0,Mapo-gu,305,44,97,77.0,45,75.0,202,53,62,74,35,58,27,4,21,31,29,4,4,X
gongdeok-dong,2013.0,Mapo-gu,596,33,141,164.0,96,107.0,89,89,78,71,41,30,40,20,38,12,21,32,30,16
Ahyeon-dong,2013.0,Mapo-gu,319,59,71,132.0,48,84.0,76,76,43,43,39,35,19,4,10,22,10,27,21,-
Mok 1(il)-dong,2013.0,Yangcheon-gu,1011,378,188,115.0,42,66.0,362,218,161,127,211,159,36,41,53,22,32,4,7,19
Mok 2(i)-dong,2013.0,Yangcheon-gu,184,41,57,90.0,88,81.0,38,70,39,31,18,18,29,26,32,14,25,9,12,14
Mok 3(sam)-dong,2013.0,Yangcheon-gu,196,83,97,71.0,83,62.0,34,94,41,24,16,32,31,33,22,12,24,32,24,12
Mok 4(sa)-dong,2013.0,Yangcheon-gu,221,45,72,67.0,74,92.0,37,80,50,36,21,32,36,18,33,12,22,22,32,4
Sinwol 1(il)-dong,2013.0,Yangcheon-gu,287,60,107,65.0,148,75.0,8,70,33,46,17,14,21,29,27,35,29,53,48,11
Sinwol 2(i)-dong,2013.0,Yangcheon-gu,147,16,34,44.0,141,78.0,7,35,15,18,14,14,29,11,12,24,18,11,20,6
Sinwol 3(sam)-dong,2013.0,Yangcheon-gu,124,26,24,16.0,158,65.0,8,34,26,34,10,10,15,7,14,42,3,15,19,5
Sinwol 4(sa)-dong,2013.0,Yangcheon-gu,187,16,57,36.0,146,32.0,21,53,28,26,25,14,18,16,34,17,11,8,11,11
Sinwol 5(o)-dong,2013.0,Yangcheon-gu,184,43,50,34.0,96,41.0,14,39,17,30,12,8,19,21,14,29,14,6,6,7
Sinwol 6(yuk)-dong,2013.0,Yangcheon-gu,138,34,27,33.0,83,48.0,6,22,25,16,14,5,32,11,3,X,3,21,16,6
Sinwol 7(chil)-dong,2013.0,Yangcheon-gu,174,30,29,42.0,192,90.0,17,54,30,34,15,31,27,21,37,21,31,6,11,14
Sinjeong 1(il)-dong,2013.0,Yangcheon-gu,250,39,91,58.0,20,37.0,46,45,30,23,16,21,19,27,31,32,3,11,18,8
Sinjeong 2(i)-dong,2013.0,Yangcheon-gu,245,43,37,65.0,67,72.0,48,61,43,27,24,38,18,15,28,30,11,41,21,10
Sinjeong 3(sam)-dong,2013.0,Yangcheon-gu,202,51,76,75.0,221,129.0,33,78,64,52,26,34,43,22,42,12,31,37,31,10
Sinjeong 6(yuk)-dong,2013.0,Yangcheon-gu,96,18,X,65.0,15,54.0,16,43,35,38,4,34,25,-,17,X,4,16,9,-
Sinjeong 7(chil)-dong,2013.0,Yangcheon-gu,150,29,24,52.0,79,68.0,30,50,46,38,25,41,21,8,24,12,36,19,8,10
Mok 5(o)-dong,2013.0,Yangcheon-gu,266,50,42,204.0,14,137.0,101,92,92,59,33,72,56,5,28,X,18,24,11,5
Sinjeong 4(sa)-dong,2013.0,Yangcheon-gu,578,233,198,120.0,160,137.0,133,156,64,103,43,35,43,71,45,61,44,20,23,19
Yeomchang-dong,2013.0,Gangseo-gu,408,31,77,91.0,144,85.0,103,77,64,76,22,44,44,25,33,64,22,4,17,9
Deungchon 1(il)-dong,2013.0,Gangseo-gu,423,118,93,88.0,80,37.0,76,65,56,82,18,48,39,28,41,143,22,4,13,14
Deungchon 2(i)-dong,2013.0,Gangseo-gu,83,9,36,39.0,54,31.0,25,27,18,29,12,20,21,6,25,6,15,X,6,9
Deungchon 3(sam)-dong,2013.0,Gangseo-gu,572,154,86,94.0,128,112.0,165,97,61,68,74,54,29,26,38,66,39,6,18,16
Hwagokbon-dong,2013.0,Gangseo-gu,284,58,96,86.0,128,140.0,25,65,63,55,19,19,40,19,31,15,19,22,21,9
Hwagok 2(i)-dong,2013.0,Gangseo-gu,50,25,17,30.0,85,47.0,6,34,18,14,8,9,17,8,3,16,9,4,8,6
Hwagok 3(sam)-dong,2013.0,Gangseo-gu,276,41,71,99.0,74,50.0,55,66,38,42,X,34,27,24,26,7,24,15,14,19
Hwagok 4(sa)-dong,2013.0,Gangseo-gu,257,79,99,53.0,118,69.0,33,69,45,44,20,12,49,42,24,15,14,40,44,7
Hwagok 6(yuk)-dong,2013.0,Gangseo-gu,642,41,347,76.0,81,73.0,134,105,45,70,58,12,29,57,22,28,33,6,11,19
Hwagok 8(pal)-dong,2013.0,Gangseo-gu,169,57,58,78.0,99,58.0,29,69,52,28,17,26,26,20,23,4,24,23,31,5
Gayang 1(il)-dong,2013.0,Gangseo-gu,322,23,41,58.0,69,49.0,51,37,19,51,33,9,29,22,20,122,7,4,5,3
Gayang 2(i)-dong,2013.0,Gangseo-gu,60,70,14,34.0,66,32.0,24,32,16,23,6,17,13,6,23,X,19,6,7,5
Gayang 3(sam)-dong,2013.0,Gangseo-gu,73,61,11,27.0,77,30.0,19,36,11,5,13,8,16,-,7,8,-,X,4,-
Balsan 1(il)-dong,2013.0,Gangseo-gu,236,68,38,91.0,146,129.0,68,104,87,32,30,67,28,13,41,66,21,50,44,8
Gonghang-dong,2013.0,Gangseo-gu,526,68,162,52.0,94,66.0,84,66,67,105,33,57,28,44,14,37,22,8,10,15
Banghwa 1(il)-dong,2013.0,Gangseo-gu,374,77,84,87.0,186,87.0,42,92,47,52,31,43,34,37,37,45,20,58,44,18
Banghwa 2(i)-dong,2013.0,Gangseo-gu,424,846,82,58.0,133,109.0,140,55,53,75,77,151,20,39,20,56,21,4,15,12
Banghwa 3(sam)-dong,2013.0,Gangseo-gu,82,18,25,44.0,107,28.0,17,39,28,21,8,30,26,3,20,X,3,X,7,4
Hwagok 1(il)-dong,2013.0,Gangseo-gu,645,114,261,183.0,222,160.0,78,127,57,154,56,52,61,114,39,56,62,9,25,27
Ujangsan-dong,2013.0,Gangseo-gu,313,59,57,122.0,105,88.0,45,79,33,45,21,31,31,22,25,29,23,5,12,3
Sindorim-dong,2013.0,Guro-gu,670,448,64,98.0,88,83.0,189,95,77,87,60,91,36,22,62,19,15,8,12,16
Guro 1(il)-dong,2013.0,Guro-gu,54,20,34,46.0,64,51.0,22,44,22,36,15,26,23,X,29,15,23,-,16,X
Guro 3(sam)-dong,2013.0,Guro-gu,1326,74,327,180.0,54,79.0,345,71,185,216,131,44,32,67,63,9,33,-,6,32
Guro 4(sa)-dong,2013.0,Guro-gu,324,156,158,108.0,98,139.0,38,87,66,36,81,19,32,52,34,9,44,81,37,11
Guro 5(o)-dong,2013.0,Guro-gu,674,591,133,128.0,133,84.0,184,94,107,103,72,105,60,56,42,17,22,6,22,18
Gocheok 1(il)-dong,2013.0,Guro-gu,392,194,122,35.0,126,102.0,51,56,53,21,28,31,28,30,13,10,15,15,24,21
Gocheok 2(i)-dong,2013.0,Guro-gu,207,58,53,52.0,X,74.0,38,69,32,31,10,15,34,20,21,44,18,26,31,3
Gaebong 2(i)-dong,2013.0,Guro-gu,158,25,44,47.0,135,62.0,27,100,31,17,10,8,35,15,18,11,12,16,24,X
Gaebong 3(sam)-dong,2013.0,Guro-gu,139,30,49,52.0,114,61.0,11,52,16,15,14,15,17,13,12,21,21,X,23,7
Oryu 1(il)-dong,2013.0,Guro-gu,185,48,79,55.0,64,74.0,30,67,46,62,10,41,16,26,20,10,22,21,22,10
Oryu 2(i)-dong,2013.0,Guro-gu,179,20,28,65.0,192,92.0,13,53,39,46,27,37,34,11,29,11,12,16,10,4
Sugung-dong,2013.0,Guro-gu,144,8,29,48.0,126,61.0,15,34,30,56,23,33,23,13,17,19,24,10,18,10
Garibong-dong,2013.0,Guro-gu,149,25,123,22.0,42,104.0,36,32,22,21,124,X,21,68,7,47,21,19,15,4
Guro 2(i)-dong,2013.0,Guro-gu,642,74,130,114.0,149,154.0,74,92,76,34,109,48,33,45,41,61,18,21,19,19
Gaebong 1(il)-dong,2013.0,Guro-gu,270,62,71,46.0,197,156.0,31,77,47,39,28,29,45,25,36,27,24,4,36,13
Gasan-dong,2013.0,Geumcheon-gu,1764,2455,239,299.0,324,164.0,532,105,306,272,235,92,32,63,87,53,33,10,21,52
Doksan 1(il)-dong,2013.0,Geumcheon-gu,544,111,96,65.0,154,88.0,80,68,60,64,52,35,54,39,31,186,25,9,226,21
Doksan 2(i)-dong,2013.0,Geumcheon-gu,225,26,54,47.0,105,70.0,11,52,30,20,14,15,24,17,22,19,23,15,24,8
Doksan 3(sam)-dong,2013.0,Geumcheon-gu,295,60,104,74.0,138,128.0,36,87,53,46,70,25,34,33,26,20,39,31,31,8
Doksan 4(sa)-dong,2013.0,Geumcheon-gu,174,12,88,31.0,76,55.0,18,50,26,36,16,12,19,34,23,20,19,8,10,11
Siheung 1(il)-dong,2013.0,Geumcheon-gu,859,252,229,88.0,156,105.0,96,138,87,49,83,59,47,82,62,47,35,77,56,28
Siheung 2(i)-dong,2013.0,Geumcheon-gu,22,8,8,30.0,108,37.0,17,29,24,8,3,13,18,X,14,7,X,X,8,-
Siheung 3(sam)-dong,2013.0,Geumcheon-gu,170,6,28,35.0,146,31.0,8,19,19,29,10,11,7,7,7,33,11,7,16,5
Siheung 4(sa)-dong,2013.0,Geumcheon-gu,56,17,34,32.0,125,69.0,13,42,24,18,17,5,16,11,14,6,8,8,15,6
Siheung 5(o)-dong,2013.0,Geumcheon-gu,167,40,49,46.0,126,128.0,18,57,59,15,17,31,23,24,28,9,30,29,25,12
Yeouido-dong,2013.0,Yeongdeungpo-gu,3252,505,568,293.0,39,293.0,1085,155,333,299,396,189,39,23,80,27,20,25,14,41
Dangsan 1(il)-dong,2013.0,Yeongdeungpo-gu,583,22,245,100.0,93,57.0,116,54,51,69,39,18,21,61,29,43,29,3,15,17
Dangsan2(i)-dong,2013.0,Yeongdeungpo-gu,505,126,150,123.0,62,52.0,137,89,84,110,47,39,45,21,27,9,17,6,17,15
Yangpyeong 1(il)-dong,2013.0,Yeongdeungpo-gu,311,17,46,74.0,1127,62.0,37,24,32,44,42,14,29,5,14,55,6,7,10,4
Yangpyeong 2(i)-dong,2013.0,Yeongdeungpo-gu,374,17,97,83.0,112,60.0,117,34,51,101,36,27,30,23,16,102,9,6,21,13
Singil 1(il)-dong,2013.0,Yeongdeungpo-gu,227,62,83,51.0,70,112.0,18,60,40,24,39,37,41,38,15,9,30,16,19,10
Singil 3(sam)-dong,2013.0,Yeongdeungpo-gu,138,73,61,33.0,88,103.0,10,44,22,17,27,22,20,13,10,15,15,11,18,14
Singil 4(sa)-dong,2013.0,Yeongdeungpo-gu,64,6,49,25.0,50,57.0,-,30,16,7,15,X,15,9,10,6,X,3,6,3
Singil 5(o)-dong,2013.0,Yeongdeungpo-gu,83,9,36,16.0,73,33.0,20,22,11,18,33,4,11,11,5,14,11,3,4,4
Singil 6(yuk)-dong,2013.0,Yeongdeungpo-gu,227,22,64,71.0,79,71.0,36,54,27,19,26,18,29,24,16,34,16,18,11,5
Singil 7(chil)-dong,2013.0,Yeongdeungpo-gu,112,11,29,22.0,36,26.0,18,16,12,14,11,10,11,8,11,14,12,3,8,6
Daerim 1(il)-dong,2013.0,Yeongdeungpo-gu,171,39,83,43.0,49,86.0,12,52,37,29,25,19,17,25,16,13,14,36,26,5
Daerim 2(i)-dong,2013.0,Yeongdeungpo-gu,226,65,99,67.0,53,85.0,31,57,26,29,313,11,16,51,10,5,31,26,28,11
Daerim 3(sam)-dong,2013.0,Yeongdeungpo-gu,365,17,145,87.0,161,143.0,39,67,46,53,107,34,31,72,20,53,41,9,29,21
Yeongdeungpobon-dong,2013.0,Yeongdeungpo-gu,267,256,48,56.0,89,101.0,97,59,56,61,49,67,24,30,25,12,22,25,23,7
Yeongdeungpo-dong,2013.0,Yeongdeungpo-gu,1581,809,329,154.0,92,180.0,460,182,132,156,181,147,30,86,43,60,53,75,47,36
Dorim-dong,2013.0,Yeongdeungpo-gu,146,11,72,56.0,97,92.0,9,43,22,27,30,16,30,31,11,48,30,6,6,6
Mullae-dong,2013.0,Yeongdeungpo-gu,733,94,75,118.0,83,99.0,154,83,115,92,65,38,28,16,42,41,19,14,20,18
Noryangjin 2(i)-dong,2013.0,Dongjak-gu,182,41,92,53.0,47,89.0,51,42,56,69,42,16,24,22,13,-,29,9,17,8
Sangdo 1(il)-dong,2013.0,Dongjak-gu,334,52,107,106.0,95,122.0,128,94,61,88,50,51,46,27,34,54,35,26,30,21
Sangdo 2(i)-dong,2013.0,Dongjak-gu,255,83,47,96.0,63,79.0,19,83,40,40,16,42,27,19,19,19,28,16,15,9
Sangdo 3(sam)-dong,2013.0,Dongjak-gu,156,76,42,56.0,76,106.0,15,75,34,26,18,20,32,22,20,X,22,25,36,6
Sangdo 4(sa)-dong,2013.0,Dongjak-gu,135,32,34,64.0,110,74.0,12,54,28,30,11,14,19,11,18,8,33,18,20,X
Sadang 1(il)-dong,2013.0,Dongjak-gu,422,76,158,142.0,89,131.0,109,85,40,90,28,30,32,49,25,12,26,16,14,16
Sadang 3(sam)-dong,2013.0,Dongjak-gu,155,22,38,63.0,84,47.0,34,36,16,24,15,23,25,8,22,16,-,19,14,X
Sadang 4(sa)-dong,2013.0,Dongjak-gu,78,34,29,29.0,54,48.0,16,44,28,17,5,18,24,15,22,-,17,28,19,5
Sadang 5(o)-dong,2013.0,Dongjak-gu,82,8,16,25.0,54,33.0,15,31,11,10,6,3,11,3,14,13,3,8,11,3
Daebang-dong,2013.0,Dongjak-gu,283,47,99,95.0,82,129.0,91,73,39,99,51,43,49,19,40,52,18,14,9,10
Sindaebang 1(il)-dong,2013.0,Dongjak-gu,193,44,38,54.0,58,76.0,27,50,30,39,37,12,32,16,18,10,17,14,19,3
Sindaebang 2(i)-dong,2013.0,Dongjak-gu,365,31,60,65.0,48,35.0,105,52,58,78,69,56,31,18,24,23,18,3,4,17
Heukseok-dong,2013.0,Dongjak-gu,455,58,206,113.0,79,158.0,162,123,74,67,61,55,43,16,42,15,44,35,18,24
Noryangjin 1(il)-dong,2013.0,Dongjak-gu,637,62,162,97.0,67,171.0,229,92,149,85,60,51,41,24,64,11,119,13,22,28
Sadang 2(i)-dong,2013.0,Dongjak-gu,443,70,290,89.0,61,84.0,118,141,74,61,42,69,38,38,21,5,35,81,47,14
Boramae-dong,2013.0,Gwanak-gu,288,219,87,50.0,75,77.0,49,69,33,42,23,39,27,18,20,4,10,30,23,4
Cheongnim-dong,2013.0,Gwanak-gu,30,8,22,27.0,34,26.0,7,27,12,-,18,15,13,7,6,X,12,9,9,X
Haengun-dong,2013.0,Gwanak-gu,258,98,92,117.0,63,78.0,75,125,44,100,25,30,37,20,52,11,29,25,30,8
Nagseongdae-dong,2013.0,Gwanak-gu,525,25,224,84.0,38,98.0,107,90,102,63,56,33,23,33,22,20,17,8,18,18
Jungang-dong,2013.0,Gwanak-gu,254,40,55,56.0,42,74.0,30,51,29,44,12,12,18,5,23,18,6,-,8,5
Inheon-dong,2013.0,Gwanak-gu,177,63,63,71.0,70,76.0,34,66,53,49,22,19,36,24,41,5,22,31,25,8
Namhyeon-dong,2013.0,Gwanak-gu,343,37,199,49.0,44,39.0,78,39,33,72,27,62,20,37,49,14,19,11,9,4
Sewon-dong,2013.0,Gwanak-gu,563,199,474,78.0,54,67.0,222,136,89,62,45,66,20,65,38,10,52,3,10,21
Sinwon-dong,2013.0,Gwanak-gu,135,29,45,38.0,37,52.0,9,48,56,25,17,9,18,11,20,3,21,46,32,3
Serim-dong,2013.0,Gwanak-gu,166,21,37,45.0,60,80.0,42,33,29,42,22,9,34,11,40,14,37,5,15,6
Sinsa-dong,2013.0,Gwanak-gu,244,40,78,82.0,93,84.0,30,84,58,70,45,17,40,43,21,27,40,17,34,13
Sillim-dong,2013.0,Gwanak-gu,665,128,273,159.0,32,74.0,109,111,93,127,37,24,30,75,18,4,84,14,15,18
Nanhyang-dong,2013.0,Gwanak-gu,33,4,9,20.0,54,45.0,X,24,17,17,6,11,13,X,11,-,5,3,7,X
Jowon-dong,2013.0,Gwanak-gu,485,58,171,69.0,376,84.0,64,89,43,44,69,16,27,71,53,46,62,20,23,20
Daehak-dong,2013.0,Gwanak-gu,482,15,173,57.0,46,108.0,203,76,143,131,62,56,35,44,87,-,161,15,14,26
Euncheon-dong,2013.0,Gwanak-gu,305,69,76,83.0,112,115.0,47,85,48,66,28,33,31,22,30,63,18,15,37,7
Seonghyeon-dong,2013.0,Gwanak-gu,51,11,30,52.0,76,36.0,5,46,19,23,23,12,24,5,21,11,15,13,11,3
Cheongnyong-dong,2013.0,Gwanak-gu,467,202,144,149.0,64,119.0,127,117,79,124,21,51,44,29,48,5,49,29,35,17
Nangok-dong,2013.0,Gwanak-gu,74,23,30,27.0,115,71.0,11,47,35,18,12,21,20,6,17,17,16,12,17,7
Samseong-dong,2013.0,Gwanak-gu,107,54,38,45.0,137,94.0,5,46,18,15,15,X,30,7,11,10,3,37,30,X
Miseong-dong,2013.0,Gwanak-gu,200,91,49,47.0,165,59.0,30,61,27,44,19,19,30,17,29,31,5,15,29,7
Seocho 1(il)-dong,2013.0,Seocho-gu,783,40,97,152.0,19,118.0,210,81,77,100,61,57,43,19,36,124,20,14,5,13
Seocho 2(i)-dong,2013.0,Seocho-gu,1246,89,123,322.0,12,116.0,348,144,119,124,160,133,34,17,45,4,13,X,X,18
Seocho 3(sam)-dong,2013.0,Seocho-gu,2141,74,335,519.0,159,122.0,450,114,181,171,162,123,55,93,70,45,23,X,17,37
Seocho 4(sa)-dong,2013.0,Seocho-gu,1180,206,497,297.0,3,110.0,422,213,140,141,188,221,30,43,85,-,13,6,12,13
Jamwon-dong,2013.0,Seocho-gu,688,75,163,197.0,15,101.0,135,86,58,86,116,43,51,69,49,20,12,5,9,9
Banpobon-dong,2013.0,Seocho-gu,72,96,30,37.0,X,47.0,57,38,33,12,34,48,11,3,17,8,X,20,9,X
Banpo 1(il)-dong,2013.0,Seocho-gu,370,104,98,184.0,15,104.0,121,117,69,75,19,40,43,21,28,14,35,4,3,7
Banpo 2(i)-dong,2013.0,Seocho-gu,43,17,5,46.0,7,48.0,15,49,31,25,10,31,15,-,5,X,-,11,9,-
Banpo 3(sam)-dong,2013.0,Seocho-gu,136,112,11,91.0,7,24.0,35,72,20,9,33,35,9,6,34,21,8,-,6,X
Banpo 4(sa)-dong,2013.0,Seocho-gu,1044,1085,154,82.0,7,99.0,392,161,215,209,104,264,22,19,19,15,27,26,7,7
Bangbaebon-dong,2013.0,Seocho-gu,342,52,89,68.0,79,66.0,132,69,49,41,64,60,28,28,22,25,27,13,13,8
Bangbae 1(il)-dong,2013.0,Seocho-gu,354,56,53,112.0,20,61.0,131,97,54,46,40,37,25,32,39,22,41,8,17,9
Bangbae 2(i)-dong,2013.0,Seocho-gu,633,34,154,148.0,65,36.0,110,38,30,61,50,51,28,28,17,26,15,4,14,12
Bangbae 3(sam)-dong,2013.0,Seocho-gu,137,15,13,65.0,36,48.0,32,27,31,67,32,41,30,-,7,80,-,3,7,3
Bangbae 4(sa)-dong,2013.0,Seocho-gu,321,38,42,150.0,46,60.0,55,83,59,61,84,19,35,10,23,52,4,17,11,6
Yangjae 1(il)-dong,2013.0,Seocho-gu,760,81,160,166.0,81,60.0,194,108,89,112,121,90,50,37,47,92,22,3,28,19
Yangjae 2(i)-dong,2013.0,Seocho-gu,1056,363,118,282.0,121,83.0,197,57,94,82,87,51,31,77,62,164,29,X,33,35
Naegok-dong,2013.0,Seocho-gu,185,-,X,11.0,27,23.0,8,X,X,3,-,-,X,-,-,-,-,-,-,-
Sinsa-dong,2013.0,Gangnam-gu,1110,1220,219,233.0,21,68.0,651,290,186,134,116,197,34,47,81,19,24,13,12,11
Nonhyeon 1(il)-dong,2013.0,Gangnam-gu,1577,458,362,554.0,53,145.0,417,401,170,198,122,56,74,70,86,30,47,26,44,24
Nonhyeon 2(i)-dong,2013.0,Gangnam-gu,1921,530,304,391.0,19,147.0,445,207,176,194,140,101,60,38,45,39,44,5,9,29
Samseong 1(il)-dong,2013.0,Gangnam-gu,1420,259,194,375.0,45,96.0,430,139,138,84,199,102,30,35,31,39,8,X,4,24
Samseong 2(i)-dong,2013.0,Gangnam-gu,801,94,67,380.0,174,138.0,210,143,133,173,116,96,58,17,56,55,16,27,25,15
Daechi 1(il)-dong,2013.0,Gangnam-gu,254,41,11,94.0,5,30.0,91,172,52,28,13,83,20,8,32,3,36,15,9,X
Daechi 4(sa)-dong,2013.0,Gangnam-gu,1104,172,209,694.0,27,68.0,329,222,165,191,165,121,38,50,65,30,69,31,X,22
Yeoksam 1(il)-dong,2013.0,Gangnam-gu,4427,856,760,2011.0,22,196.0,1436,651,472,480,395,283,99,159,167,81,94,X,15,74
Yeoksam 2(i)-dong,2013.0,Gangnam-gu,819,93,61,323.0,25,106.0,250,80,112,154,151,46,70,17,34,25,21,15,29,14
Dogok 1(il)-dong,2013.0,Gangnam-gu,419,73,58,126.0,45,48.0,104,94,66,106,17,17,21,7,17,33,3,4,13,9
Dogok 2(i)-dong,2013.0,Gangnam-gu,494,51,90,157.0,11,170.0,190,72,55,76,107,170,31,21,17,37,8,-,8,11
