Dong,사업_사업체및종사자밀도_Period,사업_사업체및종사자밀도_Gu,사업_사업체및종사자밀도_No. of establishments,사업_사업체및종사자밀도_No. of employee,사업_사업체및종사자밀도_Average worker,사업_사업체및종사자밀도_Establishments density,사업_사업체및종사자밀도_종사자밀도,사업_사업체및종사자밀도_Population density,사업_사업체및종사자밀도_종사자밀도비
Ssangmun 3(sam)-dong,2013.0,Dobong-gu,897.0,3182.0,3.55,1794.0,6364.0,36714.0,17.33
Ssangmun 4(sa)-dong,2013.0,Dobong-gu,594.0,1933.0,3.25,1142.0,3717.0,41131.0,9.04
Banghak 1(il)-dong,2013.0,Dobong-gu,2278.0,9931.0,4.36,3301.0,14393.0,46565.0,30.91
Banghak 2(i)-dong,2013.0,Dobong-gu,1289.0,2837.0,2.2,1742.0,3834.0,31923.0,12.01
Banghak 3(sam)-dong,2013.0,Dobong-gu,888.0,3161.0,3.56,336.0,1197.0,12020.0,9.96
Chang 1(il)-dong,2013.0,Dobong-gu,1078.0,3390.0,3.14,1225.0,3852.0,32566.0,11.83
Chang 2(i)-dong,2013.0,Dobong-gu,1331.0,4447.0,3.34,1244.0,4156.0,29326.0,14.17
Chang 3(sam)-dong,2013.0,Dobong-gu,964.0,1939.0,2.01,1439.0,2894.0,23806.0,12.16
Chang 4(sa)-dong,2013.0,Dobong-gu,1140.0,6738.0,5.91,1188.0,7019.0,31946.0,21.97
Chang 5(o)-dong,2013.0,Dobong-gu,2062.0,6654.0,3.23,2946.0,9506.0,39649.0,23.97
Dobong 1(il)-dong,2013.0,Dobong-gu,1660.0,5496.0,3.31,190.0,630.0,2764.0,22.8
Dobong 2(i)-dong,2013.0,Dobong-gu,1394.0,6126.0,4.39,1680.0,7381.0,37102.0,19.89
Wolgye 1(il)-dong,2013.0,Nowon-gu,1379.0,5506.0,3.99,1189.0,4747.0,19876.0,23.88
Wolgye 2(i)-dong,2013.0,Nowon-gu,1047.0,3592.0,3.43,540.0,1852.0,15561.0,11.9
Wolgye 3(sam)-dong,2013.0,Nowon-gu,950.0,3746.0,3.94,812.0,3202.0,30385.0,10.54
Gongneung 2(i)-dong,2013.0,Nowon-gu,1813.0,10912.0,6.02,266.0,1600.0,6853.0,23.35
Hagye 1(il)-dong,2013.0,Nowon-gu,914.0,6791.0,7.43,590.0,4381.0,19708.0,22.23
Hagye 2(i)-dong,2013.0,Nowon-gu,380.0,1064.0,2.8,745.0,2086.0,50057.0,4.17
Junggyebon-dong,2013.0,Nowon-gu,1158.0,5241.0,4.53,588.0,2660.0,15055.0,17.67
Junggye 1(il)-dong,2013.0,Nowon-gu,910.0,4012.0,4.41,1444.0,6368.0,48525.0,13.12
Junggye 4(sa)-dong,2013.0,Nowon-gu,1002.0,3711.0,3.7,589.0,2183.0,13138.0,16.62
Sanggye 1(il)-dong,2013.0,Nowon-gu,2827.0,7954.0,2.81,503.0,1415.0,7834.0,18.07
Sanggye 2(i)-dong,2013.0,Nowon-gu,2176.0,8370.0,3.85,3567.0,13721.0,37007.0,37.08
Sanggye 5(o)-dong,2013.0,Nowon-gu,1349.0,3319.0,2.46,3066.0,7543.0,54736.0,13.78
Sanggye 8(pal)-dong,2013.0,Nowon-gu,600.0,1885.0,3.14,896.0,2813.0,39770.0,7.07
Sanggye 9(gu)-dong,2013.0,Nowon-gu,730.0,2360.0,3.23,901.0,2914.0,30311.0,9.61
Sanggye 10(sip)-dong,2013.0,Nowon-gu,484.0,2139.0,4.42,605.0,2674.0,25431.0,10.51
Sanggye 3.4(sam.sa)-dong,2013.0,Nowon-gu,1699.0,4773.0,2.81,302.0,849.0,6834.0,12.43
Sanggye 6.7(yuk.chil)-dong,2013.0,Nowon-gu,1939.0,14042.0,7.24,1747.0,12650.0,33114.0,38.2
Junggye 2.3(i.sam)-dong,2013.0,Nowon-gu,1233.0,4835.0,3.92,1370.0,5372.0,46641.0,11.52
Gongneung 1(il)-dong,2013.0,Nowon-gu,2583.0,10273.0,3.98,1832.0,7286.0,28712.0,25.38
Nokbeon-dong,2013.0,Eunpyeong-gu,1564.0,8097.0,5.18,874.0,4523.0,18431.0,24.54
Bulgwang 1(il)-dong,2013.0,Eunpyeong-gu,1672.0,6914.0,4.14,534.0,2209.0,13808.0,16.0
Galhyeon 1(il)-dong,2013.0,Eunpyeong-gu,1461.0,5136.0,3.52,1506.0,5295.0,27129.0,19.52
Galhyeon 2(i)-dong,2013.0,Eunpyeong-gu,1561.0,5495.0,3.52,1626.0,5724.0,30574.0,18.72
Gusan-dong,2013.0,Eunpyeong-gu,1181.0,5389.0,4.56,856.0,3905.0,24496.0,15.94
Daejo-dong,2013.0,Eunpyeong-gu,2566.0,7174.0,2.8,3019.0,8440.0,38175.0,22.11
Eungam 1(il)-dong,2013.0,Eunpyeong-gu,1615.0,7074.0,4.38,1346.0,5895.0,27288.0,21.6
Eungam 2(i)-dong,2013.0,Eunpyeong-gu,944.0,2214.0,2.35,1210.0,2838.0,34319.0,8.27
Sinsa 1(il)-dong,2013.0,Eunpyeong-gu,1559.0,3927.0,2.52,1856.0,4675.0,33919.0,13.78
Sinsa 2(i)-dong,2013.0,Eunpyeong-gu,1216.0,2933.0,2.41,1216.0,2933.0,22678.0,12.93
Jeungsan-dong,2013.0,Eunpyeong-gu,1108.0,3825.0,3.45,1368.0,4722.0,25698.0,18.38
Susaek-dong,2013.0,Eunpyeong-gu,848.0,3003.0,3.54,657.0,2328.0,14943.0,15.58
Jingwan-dong,2013.0,Eunpyeong-gu,1007.0,5234.0,5.2,87.0,454.0,4485.0,10.13
Bulgwang 2(i)-dong,2013.0,Eunpyeong-gu,1295.0,4088.0,3.16,938.0,2962.0,21701.0,13.65
Eungam 3(sam)-dong,2013.0,Eunpyeong-gu,1909.0,5272.0,2.76,3030.0,8368.0,44119.0,18.97
Yeokchon-dong,2013.0,Eunpyeong-gu,2447.0,7428.0,3.04,2109.0,6403.0,42928.0,14.92
Cheonyeon-dong,2013.0,Seodaemun-gu,809.0,2475.0,3.06,834.0,2552.0,21044.0,12.12
Hongje 1(il)-dong,2013.0,Seodaemun-gu,1132.0,4016.0,3.55,920.0,3265.0,21944.0,14.88
Hongje 3(sam)-dong,2013.0,Seodaemun-gu,1271.0,3848.0,3.03,1569.0,4751.0,24758.0,19.19
Hongje 2(i)-dong,2013.0,Seodaemun-gu,592.0,1666.0,2.81,564.0,1587.0,14995.0,10.58
Hongeun 1(il)-dong,2013.0,Seodaemun-gu,1029.0,2398.0,2.33,651.0,1518.0,16605.0,9.14
Hongeun 2(i)-dong,2013.0,Seodaemun-gu,1148.0,5636.0,4.91,557.0,2736.0,14723.0,18.58
Namgajwa 1(il)-dong,2013.0,Seodaemun-gu,640.0,1253.0,1.96,1333.0,2610.0,8110.0,32.19
Namgajwa 2(i)-dong,2013.0,Seodaemun-gu,1554.0,4268.0,2.75,1967.0,5403.0,38625.0,13.99
Bukgajwa 1(il)-dong,2013.0,Seodaemun-gu,504.0,2025.0,4.02,951.0,3821.0,37494.0,10.19
Bukgajwa 2(i)-dong,2013.0,Seodaemun-gu,2261.0,6294.0,2.78,2692.0,7493.0,40755.0,18.39
Chunghyeon-dong,2013.0,Seodaemun-gu,1709.0,21801.0,12.76,1526.0,19465.0,18353.0,106.06
Bugahyeon-dong,2013.0,Seodaemun-gu,699.0,1862.0,2.66,1520.0,4048.0,23600.0,17.15
Sinchon-dong,2013.0,Seodaemun-gu,3725.0,30866.0,8.29,1416.0,11736.0,8226.0,142.67
Yeonhui-dong,2013.0,Seodaemun-gu,2138.0,10258.0,4.8,701.0,3363.0,14013.0,24.0
Yonggang-dong,2013.0,Mapo-gu,2390.0,15534.0,6.5,2845.0,18493.0,22924.0,80.67
Daeheung-dong,2013.0,Mapo-gu,1628.0,10395.0,6.39,1850.0,11813.0,17944.0,65.83
