Dong,사업_사업체현황조직형태별_Gu_Gu_Gu,사업_사업체현황조직형태별_합계_사업체수_사업체수,사업_사업체현황조직형태별_합계_사업체수_여성대표자,사업_사업체현황조직형태별_합계_종사자수_계,사업_사업체현황조직형태별_합계_종사자수_남,사업_사업체현황조직형태별_합계_종사자수_여,사업_사업체현황조직형태별_개인_사업체수_사업체수,사업_사업체현황조직형태별_개인_종사자수_종사자수,사업_사업체현황조직형태별_회사법인_사업체수_사업체수,사업_사업체현황조직형태별_회사법인_종사자수_종사자수,사업_사업체현황조직형태별_회사이외의 법인_사업체수_사업체수,사업_사업체현황조직형태별_회사이외의 법인_종사자수_종사자수,사업_사업체현황조직형태별_비법인단체_사업체수_사업체수,사업_사업체현황조직형태별_비법인단체_종사자수_종사자수
Jayang 1(il)-dong,Gwangjin-gu,1694.0,619.0,8364.0,5018.0,3346.0,1430.0,3294.0,187.0,3288.0,27.0,1582.0,50.0,200.0
Jayang 2(i)-dong,Gwangjin-gu,1517.0,469.0,7311.0,4263.0,3048.0,1256.0,2649.0,172.0,2310.0,34.0,2170.0,55.0,182.0
Jayang 3(sam)-dong,Gwangjin-gu,1317.0,508.0,6244.0,3137.0,3107.0,1068.0,2679.0,174.0,2496.0,20.0,748.0,55.0,321.0
Jayang 4(sa)-dong,Gwangjin-gu,2033.0,762.0,6948.0,4010.0,2938.0,1826.0,4143.0,134.0,1948.0,26.0,476.0,47.0,381.0
Hoegi-dong,Dongdaemun-gu,990.0,409.0,10029.0,4817.0,5212.0,873.0,2435.0,61.0,456.0,35.0,6920.0,21.0,218.0
Hwigyeong 1(il)-dong,Dongdaemun-gu,1041.0,367.0,3869.0,1927.0,1942.0,900.0,2252.0,79.0,1357.0,18.0,99.0,44.0,161.0
Hwigyeong 2(i)-dong,Dongdaemun-gu,1092.0,277.0,4462.0,2137.0,2325.0,985.0,1682.0,41.0,523.0,29.0,1930.0,37.0,327.0
Cheongnyangni-dong,Dongdaemun-gu,1687.0,629.0,8301.0,4555.0,3746.0,1472.0,3435.0,107.0,1235.0,51.0,3227.0,57.0,404.0
Yongsin-dong,Dongdaemun-gu,5504.0,1691.0,27882.0,16050.0,11832.0,4559.0,9979.0,760.0,13223.0,94.0,4328.0,91.0,352.0
Jegi-dong,Dongdaemun-gu,4697.0,1661.0,11249.0,6174.0,5075.0,4266.0,7464.0,314.0,2542.0,40.0,900.0,77.0,343.0
Jeonnong 1(il)-dong,Dongdaemun-gu,2244.0,849.0,7761.0,3798.0,3963.0,1982.0,4345.0,190.0,1901.0,25.0,1362.0,47.0,153.0
Jeonnong 2(i)-dong,Dongdaemun-gu,845.0,311.0,4362.0,1954.0,2408.0,737.0,1490.0,43.0,462.0,25.0,2243.0,40.0,167.0
Dapsimni 1(il)-dong,Dongdaemun-gu,2095.0,551.0,10111.0,6323.0,3788.0,1783.0,3912.0,227.0,5233.0,29.0,727.0,56.0,239.0
Dapsimni 2(i)-dong,Dongdaemun-gu,2003.0,516.0,5735.0,3479.0,2256.0,1733.0,3679.0,196.0,1450.0,18.0,139.0,56.0,467.0
Jangan 1(il)-dong,Dongdaemun-gu,4376.0,1271.0,20752.0,11494.0,9258.0,3531.0,9039.0,714.0,10364.0,51.0,955.0,80.0,394.0
Jangan 2(i)-dong,Dongdaemun-gu,3190.0,1130.0,10088.0,4930.0,5158.0,2833.0,6595.0,271.0,2743.0,30.0,548.0,56.0,202.0
