Dong,사업_사업체현황종사상지위별_Gu_Gu,사업_사업체현황종사상지위별_total_No. of establishments,사업_사업체현황종사상지위별_total_No. of workers,사업_사업체현황종사상지위별_total_Female employee,사업_사업체현황종사상지위별_Self-employee unpaid family workers_Sub total,사업_사업체현황종사상지위별_Self-employee unpaid family workers_Female employee,사업_사업체현황종사상지위별_Regular workers_Sub total,사업_사업체현황종사상지위별_Regular workers_Female employee,사업_사업체현황종사상지위별_Temporary and dayworkers_Sub total,사업_사업체현황종사상지위별_Temporary and dayworkers_Female employee,사업_사업체현황종사상지위별_Other workers_Sub total,사업_사업체현황종사상지위별_Other workers_Female employee
Munjeong 1(il)-dong,Songpa-gu,1434.0,6648.0,2388.0,1200.0,514.0,4374.0,1532.0,1006.0,330.0,68,12
Munjeong 2(i)-dong,Songpa-gu,2170.0,10862.0,4027.0,1608.0,663.0,7835.0,2539.0,1321.0,781.0,98,44
Jangji-dong,Songpa-gu,1449.0,9945.0,2846.0,1227.0,445.0,7625.0,1939.0,902.0,355.0,191,107
Jamsilbon-dong,Songpa-gu,3052.0,17039.0,6880.0,3067.0,1339.0,11180.0,4362.0,2413.0,935.0,379,244
Jamsil 4(sa)-dong,Songpa-gu,462.0,1727.0,1063.0,477.0,236.0,1093.0,701.0,107.0,76.0,50,50
Jamsil 6(yuk)-dong,Songpa-gu,1959.0,23128.0,8779.0,1516.0,572.0,16749.0,5933.0,3163.0,1034.0,1700,1240
Jamsil 7(chil)-dong,Songpa-gu,195.0,976.0,503.0,186.0,105.0,763.0,382.0,24.0,14.0,3,2
Jamsil 2(i)-dong,Songpa-gu,765.0,3661.0,2053.0,632.0,341.0,2560.0,1414.0,394.0,247.0,75,51
Jamsil 3(sam)-dong,Songpa-gu,1218.0,8056.0,4532.0,1069.0,603.0,4514.0,2347.0,2376.0,1516.0,97,66
Gangil-dong,Gangdong-gu,683.0,14694.0,3241.0,670.0,270.0,11314.0,2274.0,2427.0,530.0,283,167
Sangil-dong,Gangdong-gu,1238.0,5441.0,2759.0,1268.0,440.0,3056.0,1680.0,1045.0,607.0,72,32
Myeongil 1(il)-dong,Gangdong-gu,1665.0,5027.0,2727.0,1842.0,899.0,2293.0,1237.0,726.0,450.0,166,141
Myeongil 2(i)-dong,Gangdong-gu,1267.0,5137.0,2771.0,1330.0,696.0,2762.0,1363.0,766.0,497.0,279,215
Godeok 1(il)-dong,Gangdong-gu,550.0,1749.0,883.0,557.0,217.0,1030.0,555.0,80.0,49.0,82,62
Godeok 2(i)-dong,Gangdong-gu,1945.0,3801.0,1190.0,1986.0,321.0,1424.0,639.0,325.0,185.0,66,45
Amsa 2(i)-dong,Gangdong-gu,812.0,3671.0,2043.0,866.0,376.0,2222.0,1199.0,573.0,460.0,10,8
Amsa 3(sam)-dong,Gangdong-gu,603.0,1911.0,950.0,647.0,256.0,1093.0,584.0,141.0,86.0,30,24
Cheonho 1(il)-dong,Gangdong-gu,1558.0,5102.0,2629.0,1648.0,627.0,2223.0,1218.0,854.0,515.0,377,269
Cheonho 3(sam)-dong,Gangdong-gu,1877.0,6171.0,2900.0,1885.0,826.0,3016.0,1322.0,814.0,406.0,456,346
Seongnae 1(il)-dong,Gangdong-gu,2045.0,15379.0,6036.0,1719.0,669.0,9430.0,3662.0,3267.0,1137.0,963,568
Seongnae 2(i)-dong,Gangdong-gu,1928.0,7545.0,3974.0,2082.0,927.0,3100.0,1412.0,1191.0,627.0,1172,1008
Seongnae 3(sam)-dong,Gangdong-gu,2384.0,10273.0,4534.0,2446.0,1106.0,6043.0,2365.0,1153.0,690.0,631,373
Dunchon 1(il)-dong,Gangdong-gu,404.0,1318.0,576.0,415.0,203.0,767.0,281.0,136.0,92.0,-,-
Dunchon 2(i)-dong,Gangdong-gu,1610.0,9104.0,4261.0,1613.0,683.0,6659.0,3187.0,531.0,255.0,301,136
Amsa 1(il)-dong,Gangdong-gu,1947.0,5139.0,2387.0,2245.0,931.0,2221.0,1070.0,566.0,334.0,107,52
Cheonho 2(i)-dong,Gangdong-gu,3424.0,14008.0,7537.0,3612.0,1618.0,7085.0,3775.0,2355.0,1386.0,956,758
Gil-dong,Gangdong-gu,3816.0,18259.0,9026.0,4046.0,1682.0,9956.0,4760.0,2247.0,1076.0,2010,1508
