Dong,사업_사업체현황종사상지위별_Gu_Gu,사업_사업체현황종사상지위별_total_No. of establishments,사업_사업체현황종사상지위별_total_No. of workers,사업_사업체현황종사상지위별_total_Female employee,사업_사업체현황종사상지위별_Self-employee unpaid family workers_Sub total,사업_사업체현황종사상지위별_Self-employee unpaid family workers_Female employee,사업_사업체현황종사상지위별_Regular workers_Sub total,사업_사업체현황종사상지위별_Regular workers_Female employee,사업_사업체현황종사상지위별_Temporary and dayworkers_Sub total,사업_사업체현황종사상지위별_Temporary and dayworkers_Female employee,사업_사업체현황종사상지위별_Other workers_Sub total,사업_사업체현황종사상지위별_Other workers_Female employee
Galhyeon 1(il)-dong,Eunpyeong-gu,1461.0,5136.0,2971.0,1600.0,705.0,2069.0,1110.0,595.0,385.0,872,771
Galhyeon 2(i)-dong,Eunpyeong-gu,1561.0,5495.0,3217.0,1709.0,793.0,2821.0,1733.0,804.0,548.0,161,143
Gusan-dong,Eunpyeong-gu,1181.0,5389.0,2717.0,1178.0,418.0,3334.0,1867.0,760.0,363.0,117,69
Daejo-dong,Eunpyeong-gu,2566.0,7174.0,4169.0,2940.0,1461.0,2951.0,1778.0,1052.0,747.0,231,183
Eungam 1(il)-dong,Eunpyeong-gu,1615.0,7074.0,3486.0,1644.0,721.0,3447.0,1981.0,1539.0,445.0,444,339
Eungam 2(i)-dong,Eunpyeong-gu,944.0,2214.0,1049.0,1090.0,413.0,1066.0,601.0,55.0,32.0,3,3
Sinsa 1(il)-dong,Eunpyeong-gu,1559.0,3927.0,1580.0,1642.0,526.0,1522.0,721.0,664.0,277.0,99,56
Sinsa 2(i)-dong,Eunpyeong-gu,1216.0,2933.0,1133.0,1231.0,318.0,1407.0,641.0,270.0,161.0,25,13
Jeungsan-dong,Eunpyeong-gu,1108.0,3825.0,1474.0,1168.0,477.0,2221.0,776.0,353.0,182.0,83,39
Susaek-dong,Eunpyeong-gu,848.0,3003.0,1101.0,952.0,411.0,1748.0,546.0,240.0,120.0,63,24
Jingwan-dong,Eunpyeong-gu,1007.0,5234.0,2555.0,990.0,486.0,3819.0,1815.0,392.0,237.0,33,17
Bulgwang 2(i)-dong,Eunpyeong-gu,1295.0,4088.0,2231.0,1486.0,702.0,1739.0,928.0,488.0,357.0,375,244
Eungam 3(sam)-dong,Eunpyeong-gu,1909.0,5272.0,2862.0,2194.0,985.0,2024.0,1198.0,814.0,495.0,240,184
Yeokchon-dong,Eunpyeong-gu,2447.0,7428.0,3994.0,2657.0,1133.0,3530.0,2049.0,866.0,548.0,375,264
Cheonyeon-dong,Seodaemun-gu,809.0,2475.0,1335.0,854.0,392.0,1204.0,666.0,380.0,260.0,37,17
Hongje 1(il)-dong,Seodaemun-gu,1132.0,4016.0,2072.0,1154.0,521.0,1824.0,1041.0,663.0,252.0,375,258
