Dong,사업_사업체분포다수업종상위10_Gu_Gu_Gu,사업_사업체분포다수업종상위10_다수업종 상위10_택시운송업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_택시운송업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_한식음식점업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_한식음식점업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_용달 및 개별화물 자동차운송업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_용달 및 개별화물 자동차운송업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_부동산자문 및 중개업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_부동산자문 및 중개업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_기타주점업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_기타주점업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_두발미용업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_두발미용업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_셔츠 및 기타 의복 소매점_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_셔츠 및 기타 의복 소매점_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_셔츠 및 외의 도매업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_셔츠 및 외의 도매업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_비알콜 음료점업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_비알콜 음료점업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_기타음·식료품 위주 종합소매업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_기타음·식료품 위주 종합소매업_종사자수
Namgajwa 1(il)-dong,Seodaemun-gu,10,10,70,125,13,13.0,10.0,11.0,41,52,8,8,29,34,-,-,X,8,18,28
Namgajwa 2(i)-dong,Seodaemun-gu,147,147,107,272,83,83.0,55.0,70.0,54,92,66,92,14,19,3,4,27,74,31,60
Bukgajwa 1(il)-dong,Seodaemun-gu,109,537,11,30,69,73.0,21.0,29.0,3,4,15,20,3,3,X,1,4,16,10,33
Bukgajwa 2(i)-dong,Seodaemun-gu,862,1171,91,232,129,136.0,72.0,97.0,51,87,64,75,11,18,-,-,15,38,29,67
Chunghyeon-dong,Seodaemun-gu,40,40,176,527,46,59.0,36.0,54.0,48,110,27,34,3,6,X,2,54,164,31,52
Bugahyeon-dong,Seodaemun-gu,31,31,42,94,40,44.0,32.0,33.0,10,15,10,13,5,6,-,-,6,14,23,36
Sinchon-dong,Seodaemun-gu,21,21,380,1507,18,18.0,80.0,137.0,299,822,127,656,166,351,X,4,228,1072,43,82
Yeonhui-dong,Seodaemun-gu,133,377,112,359,129,130.0,65.0,97.0,38,80,55,74,19,24,3,11,59,167,35,63
Yonggang-dong,Mapo-gu,14,123,175,798,14,14.0,71.0,115.0,49,116,28,42,5,69,8,576,31,99,17,51
Daeheung-dong,Mapo-gu,48,48,143,398,57,57.0,66.0,106.0,55,95,29,45,4,19,-,-,41,116,32,51
Yeomni-dong,Mapo-gu,41,41,41,118,46,46.0,24.0,36.0,18,26,32,34,7,12,-,-,12,40,24,42
Sinsu-dong,Mapo-gu,355,355,72,178,57,57.0,44.0,50.0,18,31,28,30,X,3,-,-,13,24,22,46
