Dong,사업_사업체현황종사자규모별_Gu_Gu_Gu,사업_사업체현황종사자규모별_합계_사업체수_사업체수,사업_사업체현황종사자규모별_합계_사업체수_여성대표자,사업_사업체현황종사자규모별_합계_종사자수_계,사업_사업체현황종사자규모별_합계_종사자수_남,사업_사업체현황종사자규모별_합계_종사자수_여,사업_사업체현황종사자규모별_1~4명_사업체수_사업체수,사업_사업체현황종사자규모별_1~4명_종사자수_종사자수,사업_사업체현황종사자규모별_5~9명_사업체수_사업체수,사업_사업체현황종사자규모별_5~9명_종사자수_종사자수,사업_사업체현황종사자규모별_10~19명_사업체수_사업체수,사업_사업체현황종사자규모별_10~19명_종사자수_종사자수,사업_사업체현황종사자규모별_20~49명_사업체수_사업체수,사업_사업체현황종사자규모별_20~49명_종사자수_종사자수,사업_사업체현황종사자규모별_50~99명_사업체수_사업체수,사업_사업체현황종사자규모별_50~99명_종사자수_종사자수,사업_사업체현황종사자규모별_100~299명_사업체수_사업체수,사업_사업체현황종사자규모별_100~299명_종사자수_종사자수,사업_사업체현황종사자규모별_300~499명_사업체수_사업체수,사업_사업체현황종사자규모별_300~499명_종사자수_종사자수,사업_사업체현황종사자규모별_500~999명_사업체수_사업체수,사업_사업체현황종사자규모별_500~999명_종사자수_종사자수,"사업_사업체현황종사자규모별_1,000명 이상_사업체수_사업체수","사업_사업체현황종사자규모별_1,000명 이상_종사자수_종사자수"
gongdeok-dong,Mapo-gu,2622.0,850.0,18749.0,10575.0,8174.0,2070.0,3993.0,365.0,2246.0,94.0,1241.0,47,1343,16,1132,20,3697,6,2285,4,2812,-,-
Ahyeon-dong,Mapo-gu,1735.0,594.0,12492.0,7541.0,4951.0,1413.0,2579.0,195.0,1221.0,60.0,836.0,36,1104,15,1003,9,1381,4,1613,2,1102,1,1653
Mok 1(il)-dong,Yangcheon-gu,2617.0,1003.0,22037.0,12656.0,9381.0,1810.0,3929.0,474.0,2988.0,188.0,2470.0,89,2660,29,1998,24,4021,1,397,1,910,1,2664
Mok 2(i)-dong,Yangcheon-gu,1156.0,439.0,3604.0,1885.0,1719.0,1008.0,1715.0,94.0,602.0,33.0,434.0,17,494,3,231,1,128,-,-,-,-,-,-
Mok 3(sam)-dong,Yangcheon-gu,1227.0,533.0,3917.0,1758.0,2159.0,1074.0,1875.0,102.0,616.0,32.0,433.0,14,441,4,277,1,275,-,-,-,-,-,-
Mok 4(sa)-dong,Yangcheon-gu,1373.0,584.0,3666.0,1764.0,1902.0,1238.0,2010.0,91.0,587.0,26.0,351.0,16,482,1,91,1,145,-,-,-,-,-,-
Sinwol 1(il)-dong,Yangcheon-gu,1779.0,634.0,5028.0,2836.0,2192.0,1582.0,2630.0,134.0,827.0,44.0,600.0,13,375,3,192,3,404,-,-,-,-,-,-
Sinwol 2(i)-dong,Yangcheon-gu,1101.0,315.0,3715.0,2111.0,1604.0,933.0,1613.0,110.0,692.0,42.0,555.0,11,277,4,295,1,283,-,-,-,-,-,-
Sinwol 3(sam)-dong,Yangcheon-gu,1005.0,297.0,4187.0,2580.0,1607.0,841.0,1336.0,99.0,624.0,33.0,452.0,18,494,7,438,7,843,-,-,-,-,-,-
Sinwol 4(sa)-dong,Yangcheon-gu,1150.0,378.0,3786.0,2310.0,1476.0,1020.0,1542.0,81.0,503.0,28.0,361.0,14,417,4,331,3,632,-,-,-,-,-,-
