Dong,사업_대표자연령대별사업체현황_Gu_Gu,사업_대표자연령대별사업체현황_total_No. of establishments,사업_대표자연령대별사업체현황_total_No. of employee,사업_대표자연령대별사업체현황_20대 이하(29세 이하)_No. of establishments,사업_대표자연령대별사업체현황_20대 이하(29세 이하)_No. of employee,사업_대표자연령대별사업체현황_30대(30~39세)_No. of establishments,사업_대표자연령대별사업체현황_30대(30~39세)_No. of employee,사업_대표자연령대별사업체현황_40대(40~49세)_No. of establishments,사업_대표자연령대별사업체현황_40대(40~49세)_No. of employee,사업_대표자연령대별사업체현황_50대(50~59세)_No. of establishments,사업_대표자연령대별사업체현황_50대(50~59세)_No. of employee,사업_대표자연령대별사업체현황_60대 이상(60세 이상)_No. of establishments,사업_대표자연령대별사업체현황_60대 이상(60세 이상)_No. of employee
Siheung 4(sa)-dong,Geumcheon-gu,882.0,1956.0,12,22,88.0,163.0,212.0,502.0,362.0,910.0,208.0,359.0
Siheung 5(o)-dong,Geumcheon-gu,1204.0,3451.0,17,39,123.0,272.0,329.0,851.0,476.0,1220.0,259.0,1069.0
Yeouido-dong,Yeongdeungpo-gu,7564.0,150020.0,126,560,789.0,3695.0,2557.0,26091.0,2739.0,84649.0,1353.0,35025.0
Dangsan 1(il)-dong,Yeongdeungpo-gu,3092.0,16953.0,43,152,308.0,1088.0,897.0,4551.0,1221.0,7305.0,623.0,3857.0
Dangsan2(i)-dong,Yeongdeungpo-gu,2164.0,16477.0,29,169,276.0,1140.0,733.0,4255.0,773.0,6756.0,353.0,4157.0
Yangpyeong 1(il)-dong,Yeongdeungpo-gu,3186.0,19922.0,33,222,229.0,945.0,802.0,6907.0,1335.0,7829.0,787.0,4019.0
Yangpyeong 2(i)-dong,Yeongdeungpo-gu,2074.0,18234.0,27,142,187.0,868.0,687.0,4614.0,780.0,8806.0,393.0,3804.0
Singil 1(il)-dong,Yeongdeungpo-gu,1177.0,4035.0,15,30,127.0,408.0,314.0,741.0,434.0,1806.0,287.0,1050.0
Singil 3(sam)-dong,Yeongdeungpo-gu,1007.0,3056.0,8,15,74.0,175.0,268.0,685.0,391.0,961.0,266.0,1220.0
Singil 4(sa)-dong,Yeongdeungpo-gu,595.0,1567.0,7,15,61.0,127.0,153.0,392.0,209.0,705.0,165.0,328.0
Singil 5(o)-dong,Yeongdeungpo-gu,689.0,2079.0,14,26,64.0,118.0,169.0,532.0,302.0,1057.0,140.0,346.0
Singil 6(yuk)-dong,Yeongdeungpo-gu,1232.0,3974.0,12,24,123.0,385.0,338.0,934.0,463.0,1962.0,296.0,669.0
Singil 7(chil)-dong,Yeongdeungpo-gu,591.0,3030.0,11,25,43.0,93.0,167.0,722.0,240.0,1655.0,130.0,535.0
Daerim 1(il)-dong,Yeongdeungpo-gu,1129.0,4079.0,14,25,107.0,257.0,297.0,721.0,465.0,1138.0,246.0,1938.0
Daerim 2(i)-dong,Yeongdeungpo-gu,1408.0,4437.0,29,58,132.0,260.0,419.0,1348.0,569.0,1308.0,259.0,1463.0
Daerim 3(sam)-dong,Yeongdeungpo-gu,2907.0,10781.0,32,82,258.0,748.0,779.0,2723.0,1192.0,5106.0,646.0,2122.0
Yeongdeungpobon-dong,Yeongdeungpo-gu,1240.0,4537.0,18,58,152.0,408.0,358.0,1358.0,448.0,1885.0,264.0,828.0
Yeongdeungpo-dong,Yeongdeungpo-gu,6076.0,34547.0,99,301,505.0,2460.0,1514.0,11205.0,2473.0,13583.0,1485.0,6998.0
Dorim-dong,Yeongdeungpo-gu,1025.0,3138.0,14,34,117.0,331.0,316.0,867.0,379.0,1481.0,199.0,425.0
Mullae-dong,Yeongdeungpo-gu,4995.0,36161.0,55,182,398.0,1751.0,1516.0,9970.0,2113.0,15033.0,913.0,9225.0
Noryangjin 2(i)-dong,Dongjak-gu,1035.0,5138.0,14,24,112.0,350.0,246.0,871.0,378.0,2478.0,285.0,1415.0
Sangdo 1(il)-dong,Dongjak-gu,1724.0,6250.0,29,66,239.0,586.0,500.0,1549.0,604.0,3016.0,352.0,1033.0
Sangdo 2(i)-dong,Dongjak-gu,1261.0,4090.0,21,57,139.0,428.0,332.0,1174.0,451.0,1564.0,318.0,867.0
Sangdo 3(sam)-dong,Dongjak-gu,989.0,2720.0,18,47,109.0,306.0,240.0,624.0,348.0,1062.0,274.0,681.0
Sangdo 4(sa)-dong,Dongjak-gu,1006.0,2879.0,13,39,96.0,331.0,241.0,607.0,389.0,1230.0,267.0,672.0
Sadang 1(il)-dong,Dongjak-gu,1744.0,8660.0,27,65,208.0,781.0,510.0,2743.0,668.0,3707.0,331.0,1364.0
Sadang 3(sam)-dong,Dongjak-gu,1037.0,4303.0,8,19,109.0,244.0,293.0,1235.0,383.0,1477.0,244.0,1328.0
Sadang 4(sa)-dong,Dongjak-gu,663.0,1638.0,11,26,76.0,179.0,177.0,441.0,248.0,687.0,151.0,305.0
Sadang 5(o)-dong,Dongjak-gu,517.0,1692.0,5,12,72.0,204.0,148.0,452.0,189.0,705.0,103.0,319.0
Daebang-dong,Dongjak-gu,1689.0,12717.0,29,154,196.0,671.0,530.0,5093.0,581.0,4045.0,353.0,2754.0
Sindaebang 1(il)-dong,Dongjak-gu,1050.0,4496.0,22,42,98.0,233.0,328.0,1102.0,396.0,2526.0,206.0,593.0
Sindaebang 2(i)-dong,Dongjak-gu,1254.0,27372.0,18,54,142.0,558.0,371.0,4829.0,495.0,11369.0,228.0,10562.0
Heukseok-dong,Dongjak-gu,1622.0,9671.0,25,89,187.0,600.0,448.0,1318.0,587.0,4643.0,375.0,3021.0
Noryangjin 1(il)-dong,Dongjak-gu,2893.0,11058.0,55,173,281.0,847.0,704.0,2826.0,1021.0,4827.0,832.0,2385.0
Sadang 2(i)-dong,Dongjak-gu,1551.0,5323.0,34,125,220.0,692.0,429.0,1515.0,560.0,2131.0,308.0,860.0
Boramae-dong,Gwanak-gu,1316.0,4966.0,27,74,179.0,476.0,384.0,1108.0,498.0,1884.0,228.0,1424.0
Cheongnim-dong,Gwanak-gu,430.0,1059.0,6,10,50.0,91.0,114.0,261.0,149.0,439.0,111.0,258.0
Haengun-dong,Gwanak-gu,1397.0,5161.0,35,82,181.0,563.0,382.0,1266.0,527.0,2192.0,272.0,1058.0
Nagseongdae-dong,Gwanak-gu,1277.0,7971.0,31,101,162.0,804.0,327.0,1748.0,493.0,3307.0,264.0,2011.0
Jungang-dong,Gwanak-gu,1469.0,4681.0,26,94,144.0,435.0,314.0,1112.0,534.0,2242.0,451.0,798.0
Inheon-dong,Gwanak-gu,1123.0,4406.0,22,58,139.0,336.0,337.0,1457.0,374.0,1529.0,251.0,1026.0
Namhyeon-dong,Gwanak-gu,842.0,5952.0,18,62,98.0,351.0,217.0,1382.0,317.0,3238.0,192.0,919.0
Sewon-dong,Gwanak-gu,1298.0,6702.0,25,104,217.0,912.0,373.0,2291.0,453.0,1812.0,230.0,1583.0
Sinwon-dong,Gwanak-gu,877.0,2256.0,20,40,104.0,214.0,220.0,632.0,326.0,955.0,207.0,415.0
Serim-dong,Gwanak-gu,857.0,2755.0,17,51,80.0,195.0,231.0,736.0,326.0,1195.0,203.0,578.0
Sinsa-dong,Gwanak-gu,1451.0,4365.0,32,80,183.0,418.0,418.0,1426.0,579.0,1641.0,239.0,800.0
Sillim-dong,Gwanak-gu,1744.0,5632.0,47,100,268.0,955.0,494.0,1464.0,608.0,2126.0,327.0,987.0
Nanhyang-dong,Gwanak-gu,392.0,1685.0,6,14,50.0,107.0,122.0,588.0,119.0,714.0,95.0,262.0
Jowon-dong,Gwanak-gu,2172.0,7225.0,32,98,209.0,647.0,582.0,2221.0,846.0,2813.0,503.0,1446.0
Daehak-dong,Gwanak-gu,1562.0,11988.0,36,118,246.0,772.0,358.0,1683.0,564.0,7869.0,358.0,1546.0
Euncheon-dong,Gwanak-gu,1673.0,7535.0,23,76,182.0,664.0,476.0,2272.0,617.0,2457.0,375.0,2066.0
Seonghyeon-dong,Gwanak-gu,834.0,2449.0,6,17,106.0,304.0,230.0,596.0,270.0,914.0,222.0,618.0
Cheongnyong-dong,Gwanak-gu,1946.0,12463.0,40,96,238.0,651.0,546.0,2112.0,715.0,6428.0,407.0,3176.0
Nangok-dong,Gwanak-gu,935.0,1988.0,10,21,94.0,159.0,257.0,497.0,335.0,635.0,239.0,676.0
Samseong-dong,Gwanak-gu,1139.0,2615.0,10,21,83.0,187.0,242.0,553.0,447.0,1231.0,357.0,623.0
Miseong-dong,Gwanak-gu,1575.0,5201.0,24,54,138.0,327.0,447.0,1635.0,609.0,2036.0,357.0,1149.0
Seocho 1(il)-dong,Seocho-gu,3047.0,26660.0,26,109,391.0,1828.0,1025.0,6817.0,1080.0,13072.0,525.0,4834.0
Seocho 2(i)-dong,Seocho-gu,4253.0,49210.0,82,227,565.0,3134.0,1459.0,9893.0,1485.0,16985.0,662.0,18971.0
Seocho 3(sam)-dong,Seocho-gu,6884.0,65115.0,49,164,686.0,3342.0,2396.0,15444.0,2470.0,28433.0,1283.0,17732.0
Seocho 4(sa)-dong,Seocho-gu,2704.0,27523.0,59,309,423.0,2464.0,893.0,7793.0,842.0,8874.0,487.0,8083.0
Jamwon-dong,Seocho-gu,2176.0,13886.0,32,90,347.0,1888.0,762.0,4308.0,709.0,4567.0,326.0,3033.0
Banpobon-dong,Seocho-gu,668.0,2280.0,12,25,78.0,180.0,217.0,652.0,204.0,679.0,157.0,744.0
Banpo 1(il)-dong,Seocho-gu,1548.0,9227.0,44,126,260.0,1128.0,516.0,2435.0,514.0,3623.0,214.0,1915.0
Banpo 2(i)-dong,Seocho-gu,428.0,2223.0,10,38,58.0,187.0,123.0,394.0,158.0,1388.0,79.0,216.0
Banpo 3(sam)-dong,Seocho-gu,887.0,5949.0,13,41,81.0,218.0,314.0,1685.0,293.0,1359.0,186.0,2646.0
Banpo 4(sa)-dong,Seocho-gu,3382.0,29186.0,68,313,415.0,2019.0,997.0,5884.0,1123.0,9813.0,779.0,11157.0
Bangbaebon-dong,Seocho-gu,1606.0,10745.0,28,101,238.0,1037.0,546.0,2241.0,562.0,5219.0,232.0,2147.0
Bangbae 1(il)-dong,Seocho-gu,1629.0,13769.0,15,31,201.0,761.0,581.0,3494.0,609.0,8413.0,223.0,1070.0
Bangbae 2(i)-dong,Seocho-gu,1771.0,14947.0,33,105,187.0,900.0,512.0,4421.0,681.0,6129.0,358.0,3392.0
Bangbae 3(sam)-dong,Seocho-gu,1103.0,10484.0,10,45,98.0,456.0,316.0,3065.0,401.0,4148.0,278.0,2770.0
Bangbae 4(sa)-dong,Seocho-gu,2265.0,13140.0,44,134,372.0,1367.0,748.0,3914.0,706.0,4927.0,395.0,2798.0
Yangjae 1(il)-dong,Seocho-gu,3090.0,30202.0,46,135,382.0,2821.0,983.0,6989.0,1104.0,11919.0,575.0,8338.0
Yangjae 2(i)-dong,Seocho-gu,4981.0,44373.0,55,174,515.0,1923.0,1798.0,9424.0,1895.0,17724.0,718.0,15128.0
Naegok-dong,Seocho-gu,460.0,5035.0,X,2,33.0,105.0,107.0,470.0,201.0,3659.0,117.0,799.0
Sinsa-dong,Gangnam-gu,4334.0,27047.0,85,313,893.0,4221.0,1759.0,9827.0,1189.0,8065.0,408.0,4621.0
Nonhyeon 1(il)-dong,Gangnam-gu,4970.0,38902.0,64,269,836.0,4114.0,1949.0,14261.0,1526.0,12391.0,595.0,7867.0
Nonhyeon 2(i)-dong,Gangnam-gu,5128.0,56495.0,67,261,877.0,4719.0,1867.0,15547.0,1691.0,21416.0,626.0,14552.0
Samseong 1(il)-dong,Gangnam-gu,3170.0,49715.0,29,104,299.0,2505.0,1129.0,13661.0,1260.0,23198.0,453.0,10247.0
Samseong 2(i)-dong,Gangnam-gu,3008.0,30057.0,63,234,537.0,3350.0,982.0,7989.0,944.0,11965.0,482.0,6519.0
Daechi 1(il)-dong,Gangnam-gu,1004.0,6550.0,10,43,113.0,600.0,372.0,2466.0,361.0,1963.0,148.0,1478.0
Daechi 4(sa)-dong,Gangnam-gu,3242.0,26790.0,55,151,492.0,2461.0,1226.0,7351.0,1048.0,9008.0,421.0,7819.0
Yeoksam 1(il)-dong,Gangnam-gu,12516.0,144308.0,201,696,1804.0,10295.0,4463.0,41049.0,4410.0,59370.0,1638.0,32898.0
Yeoksam 2(i)-dong,Gangnam-gu,2956.0,34579.0,41,132,349.0,1995.0,1004.0,9233.0,1112.0,17190.0,450.0,6029.0
Dogok 1(il)-dong,Gangnam-gu,1392.0,14298.0,27,69,166.0,635.0,452.0,3464.0,534.0,6621.0,213.0,3509.0
Dogok 2(i)-dong,Gangnam-gu,1646.0,18453.0,20,62,172.0,865.0,584.0,5652.0,611.0,7300.0,259.0,4574.0
Gaepo 1(il)-dong,Gangnam-gu,459.0,1318.0,8,10,24.0,35.0,89.0,210.0,193.0,590.0,145.0,473.0
Gaepo 4(sa)-dong,Gangnam-gu,3257.0,11318.0,27,67,281.0,776.0,878.0,3202.0,1221.0,4619.0,850.0,2654.0
Irwonbon-dong,Gangnam-gu,492.0,8073.0,8,12,40.0,131.0,111.0,466.0,222.0,7018.0,111.0,446.0
Irwon 1(il)-dong,Gangnam-gu,894.0,5454.0,9,17,100.0,340.0,249.0,1159.0,387.0,2792.0,149.0,1146.0
Irwon 2(i)-dong,Gangnam-gu,575.0,5064.0,8,17,51.0,162.0,153.0,528.0,248.0,2455.0,115.0,1902.0
Suseo-dong,Gangnam-gu,1333.0,17294.0,18,44,89.0,352.0,396.0,2512.0,587.0,11592.0,243.0,2794.0
Segok-dong,Gangnam-gu,437.0,2422.0,X,1,38.0,97.0,118.0,566.0,151.0,1018.0,129.0,740.0
Apgujeong -dong,Gangnam-gu,3778.0,28387.0,48,221,740.0,4064.0,1495.0,11334.0,1074.0,9554.0,421.0,3214.0
Cheongdam -dong,Gangnam-gu,3793.0,36500.0,78,244,763.0,4568.0,1408.0,10756.0,1061.0,11403.0,483.0,9529.0
Daechi 2(i)-dong,Gangnam-gu,3220.0,50271.0,46,216,347.0,3406.0,1057.0,13554.0,1211.0,21578.0,559.0,11517.0
Gaepo 2(i)-dong,Gangnam-gu,1010.0,4045.0,9,15,88.0,206.0,270.0,1006.0,415.0,1771.0,228.0,1047.0
Pungnap 1(il)-dong,Songpa-gu,806.0,2501.0,16,27,89.0,284.0,190.0,525.0,333.0,1023.0,178.0,642.0
Pungnap 2(i)-dong,Songpa-gu,1236.0,14873.0,12,32,119.0,499.0,327.0,1344.0,484.0,10778.0,294.0,2220.0
Geoyeo 1(il)-dong,Songpa-gu,828.0,2534.0,10,22,78.0,203.0,239.0,656.0,359.0,1247.0,142.0,406.0
Geoyeo 2(i)-dong,Songpa-gu,1223.0,4400.0,11,16,113.0,297.0,332.0,1144.0,525.0,2197.0,242.0,746.0
Macheon 1(il)-dong,Songpa-gu,910.0,2057.0,11,24,101.0,173.0,224.0,443.0,362.0,907.0,212.0,510.0
Macheon 2(i)-dong,Songpa-gu,1340.0,3993.0,18,31,115.0,260.0,357.0,872.0,530.0,1650.0,320.0,1180.0
Bangi 1(il)-dong,Songpa-gu,1312.0,8976.0,21,55,159.0,555.0,461.0,3013.0,483.0,3482.0,188.0,1871.0
Bangi 2(i)-dong,Songpa-gu,2771.0,21572.0,31,80,327.0,1621.0,860.0,5838.0,1119.0,10499.0,434.0,3534.0
Oryun-dong,Songpa-gu,510.0,4286.0,11,86,34.0,165.0,121.0,365.0,227.0,2262.0,117.0,1408.0
Ogeum-dong,Songpa-gu,3197.0,16645.0,43,92,239.0,1512.0,851.0,5148.0,1260.0,6416.0,804.0,3477.0
Songpa 1(il)-dong,Songpa-gu,2442.0,11419.0,32,85,280.0,805.0,751.0,4056.0,986.0,4786.0,393.0,1687.0
Songpa 2(i)-dong,Songpa-gu,881.0,5434.0,13,36,102.0,455.0,290.0,1132.0,326.0,2986.0,150.0,825.0
Seokchon-dong,Songpa-gu,2757.0,14313.0,39,101,326.0,1197.0,828.0,4456.0,1093.0,6426.0,471.0,2133.0
Samjeon-dong,Songpa-gu,1972.0,10176.0,42,215,305.0,966.0,588.0,2325.0,740.0,4202.0,297.0,2468.0
Garakbon-dong,Songpa-gu,3460.0,28071.0,51,132,397.0,1617.0,1117.0,7601.0,1380.0,13247.0,515.0,5474.0
Garak 1(il)-dong,Songpa-gu,3322.0,11184.0,22,46,255.0,670.0,755.0,2431.0,1175.0,4668.0,1115.0,3369.0
Garak 2(i)-dong,Songpa-gu,1832.0,8739.0,25,49,203.0,655.0,591.0,2651.0,747.0,3849.0,266.0,1535.0
Munjeong 1(il)-dong,Songpa-gu,1434.0,6648.0,29,73,188.0,441.0,469.0,2099.0,567.0,2477.0,181.0,1558.0
Munjeong 2(i)-dong,Songpa-gu,2170.0,10862.0,34,94,291.0,1035.0,830.0,3820.0,783.0,5017.0,232.0,896.0
Jangji-dong,Songpa-gu,1449.0,9945.0,15,32,160.0,1060.0,457.0,3154.0,580.0,3085.0,237.0,2614.0
Jamsilbon-dong,Songpa-gu,3052.0,17039.0,62,167,427.0,2034.0,942.0,4823.0,1114.0,6433.0,507.0,3582.0
Jamsil 4(sa)-dong,Songpa-gu,462.0,1727.0,9,15,61.0,218.0,131.0,417.0,153.0,810.0,108.0,267.0
Jamsil 6(yuk)-dong,Songpa-gu,1959.0,23128.0,26,54,187.0,751.0,512.0,3851.0,749.0,13123.0,485.0,5349.0
Jamsil 7(chil)-dong,Songpa-gu,195.0,976.0,4,8,10.0,49.0,53.0,122.0,82.0,324.0,46.0,473.0
Jamsil 2(i)-dong,Songpa-gu,765.0,3661.0,20,44,116.0,313.0,257.0,795.0,256.0,1778.0,116.0,731.0
Jamsil 3(sam)-dong,Songpa-gu,1218.0,8056.0,30,141,186.0,710.0,389.0,1635.0,385.0,4709.0,228.0,861.0
Gangil-dong,Gangdong-gu,683.0,14694.0,7,26,108.0,426.0,211.0,742.0,229.0,10972.0,128.0,2528.0
Sangil-dong,Gangdong-gu,1238.0,5441.0,15,36,101.0,258.0,295.0,776.0,526.0,3084.0,301.0,1287.0
Myeongil 1(il)-dong,Gangdong-gu,1665.0,5027.0,34,85,200.0,568.0,496.0,1461.0,621.0,1983.0,314.0,930.0
Myeongil 2(i)-dong,Gangdong-gu,1267.0,5137.0,33,102,139.0,498.0,443.0,1746.0,473.0,2048.0,179.0,743.0
Godeok 1(il)-dong,Gangdong-gu,550.0,1749.0,6,13,41.0,87.0,135.0,273.0,258.0,945.0,110.0,431.0
Godeok 2(i)-dong,Gangdong-gu,1945.0,3801.0,8,19,62.0,150.0,274.0,588.0,734.0,1555.0,867.0,1489.0
Amsa 2(i)-dong,Gangdong-gu,812.0,3671.0,10,33,96.0,290.0,226.0,721.0,316.0,2051.0,164.0,576.0
Amsa 3(sam)-dong,Gangdong-gu,603.0,1911.0,9,15,66.0,159.0,164.0,427.0,231.0,1028.0,133.0,282.0
Cheonho 1(il)-dong,Gangdong-gu,1558.0,5102.0,23,71,164.0,333.0,416.0,1617.0,607.0,1789.0,348.0,1292.0
Cheonho 3(sam)-dong,Gangdong-gu,1877.0,6171.0,35,83,219.0,564.0,506.0,2056.0,717.0,2399.0,400.0,1069.0
Seongnae 1(il)-dong,Gangdong-gu,2045.0,15379.0,28,70,231.0,777.0,619.0,3888.0,827.0,7454.0,340.0,3190.0
Seongnae 2(i)-dong,Gangdong-gu,1928.0,7545.0,35,124,269.0,1168.0,511.0,2005.0,785.0,2895.0,328.0,1353.0
Seongnae 3(sam)-dong,Gangdong-gu,2384.0,10273.0,42,125,286.0,1007.0,699.0,2591.0,954.0,3459.0,403.0,3091.0
Dunchon 1(il)-dong,Gangdong-gu,404.0,1318.0,7,10,20.0,24.0,88.0,150.0,174.0,876.0,115.0,258.0
Dunchon 2(i)-dong,Gangdong-gu,1610.0,9104.0,24,56,177.0,505.0,436.0,1709.0,652.0,4058.0,321.0,2776.0
Amsa 1(il)-dong,Gangdong-gu,1947.0,5139.0,32,76,217.0,536.0,522.0,1350.0,764.0,1769.0,412.0,1408.0
Cheonho 2(i)-dong,Gangdong-gu,3424.0,14008.0,89,371,448.0,1745.0,983.0,3741.0,1266.0,5519.0,638.0,2632.0
Gil-dong,Gangdong-gu,3816.0,18259.0,67,160,434.0,1809.0,1030.0,5688.0,1525.0,6793.0,760.0,3809.0
