Dong,사업_대표자연령대별사업체현황_Gu_Gu,사업_대표자연령대별사업체현황_total_No. of establishments,사업_대표자연령대별사업체현황_total_No. of employee,사업_대표자연령대별사업체현황_20대 이하(29세 이하)_No. of establishments,사업_대표자연령대별사업체현황_20대 이하(29세 이하)_No. of employee,사업_대표자연령대별사업체현황_30대(30~39세)_No. of establishments,사업_대표자연령대별사업체현황_30대(30~39세)_No. of employee,사업_대표자연령대별사업체현황_40대(40~49세)_No. of establishments,사업_대표자연령대별사업체현황_40대(40~49세)_No. of employee,사업_대표자연령대별사업체현황_50대(50~59세)_No. of establishments,사업_대표자연령대별사업체현황_50대(50~59세)_No. of employee,사업_대표자연령대별사업체현황_60대 이상(60세 이상)_No. of establishments,사업_대표자연령대별사업체현황_60대 이상(60세 이상)_No. of employee
Sinjeong 2(i)-dong,Yangcheon-gu,1103.0,3708.0,26,70,138.0,389.0,367.0,1284.0,388.0,1288.0,184.0,677.0
Sinjeong 3(sam)-dong,Yangcheon-gu,1991.0,7934.0,29,63,178.0,479.0,558.0,2257.0,809.0,3656.0,417.0,1479.0
Sinjeong 6(yuk)-dong,Yangcheon-gu,693.0,5130.0,16,61,88.0,343.0,246.0,1446.0,236.0,2887.0,107.0,393.0
Sinjeong 7(chil)-dong,Yangcheon-gu,1016.0,4365.0,14,29,103.0,255.0,317.0,1086.0,395.0,2560.0,187.0,435.0
Mok 5(o)-dong,Yangcheon-gu,1489.0,9703.0,18,31,248.0,790.0,581.0,1957.0,461.0,4984.0,181.0,1941.0
Sinjeong 4(sa)-dong,Yangcheon-gu,3010.0,12547.0,42,155,356.0,1063.0,872.0,3377.0,1157.0,4902.0,583.0,3050.0
Yeomchang-dong,Gangseo-gu,2157.0,15145.0,22,51,225.0,824.0,685.0,4267.0,859.0,7139.0,366.0,2864.0
Deungchon 1(il)-dong,Gangseo-gu,1742.0,10265.0,28,74,214.0,846.0,573.0,2787.0,641.0,4573.0,286.0,1985.0
Deungchon 2(i)-dong,Gangseo-gu,712.0,3351.0,11,18,69.0,179.0,222.0,787.0,273.0,1501.0,137.0,866.0
Deungchon 3(sam)-dong,Gangseo-gu,2296.0,19501.0,38,198,279.0,1333.0,740.0,4731.0,837.0,8195.0,402.0,5044.0
Hwagokbon-dong,Gangseo-gu,1368.0,3954.0,21,33,162.0,422.0,375.0,1098.0,520.0,1526.0,290.0,875.0
Hwagok 2(i)-dong,Gangseo-gu,842.0,2340.0,16,30,107.0,254.0,244.0,641.0,308.0,916.0,167.0,499.0
Hwagok 3(sam)-dong,Gangseo-gu,1177.0,3975.0,18,54,162.0,571.0,318.0,1112.0,477.0,1497.0,202.0,741.0
Hwagok 4(sa)-dong,Gangseo-gu,1445.0,3549.0,17,31,178.0,421.0,379.0,847.0,584.0,1554.0,287.0,696.0
Hwagok 6(yuk)-dong,Gangseo-gu,1831.0,11125.0,45,153,241.0,996.0,518.0,2939.0,714.0,4885.0,313.0,2152.0
Hwagok 8(pal)-dong,Gangseo-gu,1214.0,3156.0,29,70,170.0,380.0,331.0,1001.0,443.0,1216.0,241.0,489.0
Gayang 1(il)-dong,Gangseo-gu,1225.0,9936.0,19,101,118.0,591.0,388.0,2578.0,508.0,4815.0,192.0,1851.0
Gayang 2(i)-dong,Gangseo-gu,651.0,3293.0,13,39,80.0,290.0,186.0,1012.0,238.0,1344.0,134.0,608.0
Gayang 3(sam)-dong,Gangseo-gu,861.0,6785.0,11,53,73.0,470.0,270.0,2186.0,351.0,3169.0,156.0,907.0
Balsan 1(il)-dong,Gangseo-gu,2147.0,10930.0,22,70,273.0,1045.0,647.0,2533.0,822.0,4004.0,383.0,3278.0
Gonghang-dong,Gangseo-gu,1822.0,33019.0,40,353,253.0,1569.0,580.0,2561.0,664.0,5662.0,285.0,22874.0
Banghwa 1(il)-dong,Gangseo-gu,1957.0,7140.0,27,43,207.0,534.0,549.0,2036.0,792.0,2753.0,382.0,1774.0
Banghwa 2(i)-dong,Gangseo-gu,3160.0,12658.0,55,209,311.0,1198.0,697.0,2837.0,1227.0,5501.0,870.0,2913.0
Banghwa 3(sam)-dong,Gangseo-gu,853.0,3824.0,10,14,87.0,275.0,205.0,698.0,345.0,1517.0,206.0,1320.0
Hwagok 1(il)-dong,Gangseo-gu,2987.0,8395.0,59,223,326.0,925.0,805.0,2378.0,1183.0,3189.0,614.0,1680.0
Ujangsan-dong,Gangseo-gu,1574.0,5940.0,38,88,216.0,705.0,457.0,1860.0,571.0,2047.0,292.0,1240.0
Sindorim-dong,Guro-gu,2569.0,13854.0,46,156,300.0,1067.0,826.0,4112.0,999.0,6644.0,398.0,1875.0
Guro 1(il)-dong,Guro-gu,675.0,2971.0,5,30,76.0,189.0,200.0,1057.0,259.0,1144.0,135.0,551.0
Guro 3(sam)-dong,Guro-gu,5737.0,78879.0,70,361,726.0,6458.0,2239.0,30475.0,2047.0,32240.0,655.0,9345.0
Guro 4(sa)-dong,Guro-gu,2011.0,5476.0,35,88,197.0,513.0,569.0,1598.0,753.0,2304.0,457.0,973.0
Guro 5(o)-dong,Guro-gu,4619.0,24401.0,81,343,672.0,2277.0,1355.0,8443.0,1625.0,9221.0,886.0,4117.0
Gocheok 1(il)-dong,Guro-gu,2456.0,7829.0,27,59,197.0,656.0,721.0,1904.0,1035.0,3074.0,476.0,2136.0
Gocheok 2(i)-dong,Guro-gu,1155.0,3432.0,24,39,147.0,332.0,370.0,1048.0,435.0,1244.0,179.0,769.0
Gaebong 2(i)-dong,Guro-gu,1170.0,2703.0,20,36,134.0,332.0,312.0,797.0,443.0,1056.0,261.0,482.0
Gaebong 3(sam)-dong,Guro-gu,1002.0,3803.0,17,33,102.0,193.0,262.0,555.0,403.0,1244.0,218.0,1778.0
Oryu 1(il)-dong,Guro-gu,1080.0,4353.0,9,23,130.0,374.0,283.0,1175.0,401.0,1554.0,257.0,1227.0
Oryu 2(i)-dong,Guro-gu,1406.0,6306.0,20,47,143.0,376.0,407.0,1371.0,522.0,3241.0,314.0,1271.0
Sugung-dong,Guro-gu,1091.0,5602.0,13,24,94.0,230.0,265.0,909.0,456.0,3103.0,263.0,1336.0
