Dong,세금_지방세징수_2012_Gu_Gu_Gu,세금_지방세징수_2012_total_total_total,세금_지방세징수_2012_total_Metropolitan City taxes_Metropolitan City taxes,세금_지방세징수_2012_total_Gu taxes_Gu taxes,세금_지방세징수_2012_General tax_Metropolitan City taxes_Acquisition tax,세금_지방세징수_2012_General tax_Metropolitan City taxes_Leisure tax,세금_지방세징수_2012_General tax_Metropolitan City taxes_Local Inhabitant tax,세금_지방세징수_2012_General tax_Metropolitan City taxes_Auto mobile tax,세금_지방세징수_2012_General tax_Metropolitan City taxes_Tobacco Consumption tax,세금_지방세징수_2012_General tax_Metropolitan City taxes_Property tax,세금_지방세징수_2012_General tax_Metropolitan City taxes_Local Consumption tax,세금_지방세징수_2012_General tax_Metropolitan City taxes_Local Income tax,세금_지방세징수_2012_General tax_Gu taxes_Registration license tax,세금_지방세징수_2012_General tax_Gu taxes_Local Inhabitant tax,세금_지방세징수_2012_General tax_Gu taxes_Property tax,세금_지방세징수_2012_General tax_Gu taxes_Aggregate Land tax,세금_지방세징수_2012_General tax_Gu taxes_Local Income tax,세금_지방세징수_2012_Objective taxes_Metropolitan City taxes_Regional Resource Facility tax,세금_지방세징수_2012_Objective taxes_Metropolitan City taxes_Local Education tax,세금_지방세징수_2012_Objective taxes_Metropolitan City taxes_City Planning tax,세금_지방세징수_2012_Objective taxes_Metropolitan City taxes_Group Facilities tax,세금_지방세징수_2012_Objective taxes_Gu taxes_Business Office tax,세금_지방세징수_2012_Revenue from previous year_Metropolitan City taxes_Metropolitan City taxes,세금_지방세징수_2012_Revenue from previous year_Gu taxes_Gu taxes
Sinwon-dong,Gwanak-gu,5534,4438.0,1096,1477.0,-,51,545.0,-,1005,-,681,75,-,1014,-,-,91,433.0,-,-,-,156.0,7
Serim-dong,Gwanak-gu,9627,7296.0,2332,2384.0,-,98,887.0,-,1950,-,682,135,-,2184,-,-,311,789.0,-,-,-,195.0,13
Sinsa-dong,Gwanak-gu,10446,8300.0,2145,3296.0,-,88,851.0,-,1782,-,1043,218,-,1919,-,-,198,823.0,-,-,-,219.0,8
Sillim-dong,Gwanak-gu,25555,19229.0,6327,5028.0,6360,167,601.0,-,2912,-,539,2271,1,3991,-,-,486,2811.0,-,-,-,325.0,64
Nanhyang-dong,Gwanak-gu,7280,5560.0,1720,1483.0,-,37,966.0,-,1553,-,581,81,-,1626,-,-,152,637.0,-,-,-,152.0,13
Jowon-dong,Gwanak-gu,11908,8857.0,3051,2981.0,-,113,767.0,-,2357,-,1223,208,-,2832,-,-,300,917.0,-,-,-,199.0,11
Daehak-dong,Gwanak-gu,14863,11736.0,3126,2537.0,-,143,862.0,-,2479,-,4214,154,-,2908,-,49,435,889.0,-,-,-,178.0,15
Euncheon-dong,Gwanak-gu,15823,12017.0,3806,3934.0,-,122,1647.0,-,3121,-,1243,254,-,3537,-,-,333,1350.0,-,-,-,267.0,15
Seonghyeon-dong,Gwanak-gu,15249,12053.0,3197,3362.0,-,72,1752.0,-,2814,-,789,168,-,3008,-,-,240,2752.0,-,-,-,272.0,21
Cheongnyong-dong,Gwanak-gu,19307,14775.0,4532,6024.0,-,158,1149.0,-,3449,-,1982,286,-,4209,-,21,519,1252.0,-,-,-,242.0,16
Nangok-dong,Gwanak-gu,7774,6334.0,1441,2450.0,-,67,902.0,-,1267,-,608,171,-,1260,-,-,99,664.0,-,-,-,277.0,10
Samseong-dong,Gwanak-gu,7629,5908.0,1721,1618.0,-,64,1119.0,-,1508,-,535,102,-,1605,-,-,127,689.0,-,-,-,248.0,14
Miseong-dong,Gwanak-gu,16398,12439.0,3959,4243.0,-,108,1499.0,-,2871,-,1760,594,-,3309,-,-,276,1358.0,-,-,-,323.0,56
Seocho 1(il)-dong,Seocho-gu,84958,68398.0,16560,13565.0,-,485,2261.0,-,13155,-,31122,7365,-,9110,-,-,1105,6085.0,-,-,-1,620.0,86
Seocho 2(i)-dong,Seocho-gu,134639,118726.0,15913,16669.0,-,775,3004.0,-,19022,-,68677,2640,1,13074,-,133,2213,7838.0,-,-,-,528.0,65
Seocho 3(sam)-dong,Seocho-gu,114107,97056.0,17051,13584.0,-,628,3793.0,-,21350,-,46967,1981,9,15022,-,-21,2282,7651.0,-,-,-44,801.0,104
Seocho 4(sa)-dong,Seocho-gu,96498,81630.0,14868,13573.0,-,-10,3404.0,-,20130,-,35625,698,2,14058,-,1,1536,6867.0,-,-,-,505.0,109
Jamwon-dong,Seocho-gu,63376,51640.0,11736,12890.0,-,297,3288.0,-,12506,-,16509,3451,2,8188,-,-1,620,4642.0,-,-,-,888.0,96
Banpobon-dong,Seocho-gu,37661,31051.0,6610,13570.0,-,4,1182.0,-,9189,-,4096,237,-,6348,-,-,63,2824.0,-,-,-,123.0,25
Banpo 1(il)-dong,Seocho-gu,64907,52779.0,12128,13553.0,-,226,2720.0,-,13688,-,16449,2692,1,9372,-,-,633,4997.0,-,-,-,513.0,63
Banpo 2(i)-dong,Seocho-gu,52405,42684.0,9721,13563.0,-,80,2114.0,-,11968,-,10240,1241,-,8444,-,-,325,4177.0,-,-,-,217.0,36
Banpo 3(sam)-dong,Seocho-gu,42042,35674.0,6368,13573.0,-,149,2102.0,-,9417,-,7017,187,1,6152,-,-,224,2966.0,-,-,-,226.0,28
Banpo 4(sa)-dong,Seocho-gu,58473,51215.0,7258,13563.0,-,463,2128.0,-,10047,-,20069,822,1,6366,-,-,1095,3435.0,-,-,-,415.0,69
Bangbaebon-dong,Seocho-gu,42676,37247.0,5429,13568.0,-,54,1928.0,-,7407,-,10893,414,1,4908,-,-,415,2581.0,-,-,-,401.0,106
Bangbae 1(il)-dong,Seocho-gu,37447,31310.0,6137,14451.0,-,-24,1349.0,-,5051,-,7053,2812,1,3310,-,-,375,2624.0,-,-,-,431.0,14
Bangbae 2(i)-dong,Seocho-gu,37309,33936.0,3373,13611.0,-,239,1551.0,-,4968,-,11035,377,-,2963,-,-,389,1772.0,-,-,-,371.0,33
Bangbae 3(sam)-dong,Seocho-gu,42103,37559.0,4544,13594.0,-,-9,2195.0,-,6457,-,12160,318,-,4106,-,-,356,2287.0,-,-,-,519.0,120
Bangbae 4(sa)-dong,Seocho-gu,45503,39160.0,6343,13556.0,-,-204,2135.0,-,8112,-,11766,467,1,5817,-,-,542,2848.0,-,-,-,405.0,58
Yangjae 1(il)-dong,Seocho-gu,60791,52381.0,8410,13568.0,-,509,2447.0,-,8880,-,20841,2677,1,5684,-,-,861,4800.0,-,-,-,475.0,48
Yangjae 2(i)-dong,Seocho-gu,78158,71000.0,7158,13574.0,-,755,2595.0,-,9054,-,39296,1416,1,5573,-,106,1682,3305.0,-,-,-6,739.0,68
Naegok-dong,Seocho-gu,23757,21725.0,2032,13565.0,-,96,470.0,-,2105,-,4252,307,-,1687,-,-,118,915.0,-,-,-,204.0,38
Sinsa-dong,Gangnam-gu,94591,80894.0,13697,24313.0,307,413,2009.0,-,16959,-,28381,3010,2,10541,-1,-,975,6900.0,-,-,-8,637.0,153
Nonhyeon 1(il)-dong,Gangnam-gu,114670,99684.0,14986,28795.0,4605,511,2306.0,-,16025,-,38585,4655,4,10166,-,-,1418,6654.0,-,-,-7,785.0,168
Nonhyeon 2(i)-dong,Gangnam-gu,130626,115329.0,15297,33719.0,-,605,4040.0,-,22175,-,43150,1832,3,13297,-,-,2029,8703.0,-,-,-6,908.0,171
Samseong 1(il)-dong,Gangnam-gu,214810,194103.0,20707,30164.0,-,809,2664.0,-,24715,-,121970,5926,2,14555,-,-,2725,9527.0,-,-,-8,1529.0,232
Samseong 2(i)-dong,Gangnam-gu,101044,88544.0,12500,24252.0,-,259,3271.0,-,16745,-,35041,1870,1,10497,-,-,1408,6871.0,-,-,-8,697.0,140
Daechi 1(il)-dong,Gangnam-gu,78750,66450.0,12300,19350.0,-,121,2003.0,-,14274,-,23994,3327,-,8835,-,-,402,5783.0,-,-,-,523.0,138
Daechi 4(sa)-dong,Gangnam-gu,93641,83602.0,10039,19998.0,4337,404,2105.0,-,10307,-,39806,3181,2,6734,-,17,1579,4408.0,-,-,-7,658.0,112
Yeoksam 1(il)-dong,Gangnam-gu,382260,341837.0,40423,63321.0,-,1628,5676.0,-,41911,-,204577,15039,8,24896,-,31,5737,16295.0,-,-,-3,2692.0,452
Yeoksam 2(i)-dong,Gangnam-gu,114466,102353.0,12113,33946.0,-,446,3294.0,-,17021,-,38567,2020,1,9957,-,-,1756,6517.0,-,-,-,806.0,135
Dogok 1(il)-dong,Gangnam-gu,55938,47879.0,8059,17550.0,-,164,1997.0,-,8442,-,15217,2383,1,5585,-,-,477,3656.0,-,-,-,376.0,90
Dogok 2(i)-dong,Gangnam-gu,127119,113800.0,13319,23389.0,-,239,4284.0,-,20849,-,54711,908,1,12238,-,23,1423,8010.0,-,-,-,895.0,149
Gaepo 1(il)-dong,Gangnam-gu,33110,26507.0,6603,11549.0,-,31,1176.0,-,7178,-,3101,1619,-,4910,-,-,50,3213.0,-,-,-,209.0,74
Gaepo 4(sa)-dong,Gangnam-gu,27914,23863.0,4051,10887.0,-,161,1639.0,-,4750,-,3520,405,-,3601,-,-,360,2358.0,-,-,-,188.0,45
Irwonbon-dong,Gangnam-gu,32209,27815.0,4394,9853.0,-,117,1584.0,-,5697,-,7262,221,-,4124,-,-,384,2699.0,-,-,-,219.0,49
Irwon 1(il)-dong,Gangnam-gu,14754,12145.0,2609,8134.0,-,54,553.0,-,1415,-,469,571,-,2009,-,-,109,1315.0,-,-,-,96.0,29
Irwon 2(i)-dong,Gangnam-gu,31111,27390.0,3721,8725.0,-,62,906.0,-,3622,-,11555,526,-,3153,-,-,241,2063.0,-,-,-,216.0,42
Suseo-dong,Gangnam-gu,29543,26113.0,3430,14287.0,-,135,846.0,-,2021,-,6616,1015,-,2375,-,2,448,1554.0,-,-,-,206.0,38
Segok-dong,Gangnam-gu,28755,25501.0,3254,20913.0,-,24,350.0,-,1729,-,575,765,-,2454,-,-,103,1606.0,-,-,-,201.0,36
Apgujeong -dong,Gangnam-gu,145074,123768.0,21306,29770.0,-,413,3490.0,-,32249,-,43107,2052,3,19021,-,-,1314,12450.0,-,-,-8,975.0,238
Cheongdam -dong,Gangnam-gu,185298,165064.0,20234,52110.0,10234,480,3676.0,-,26318,-,58946,4442,3,15571,-,-,1808,10192.0,-,-,-8,1300.0,226
Daechi 2(i)-dong,Gangnam-gu,145659,129493.0,16166,30603.0,-,474,4600.0,-,24119,-,57912,2122,3,13867,-,-,1689,9076.0,-,-,-7,1020.0,181
Gaepo 2(i)-dong,Gangnam-gu,31610,26355.0,5255,12766.0,-,79,1898.0,-,7630,-,487,367,-,4829,-,-,126,3161.0,-,-,-,208.0,59
