Dong,의료_의약품제조및판매업현황_Autonomous Gu_Autonomous Gu,의료_의약품제조및판매업현황_ No. of manufacturers_Total,의료_의약품제조및판매업현황_ No. of manufacturers_Drugs,의료_의약품제조및판매업현황_ No. of manufacturers_Non-drug products,의료_의약품제조및판매업현황_ No. of manufacturers_Medical Instruments,의료_의약품제조및판매업현황_ No. of manufacturers_Cosmetics,의료_의약품제조및판매업현황_ No. of Sellers_Total,의료_의약품제조및판매업현황_ No. of Sellers_Pharmacies,의료_의약품제조및판매업현황_ No. of Sellers_Oriental medicine pharmacies,의료_의약품제조및판매업현황_ No. of Sellers_Druggist,의료_의약품제조및판매업현황_ No. of Sellers_Wholesaler of phamaceutical goods,의료_의약품제조및판매업현황_ No. of Sellers_Oriental medicine wholesalers,의료_의약품제조및판매업현황_ No. of Sellers_Oriental medicine dealers,의료_의약품제조및판매업현황_ No. of Sellers_Dealers of medical instruments,의료_의약품제조및판매업현황_ No. of Sellers_Medical instruments repair supplier
Guro 1(il)-dong,Guro-gu,1,-,-,1,-,17,7,-,-,1,-,-,9,-
Guro 3(sam)-dong,Guro-gu,73,3,3,55,12,120,14,-,-,9,-,-,83,14
Guro 4(sa)-dong,Guro-gu,1,-,1,-,-,49,20,1,-,2,-,-,26,-
Guro 5(o)-dong,Guro-gu,2,-,-,2,-,112,14,-,-,6,-,-,86,6
Gocheok 1(il)-dong,Guro-gu,2,-,-,2,-,28,10,-,-,-,-,-,17,1
Gocheok 2(i)-dong,Guro-gu,1,-,-,-,1,20,13,-,-,1,-,-,6,-
Gaebong 2(i)-dong,Guro-gu,-,-,-,-,-,18,11,-,-,-,-,-,7,-
Gaebong 3(sam)-dong,Guro-gu,1,-,-,1,-,18,8,1,-,-,-,-,9,-
Oryu 1(il)-dong,Guro-gu,1,-,-,1,-,33,16,-,-,-,1,-,15,1
Oryu 2(i)-dong,Guro-gu,1,-,-,1,-,39,14,-,-,2,-,-,21,2
Sugung-dong,Guro-gu,1,-,-,1,-,-,-,-,-,-,-,-,-,-
Garibong-dong,Guro-gu,1,-,-,1,-,16,7,1,-,1,-,1,6,-
Guro 2(i)-dong,Guro-gu,4,-,-,2,2,105,30,-,-,1,-,-,72,2
Gaebong 1(il)-dong,Guro-gu,-,-,-,-,-,29,14,1,-,1,-,-,13,-
Gasan-dong,Geumcheon-gu,150,7,1,112,30,…,12,-,-,5,-,-,97,…
Doksan 1(il)-dong,Geumcheon-gu,10,-,1,8,1,…,15,1,-,2,1,-,25,…
Doksan 2(i)-dong,Geumcheon-gu,2,-,-,2,-,…,9,-,-,1,-,-,14,…
Doksan 3(sam)-dong,Geumcheon-gu,-,-,-,-,-,…,20,-,-,1,-,-,9,…
Doksan 4(sa)-dong,Geumcheon-gu,-,-,-,-,-,…,7,-,-,1,-,-,6,…
Siheung 1(il)-dong,Geumcheon-gu,4,-,-,3,1,…,24,-,-,1,-,-,33,…
Siheung 2(i)-dong,Geumcheon-gu,-,-,-,-,-,…,5,-,-,-,-,-,1,…
Siheung 3(sam)-dong,Geumcheon-gu,-,-,-,-,-,…,5,-,-,2,-,-,35,…
Siheung 4(sa)-dong,Geumcheon-gu,-,-,-,-,-,…,6,-,-,-,-,-,2,…
Siheung 5(o)-dong,Geumcheon-gu,-,-,-,-,-,…,15,-,-,-,-,-,5,…
Yeouido-dong,Yeongdeungpo-gu,4,-,-,2,2,116,37,-,-,2,-,-,74,3
Dangsan 1(il)-dong,Yeongdeungpo-gu,5,-,-,1,4,70,8,1,-,3,1,-,55,2
Dangsan2(i)-dong,Yeongdeungpo-gu,3,-,-,1,2,68,19,-,-,8,-,-,38,3
Yangpyeong 1(il)-dong,Yeongdeungpo-gu,12,-,-,8,4,62,9,-,-,2,-,-,49,2
Yangpyeong 2(i)-dong,Yeongdeungpo-gu,10,1,-,5,4,56,7,-,-,3,-,-,39,7
Singil 1(il)-dong,Yeongdeungpo-gu,1,-,-,1,-,24,11,-,-,1,-,-,11,1
Singil 3(sam)-dong,Yeongdeungpo-gu,3,-,-,3,-,46,14,-,-,1,-,-,28,3
Singil 4(sa)-dong,Yeongdeungpo-gu,-,-,-,-,-,29,7,-,-,1,-,-,18,3
Singil 5(o)-dong,Yeongdeungpo-gu,1,-,-,1,-,11,3,-,-,-,-,-,7,1
Singil 6(yuk)-dong,Yeongdeungpo-gu,-,-,-,-,-,26,10,-,-,2,-,-,14,-
Singil 7(chil)-dong,Yeongdeungpo-gu,-,-,-,-,-,10,7,-,-,-,-,-,3,-
Daerim 1(il)-dong,Yeongdeungpo-gu,3,-,2,1,-,42,13,-,-,4,-,-,25,-
Daerim 2(i)-dong,Yeongdeungpo-gu,1,-,-,-,1,28,13,1,-,1,-,-,13,-
Daerim 3(sam)-dong,Yeongdeungpo-gu,4,-,-,2,2,136,11,-,-,27,-,-,96,2
Yeongdeungpobon-dong,Yeongdeungpo-gu,2,-,-,2,-,70,10,-,-,3,-,-,46,11
Yeongdeungpo-dong,Yeongdeungpo-gu,2,-,-,2,-,172,36,-,-,8,-,2,124,2
Dorim-dong,Yeongdeungpo-gu,-,-,-,-,-,39,8,-,-,1,-,-,26,4
Mullae-dong,Yeongdeungpo-gu,12,-,1,9,2,90,15,-,-,13,-,-,54,8
Noryangjin 2(i)-dong,Dongjak-gu,-,-,-,-,-,…,…,-,-,…,-,-,5,-
Sangdo 1(il)-dong,Dongjak-gu,2,-,-,1,1,…,…,-,-,…,-,-,17,-
Sangdo 2(i)-dong,Dongjak-gu,-,-,-,-,-,…,…,-,-,…,-,-,11,2
Sangdo 3(sam)-dong,Dongjak-gu,-,-,-,-,-,…,…,-,-,…,-,-,11,1
Sangdo 4(sa)-dong,Dongjak-gu,1,-,-,-,1,…,…,-,-,…,-,-,11,-
Sadang 1(il)-dong,Dongjak-gu,-,-,-,-,-,…,…,-,-,…,-,-,42,-
Sadang 3(sam)-dong,Dongjak-gu,1,-,-,-,1,…,…,2,-,…,-,-,19,1
Sadang 4(sa)-dong,Dongjak-gu,1,-,-,-,1,…,…,-,-,…,-,-,10,-
Sadang 5(o)-dong,Dongjak-gu,-,-,-,-,-,…,…,-,-,…,-,-,3,-
Daebang-dong,Dongjak-gu,1,-,-,-,1,…,…,2,-,…,-,-,21,3
Sindaebang 1(il)-dong,Dongjak-gu,2,-,-,1,1,…,…,-,-,…,-,-,20,-
Sindaebang 2(i)-dong,Dongjak-gu,1,-,-,1,-,…,…,-,-,…,-,-,14,-
Heukseok-dong,Dongjak-gu,4,1,1,2,-,…,…,-,-,…,-,-,13,-
Noryangjin 1(il)-dong,Dongjak-gu,-,-,-,-,-,…,…,-,-,…,-,-,7,-
Sadang 2(i)-dong,Dongjak-gu,-,-,-,-,-,…,…,-,-,…,-,-,16,3
Boramae-dong,Gwanak-gu,-,-,-,-,-,…,7,-,-,-,-,-,…,2
Cheongnim-dong,Gwanak-gu,-,-,-,-,-,…,6,-,-,-,-,-,…,-
Haengun-dong,Gwanak-gu,1,-,-,1,-,…,14,1,-,2,-,-,…,-
Nagseongdae-dong,Gwanak-gu,1,-,-,-,1,…,11,1,-,1,-,-,…,-
Jungang-dong,Gwanak-gu,-,-,-,-,-,…,15,-,-,1,-,-,…,-
Inheon-dong,Gwanak-gu,-,-,-,-,-,…,10,-,-,-,-,-,…,-
Namhyeon-dong,Gwanak-gu,1,-,-,1,-,…,5,-,-,1,-,-,…,-
Sewon-dong,Gwanak-gu,-,-,-,-,-,…,8,-,-,-,-,-,…,1
Sinwon-dong,Gwanak-gu,-,-,-,-,-,…,7,-,-,-,-,-,…,1
Serim-dong,Gwanak-gu,-,-,-,-,-,…,5,-,-,-,-,-,…,-
Sinsa-dong,Gwanak-gu,-,-,-,-,-,…,10,1,-,1,-,-,…,-
Sillim-dong,Gwanak-gu,-,-,-,-,-,…,14,-,-,-,-,-,…,2
Nanhyang-dong,Gwanak-gu,-,-,-,-,-,…,3,-,-,-,-,-,…,-
Jowon-dong,Gwanak-gu,-,-,-,-,-,…,12,1,-,1,-,-,…,-
Daehak-dong,Gwanak-gu,1,-,-,1,-,…,13,-,-,-,-,-,…,-
Euncheon-dong,Gwanak-gu,1,-,-,-,1,…,10,1,-,1,-,-,…,3
Seonghyeon-dong,Gwanak-gu,-,-,-,-,-,…,7,-,-,-,-,-,…,-
Cheongnyong-dong,Gwanak-gu,-,-,-,-,-,…,19,2,-,-,-,-,…,-
Nangok-dong,Gwanak-gu,-,-,-,-,-,…,13,-,-,-,-,-,…,-
Samseong-dong,Gwanak-gu,1,-,1,-,-,…,9,-,-,-,-,-,…,-
Miseong-dong,Gwanak-gu,-,-,-,-,-,…,10,2,-,-,-,-,…,-
Seocho 1(il)-dong,Seocho-gu,8,-,-,5,3,136,17,-,-,9,-,-,102,8
Seocho 2(i)-dong,Seocho-gu,6,1,-,3,2,122,19,-,-,5,-,-,95,3
Seocho 3(sam)-dong,Seocho-gu,8,-,-,5,3,156,24,-,-,11,-,-,116,5
Seocho 4(sa)-dong,Seocho-gu,3,-,-,1,2,57,23,-,-,1,-,-,32,1
Jamwon-dong,Seocho-gu,9,-,-,4,5,97,23,1,-,1,-,-,68,4
Banpobon-dong,Seocho-gu,-,-,-,-,-,9,4,-,-,-,-,-,4,1
Banpo 1(il)-dong,Seocho-gu,1,-,-,-,1,44,16,-,-,1,-,-,27,-
Banpo 2(i)-dong,Seocho-gu,-,-,-,-,-,11,6,-,-,-,-,-,5,-
Banpo 3(sam)-dong,Seocho-gu,-,-,-,-,-,2,1,-,-,-,-,-,1,-
Banpo 4(sa)-dong,Seocho-gu,7,1,-,2,4,59,18,-,-,5,-,-,35,1
Bangbaebon-dong,Seocho-gu,3,-,-,1,2,35,11,1,-,2,-,-,20,1
Bangbae 1(il)-dong,Seocho-gu,1,-,-,-,1,47,14,1,-,3,-,-,28,1
Bangbae 2(i)-dong,Seocho-gu,2,-,-,1,1,44,2,1,-,4,-,1,34,2
Bangbae 3(sam)-dong,Seocho-gu,1,-,-,1,-,39,8,1,-,1,-,-,25,4
Bangbae 4(sa)-dong,Seocho-gu,5,-,-,-,5,55,15,1,-,1,-,-,38,-
Yangjae 1(il)-dong,Seocho-gu,8,2,-,3,3,160,22,-,-,18,-,-,112,8
Yangjae 2(i)-dong,Seocho-gu,4,1,-,3,-,175,10,2,-,25,-,-,132,6
Naegok-dong,Seocho-gu,1,-,-,-,1,9,-,-,-,-,-,-,8,1
Sinsa-dong,Gangnam-gu,4,-,-,1,3,84,24,-,-,1,-,-,59,-
Nonhyeon 1(il)-dong,Gangnam-gu,10,-,-,2,8,143,26,4,-,5,-,-,105,3
Nonhyeon 2(i)-dong,Gangnam-gu,13,2,1,4,6,151,29,-,-,4,-,-,111,7
Samseong 1(il)-dong,Gangnam-gu,3,-,-,1,2,134,13,1,-,7,-,-,103,10
Samseong 2(i)-dong,Gangnam-gu,10,-,-,3,7,98,15,-,-,6,-,1,69,7
Daechi 1(il)-dong,Gangnam-gu,-,-,-,-,-,28,14,-,-,-,-,-,14,-
Daechi 4(sa)-dong,Gangnam-gu,5,-,-,-,5,90,18,-,-,1,-,-,68,3
Yeoksam 1(il)-dong,Gangnam-gu,15,-,1,2,12,314,50,-,-,10,-,-,238,16
Yeoksam 2(i)-dong,Gangnam-gu,4,-,-,2,2,121,19,2,-,14,-,-,79,7
Dogok 1(il)-dong,Gangnam-gu,3,1,-,1,1,75,21,1,-,5,-,-,43,5
Dogok 2(i)-dong,Gangnam-gu,3,-,-,-,3,45,10,1,-,7,-,-,26,1
Gaepo 1(il)-dong,Gangnam-gu,-,-,-,-,-,11,5,-,-,-,-,-,6,-
Gaepo 4(sa)-dong,Gangnam-gu,8,1,-,2,5,112,11,-,-,14,-,-,82,5
Irwonbon-dong,Gangnam-gu,2,1,-,1,-,19,11,-,-,2,-,-,6,-
Irwon 1(il)-dong,Gangnam-gu,1,-,-,-,1,30,8,-,-,-,-,-,20,2
Irwon 2(i)-dong,Gangnam-gu,-,-,-,-,-,10,6,-,-,1,-,-,3,-
Suseo-dong,Gangnam-gu,1,-,-,-,1,74,13,-,-,3,-,-,57,1
Segok-dong,Gangnam-gu,-,-,-,-,-,4,3,-,-,-,-,-,1,-
Apgujeong -dong,Gangnam-gu,12,-,-,3,9,77,21,-,-,1,-,-,54,1
Cheongdam -dong,Gangnam-gu,10,-,-,1,9,97,22,1,-,2,-,-,66,6
Daechi 2(i)-dong,Gangnam-gu,5,-,-,-,5,81,18,-,-,9,-,-,49,5
Gaepo 2(i)-dong,Gangnam-gu,2,-,-,1,1,18,6,-,-,-,-,-,11,1
Pungnap 1(il)-dong,Songpa-gu,-,-,-,-,-,19,9,1,-,-,-,-,9,-
Pungnap 2(i)-dong,Songpa-gu,3,1,-,2,-,57,29,-,-,6,-,-,20,2
Geoyeo 1(il)-dong,Songpa-gu,1,-,-,-,1,16,4,-,-,2,-,-,8,2
Geoyeo 2(i)-dong,Songpa-gu,-,-,-,-,-,25,12,-,-,2,-,-,10,1
Macheon 1(il)-dong,Songpa-gu,1,-,-,1,-,18,9,-,-,4,-,-,4,1
Macheon 2(i)-dong,Songpa-gu,3,-,1,2,-,40,11,-,-,2,-,-,25,2
Bangi 1(il)-dong,Songpa-gu,1,-,-,1,-,34,10,1,-,5,-,-,15,3
Bangi 2(i)-dong,Songpa-gu,10,-,-,2,8,66,14,1,-,3,-,-,45,3
Oryun-dong,Songpa-gu,-,-,-,-,-,6,5,-,-,-,-,-,1,-
Ogeum-dong,Songpa-gu,3,-,-,1,2,63,10,-,-,14,-,-,37,2
Songpa 1(il)-dong,Songpa-gu,2,-,-,-,2,53,12,1,-,8,-,-,30,2
Songpa 2(i)-dong,Songpa-gu,1,-,-,1,-,23,9,2,-,-,-,-,10,2
Seokchon-dong,Songpa-gu,3,-,-,2,1,72,24,3,-,6,-,1,36,2
Samjeon-dong,Songpa-gu,1,-,-,1,-,49,17,3,-,5,1,-,22,1
Garakbon-dong,Songpa-gu,6,-,-,4,2,97,20,-,-,7,-,-,69,1
Garak 1(il)-dong,Songpa-gu,-,-,-,-,-,8,3,-,-,-,-,-,4,1
Garak 2(i)-dong,Songpa-gu,2,-,-,1,1,64,12,-,-,11,-,-,40,1
Munjeong 1(il)-dong,Songpa-gu,1,-,-,1,-,36,4,-,-,5,-,-,24,3
Munjeong 2(i)-dong,Songpa-gu,6,-,-,2,4,114,8,1,-,3,-,-,99,3
Jangji-dong,Songpa-gu,1,-,-,-,1,24,9,-,-,4,-,-,11,-
Jamsilbon-dong,Songpa-gu,2,-,-,-,2,56,20,1,-,3,-,-,31,1
Jamsil 4(sa)-dong,Songpa-gu,-,-,-,-,-,18,13,-,-,-,-,-,5,-
Jamsil 6(yuk)-dong,Songpa-gu,-,-,-,-,-,40,11,-,-,1,-,-,28,-
Jamsil 7(chil)-dong,Songpa-gu,-,-,-,-,-,6,5,-,-,-,-,-,1,-
Jamsil 2(i)-dong,Songpa-gu,-,-,-,-,-,14,11,-,-,-,-,-,3,-
Jamsil 3(sam)-dong,Songpa-gu,-,-,-,-,-,27,11,1,-,-,-,-,15,-
Gangil-dong,Gangdong-gu,-,-,-,-,-,10,7,1,-,-,-,-,2,-
Sangil-dong,Gangdong-gu,2,-,-,2,-,20,5,-,-,2,-,-,13,-
Myeongil 1(il)-dong,Gangdong-gu,1,-,-,-,1,42,15,1,-,-,-,-,26,-
Myeongil 2(i)-dong,Gangdong-gu,1,-,-,1,-,31,10,-,-,2,-,-,19,-
Godeok 1(il)-dong,Gangdong-gu,1,-,-,-,1,6,1,-,-,2,-,-,3,-
Godeok 2(i)-dong,Gangdong-gu,-,-,-,-,-,13,8,-,-,-,-,-,5,-
Amsa 2(i)-dong,Gangdong-gu,-,-,-,-,-,21,9,-,-,-,-,-,11,1
Amsa 3(sam)-dong,Gangdong-gu,-,-,-,-,-,9,6,-,-,-,-,-,3,-
Cheonho 1(il)-dong,Gangdong-gu,-,-,-,-,-,37,16,1,-,1,-,-,18,1
Cheonho 3(sam)-dong,Gangdong-gu,3,-,-,2,1,44,13,-,-,4,-,-,26,1
Seongnae 1(il)-dong,Gangdong-gu,3,-,-,2,1,60,10,1,-,7,-,-,41,1
Seongnae 2(i)-dong,Gangdong-gu,2,-,-,-,2,46,13,1,-,2,-,-,29,1
Seongnae 3(sam)-dong,Gangdong-gu,2,-,-,2,-,83,15,1,-,7,-,-,57,3
Dunchon 1(il)-dong,Gangdong-gu,-,-,-,-,-,3,1,-,-,-,-,-,2,-
Dunchon 2(i)-dong,Gangdong-gu,4,-,-,4,-,39,18,-,-,4,-,-,17,-
Amsa 1(il)-dong,Gangdong-gu,3,-,-,3,-,30,7,1,-,-,-,-,22,-
Cheonho 2(i)-dong,Gangdong-gu,1,-,-,1,-,76,30,-,-,4,1,-,38,3
Gil-dong,Gangdong-gu,4,-,-,4,-,118,36,-,-,5,1,-,70,6
